respondent_id,choice_label,choice_code,chosen_alternative_name,is_valid_choice,duration_sec
AI0001,A,0,PT,1,1.2267147
AI0002,A,0,PT,1,1.2101387
AI0003,A,0,PT,1,1.2112327
AI0004,,-1,,0,1.2242234
AI0005,A,0,PT,1,1.2030347
AI0006,A,0,PT,1,1.2405756
AI0007,A,0,PT,1,1.2431945
AI0008,A,0,PT,1,1.198472
AI0009,A,0,PT,1,1.2766581
AI0010,A,0,PT,1,1.2283817
AI0011,A,0,PT,1,1.1423016
AI0012,A,0,PT,1,1.2100024
AI0013,A,0,PT,1,1.2366355
AI0014,A,0,PT,1,1.2113273
AI0015,A,0,PT,1,1.2363941
AI0016,A,0,PT,1,1.168872
AI0017,A,0,PT,1,1.2502475
AI0018,A,0,PT,1,1.2389954
AI0019,A,0,PT,1,1.2967122
AI0020,A,0,PT,1,1.2469244
AI0021,,-1,,0,0.9796997
