respondent_id,indicator_name,indicator_value,is_valid_indicator,duration_sec
AI0001,Envir01,4,1,1.9766863
AI0001,Mobil05,4,1,1.7184727
AI0001,LifSty07,4,1,1.8632252
AI0001,Envir05,4,1,1.7352821
AI0001,Mobil12,4,1,1.8100753
AI0001,LifSty01,4,1,1.7773032
AI0002,Envir01,4,1,0.814191
AI0002,Mobil05,4,1,0.8217291
AI0002,LifSty07,4,1,0.7502243
AI0002,Envir05,4,1,0.736008
AI0002,Mobil12,4,1,0.7368517
AI0002,LifSty01,4,1,0.7343707
AI0003,Envir01,-1,0,0.2979805
AI0003,Mobil05,-1,0,0.2969839
AI0003,LifSty07,-1,0,0.2922374
AI0003,Envir05,-1,0,0.2936798
AI0003,Mobil12,-1,0,0.2956918
AI0003,LifSty01,-1,0,0.3005064
AI0004,Envir01,-1,0,0.3035042
AI0004,Mobil05,-1,0,0.2869607
AI0004,LifSty07,-1,0,0.2950447
AI0004,Envir05,-1,0,0.2981149
AI0004,Mobil12,-1,0,0.3039264
AI0004,LifSty01,-1,0,0.3026896
AI0005,Envir01,4,1,0.55604
AI0005,Mobil05,4,1,0.5361245
AI0005,LifSty07,4,1,0.5393473
AI0005,Envir05,4,1,0.533509
AI0005,Mobil12,4,1,0.5340463
AI0005,LifSty01,4,1,0.5347292
AI0006,Envir01,-1,0,0.2901638
AI0006,Mobil05,-1,0,0.2871734
AI0006,LifSty07,-1,0,0.2857945
AI0006,Envir05,-1,0,0.3062798
AI0006,Mobil12,-1,0,0.3032877
AI0006,LifSty01,-1,0,0.3121487
AI0007,Envir01,4,1,0.5161207
AI0007,Mobil05,4,1,0.5278312
AI0007,LifSty07,4,1,0.5399637
AI0007,Envir05,4,1,0.5381754
AI0007,Mobil12,4,1,0.5351753
AI0007,LifSty01,4,1,0.5368623
AI0008,Envir01,-1,0,0.2967005
AI0008,Mobil05,-1,0,0.29379
AI0008,LifSty07,-1,0,0.3074193
AI0008,Envir05,-1,0,0.2954498
AI0008,Mobil12,-1,0,0.3109396
AI0008,LifSty01,-1,0,0.2978355
AI0009,Envir01,4,1,1.8103733
AI0009,Mobil05,4,1,1.7255646
AI0009,LifSty07,4,1,1.583604
AI0009,Envir05,4,1,1.498031
AI0009,Mobil12,4,1,1.5497797
AI0009,LifSty01,4,1,1.5685415
AI0010,Envir01,4,1,0.6721845
AI0010,Mobil05,4,1,0.6418157
AI0010,LifSty07,4,1,0.6433391
AI0010,Envir05,4,1,0.6361108
AI0010,Mobil12,4,1,0.6310557
AI0010,LifSty01,4,1,0.6506253
AI0011,Envir01,4,1,1.7844882
AI0011,Mobil05,4,1,1.5574124
AI0011,LifSty07,4,1,1.5618452
AI0011,Envir05,4,1,1.520758
AI0011,Mobil12,4,1,1.5857186
AI0011,LifSty01,4,1,1.6269147
AI0012,Envir01,4,1,1.8181325
AI0012,Mobil05,4,1,1.5336253
AI0012,LifSty07,4,1,1.605699
AI0012,Envir05,4,1,1.5672568
AI0012,Mobil12,4,1,1.581392
AI0012,LifSty01,4,1,1.6095682
AI0013,Envir01,4,1,0.7261003
AI0013,Mobil05,4,1,0.6693698
AI0013,LifSty07,4,1,0.6364186
AI0013,Envir05,4,1,0.6332232
AI0013,Mobil12,4,1,0.6561499
AI0013,LifSty01,4,1,0.6459859
AI0014,Envir01,4,1,0.7309035
AI0014,Mobil05,4,1,0.6655157
AI0014,LifSty07,4,1,0.6611889
AI0014,Envir05,4,1,0.6451634
AI0014,Mobil12,4,1,0.6406274
AI0014,LifSty01,4,1,0.6589178
AI0015,Envir01,4,1,0.6800618
AI0015,Mobil05,4,1,0.6156592
AI0015,LifSty07,4,1,0.5915858
AI0015,Envir05,4,1,0.5917892
AI0015,Mobil12,4,1,0.5877009
AI0015,LifSty01,4,1,0.5942019
AI0016,Envir01,4,1,1.8097463
AI0016,Mobil05,4,1,1.5335989
AI0016,LifSty07,4,1,1.5795056
AI0016,Envir05,4,1,1.5327547
AI0016,Mobil12,4,1,1.5792526
AI0016,LifSty01,4,1,1.5936855
AI0017,Envir01,4,1,0.6438491
AI0017,Mobil05,4,1,0.6571992
AI0017,LifSty07,4,1,0.6235855
AI0017,Envir05,4,1,0.6372214
AI0017,Mobil12,4,1,0.6630296
AI0017,LifSty01,4,1,0.6519058
AI0018,Envir01,4,1,0.680294
AI0018,Mobil05,4,1,0.6470724
AI0018,LifSty07,4,1,0.6514405
AI0018,Envir05,4,1,0.652523
AI0018,Mobil12,4,1,0.6558531
AI0018,LifSty01,4,1,0.6562325
AI0019,Envir01,4,1,0.5011996
AI0019,Mobil05,4,1,0.4540205
AI0019,LifSty07,4,1,0.4639112
AI0019,Envir05,4,1,0.461136
AI0019,Mobil12,4,1,0.4731063
AI0019,LifSty01,4,1,0.4801566
AI0020,Envir01,4,1,0.6126125
AI0020,Mobil05,4,1,0.5840304
AI0020,LifSty07,4,1,0.5814749
AI0020,Envir05,4,1,0.5796344
AI0020,Mobil12,4,1,0.5879408
AI0020,LifSty01,4,1,0.5960612
AI0021,Envir01,4,1,1.7832264
AI0021,Mobil05,4,1,1.5384644
AI0021,LifSty07,4,1,1.5577906
AI0021,Envir05,4,1,1.5061836
AI0021,Mobil12,4,1,1.5754935
AI0021,LifSty01,4,1,1.5770275
AI0022,Envir01,-1,0,0.2322439
AI0022,Mobil05,-1,0,0.2682635
AI0022,LifSty07,-1,0,0.2403275
