parameter_name,estimate,paper_estimate,std_error,z_value
ASCPMM,-0.41338537312008483,-0.413,0.37190901433752455,-1.1115228649578215
ASCSM,-0.4700378136527429,-0.47,0.5083522569344716,-0.9246301304674495
beta_cost,-0.05916057854229494,-0.0592,0.007528242129084045,-7.858485092255258
beta_time_pmm,-0.029929203736096772,-0.0299,0.0034724307292544393,-8.619093099237384
beta_time_pt,-0.012068247100596738,-0.0121,0.00251821686469977,-4.792377999595184
beta_distance,-0.2273282258835992,-0.227,0.023069102290326625,-9.854229394046376
beta_ncars,1.001004001885042,1.0,0.13904827114427398,7.198967622160639
beta_nchildren,0.15352653883494993,0.154,0.06610614636575403,2.3224245743431147
beta_language,1.0925423349056869,1.09,0.3244459134231079,3.3674097583128106
beta_work,-0.5824111893155309,-0.582,0.08676492217132012,-6.712519008148724
beta_urban,0.286154553463541,0.286,0.19702790423113228,1.4523554649794923
beta_student,3.207337653082729,3.21,0.7022331399397131,4.5673402046478175
beta_nbikes,0.3468642747377027,0.347,0.05943185521539449,5.836335976398315
