section,block,name,paper_value,our_value,paper_display,our_display,digits,rounded_match,status,gap
base_parameter,base_logit,ASCPMM,-0.413,-0.41338537312008483,-0.413,-0.413,3,1,match,-0.00038537312008485314
base_parameter,base_logit,ASCSM,-0.47,-0.4700378136527429,-0.470,-0.470,3,1,match,-3.781365274291293e-05
base_parameter,base_logit,beta_cost,-0.0592,-0.05916057854229494,-0.0592,-0.0592,4,1,match,3.942145770505917e-05
base_parameter,base_logit,beta_time_pmm,-0.0299,-0.029929203736096772,-0.0299,-0.0299,4,1,match,-2.9203736096772293e-05
base_parameter,base_logit,beta_time_pt,-0.0121,-0.012068247100596738,-0.0121,-0.0121,4,1,match,3.175289940326141e-05
base_parameter,base_logit,beta_distance,-0.227,-0.2273282258835992,-0.227,-0.227,3,1,match,-0.00032822588359918137
base_parameter,base_logit,beta_ncars,1.0,1.001004001885042,1.000,1.001,3,0,mismatch,0.0010040018850419052
base_parameter,base_logit,beta_nchildren,0.154,0.15352653883494993,0.154,0.154,3,1,match,-0.0004734611650500653
base_parameter,base_logit,beta_language,1.09,1.0925423349056869,1.090,1.093,3,0,mismatch,0.0025423349056867828
base_parameter,base_logit,beta_work,-0.582,-0.5824111893155309,-0.582,-0.582,3,1,match,-0.0004111893155309687
base_parameter,base_logit,beta_urban,0.286,0.286154553463541,0.286,0.286,3,1,match,0.0001545534635410406
base_parameter,base_logit,beta_student,3.21,3.207337653082729,3.210,3.207,3,0,mismatch,-0.0026623469172708525
base_parameter,base_logit,beta_nbikes,0.347,0.3468642747377027,0.347,0.347,3,1,match,-0.00013572526229727044
base_metric,base_logit,log_likelihood,-1067.4,-1067.3558221753165,-1067.4,-1067.4,1,1,match,0.044177824683629296
base_metric,base_logit,market_share_PMM,0.6231,0.6231475990670697,0.6231,0.6231,4,1,match,4.7599067069747925e-05
base_metric,base_logit,market_share_PT,0.3209,0.32086404333127705,0.3209,0.3209,4,1,match,-3.595666872296954e-05
base_metric,base_logit,market_share_SM,0.056,0.0559883576016533,0.0560,0.0560,4,1,match,-1.1642398346702054e-05
base_metric,base_logit,elasticity_PMM_cost,-0.064,-0.06384871162853897,-0.064,-0.064,3,1,match,0.00015128837146102803
base_metric,base_logit,elasticity_PMM_time,-0.247,-0.24709719646075456,-0.247,-0.247,3,1,match,-9.719646075456723e-05
base_metric,base_logit,elasticity_PT_cost,-0.216,-0.21630600366655006,-0.216,-0.216,3,1,match,-0.0003060036665500643
base_metric,base_logit,elasticity_PT_time,-0.471,-0.47104823321269274,-0.471,-0.471,3,1,match,-4.823321269276093e-05
base_metric,base_logit,value_of_time_PMM,30.3,30.35386516516216,30.30,30.35,2,0,mismatch,0.05386516516215778
base_metric,base_logit,value_of_time_PT,12.26,12.239481828564879,12.26,12.24,2,0,mismatch,-0.020518171435121246
