parameter_name,estimate,paper_estimate,std_error,z_value
ASCPMM,-0.4133855615061674,-0.413,0.25190188627930704,-1.6410578245841652
ASCSM,-0.47003724604484737,-0.47,1.091675987874246,-0.4305647932772821
beta_cost,-0.05916058002582423,-0.0592,0.007670600312380263,-7.712640160684649
beta_time_pmm,-0.029929204318546423,-0.0299,0.003293248421768397,-9.088049392421828
beta_time_pt,-0.012068247758510816,-0.0121,0.002273115623687099,-5.309121820620615
beta_distance,-0.22732825396882864,-0.227,0.04170013336579081,-5.451499446649732
beta_ncars,1.0010042639312795,1.0,0.16356081897156519,6.120073684060623
beta_nchildren,0.15352650045730015,0.154,0.06289370345537171,2.4410472276646886
beta_language,1.0925420412962745,1.09,0.10518684005845935,10.386679937234316
beta_work,-0.5824113057802005,-0.582,0.09918692635677245,-5.871855567792112
beta_urban,0.2861547195571229,0.286,0.4297117884768528,0.6659224327343236
beta_student,3.207337881447369,3.21,0.3835080537669702,8.363156522903775
beta_nbikes,0.34686419958633136,0.347,0.10613075306311032,3.2682722921985645
