parameter_name,estimate,paper_estimate,block,std_error,z_value
Acar,2.944376367500269,3.02,attitude,9.757696224550308,0.3017491321457861
Aenv,3.307947141250097,3.23,attitude,6.033358802062241,0.5482762172406221
theta_ncars,0.11650241453354561,0.104,attitude,2.504087300983303,0.04652490130347993
theta_educ,0.2236007747635841,0.235,attitude,1.630555703922881,0.13713163814375245
theta_nbikes,0.06967925859660089,0.0845,attitude,1.9183634228678286,0.03632224101335029
theta_age,0.0035709610968087417,0.00445,attitude,0.2715922592495957,0.013148243277165706
theta_valais,-0.21130124840939693,-0.223,attitude,1.117902482977885,-0.18901581455166785
theta_bern,-0.3895131045067801,-0.361,attitude,2.296796622081283,-0.16958972368821054
theta_basel_zurich,-0.22787561287910132,-0.256,attitude,1.5654878931053837,-0.14556204099865336
theta_east,-0.22498846609386644,-0.228,attitude,1.0006088677280234,-0.224851561234635
theta_graubunden,-0.2838362837936068,-0.303,attitude,1.5392919703598058,-0.18439405210907503
