ref_pro_car_indicator,ref_env_indicator,joint_log_likelihood,choice_log_likelihood,search_score,Acar,Aenv,beta_Acar,beta_Aenv
Mobil10,Envir05,-18776.464458502865,-1067.4900885747925,0.07596016656355976,2.944376367500269,3.307947141250097,-0.5661808159941251,0.3882459574585633
Mobil10,Envir02,-18775.639089057397,-1067.287080931408,0.09314782991518078,2.956400071520418,3.006669736473381,-0.54839947822209,0.4091707331641753
Mobil10,Envir06,-18779.168433789186,-1067.76861109819,0.12649664677488118,2.9757280101908163,3.9484333922024666,-0.5898642137238252,0.356209699920309
Mobil16,Envir05,-18774.68617760679,-1067.2467575880282,0.1357146907607774,3.3951423452636744,3.2972194539114303,-0.529701787912372,0.43440029062855473
Mobil16,Envir02,-18774.433126867018,-1066.9056313160722,0.15846266043719032,3.378066156929876,3.0079266619955556,-0.5107945225265332,0.4504456692335576
Mobil10,Envir01,-18774.502301219043,-1067.1891018938863,0.1686058714887195,2.927852110375535,2.374300789648447,-0.5068061707127364,0.4443845731355683
Mobil11,Envir05,-18776.19215829882,-1067.091934752285,0.18153647353914973,3.645523157374078,3.3006781359110926,-0.5124671173005813,0.4492067815692458
Mobil16,Envir06,-18776.704215290214,-1067.4947662247237,0.18247852295488348,3.386726515352039,3.947773126809983,-0.5651552165192278,0.39717453120917956
Mobil11,Envir02,-18775.996805217997,-1066.7214745145407,0.202141423847684,3.6154020295228033,2.9981363844672617,-0.49319693126564096,0.4641998066105669
Mobil11,Envir06,-18779.814787684438,-1067.5799238644395,0.22106052456386915,3.5881714434460767,3.9775805257984502,-0.5520374743555566,0.41337050468707703
Mobil16,Envir01,-18775.712782129776,-1066.9264060946866,0.23220822476205716,3.385983405504221,2.3752260473431526,-0.4553421900543524,0.4904357917904084
Mobil11,Envir01,-18777.057354818426,-1066.7017369571327,0.27372755426484974,3.591913372538795,2.364868132484788,-0.43682565221597325,0.5024655426041498
