parameter_name,estimate,paper_estimate,block,std_error,z_value
ASCPMM,-0.5964538579361333,-0.599,utility,1.1062841756324853,-0.5391506731036159
ASCSM,-0.7708264262053656,-0.772,utility,1.0166417775286587,-0.7582084892076317
beta_cost,-0.057689897537035274,-0.0559,utility,1.000205633535482,-0.057678036998367634
beta_time_pmm,-0.02982266040801271,-0.0294,utility,0.5232595017122346,-0.056994015990967366
beta_time_pt,-0.012070407387486217,-0.0119,utility,0.238378459006813,-0.050635478716393734
beta_distance,-0.2239797906645324,-0.224,utility,1.015351254527313,-0.2205934051549521
beta_ncars,0.9767934883512241,0.97,utility,1.3783346096945055,0.7086766025324729
beta_nchildren,0.201918235578807,0.215,utility,1.3607069987079863,0.14839214891268415
beta_language,1.0528215355795385,1.06,utility,1.1409325247847735,0.922772830740489
beta_work,-0.5811955088188518,-0.583,utility,1.0430515927758572,-0.5572068657429736
beta_urban,0.2821668421513536,0.283,utility,1.0309286785056517,0.2737016129577064
beta_student,3.260879098503266,3.26,utility,1.0011342087376105,3.2571847710759
beta_nbikes,0.37467890248658425,0.385,utility,1.130833074348495,0.33132998228093696
beta_Acar,-0.5661808159941251,-0.574,utility,1.0894445099715733,-0.5196967911737866
beta_Aenv,0.3882459574585633,0.393,utility,1.8834941591362846,0.2061306936234947
