parameter_name,estimate,paper_estimate,block,std_error,z_value
Acar,2.963783669533361,3.02,attitude,4.287821325478301,0.6912096947516241
Aenv,3.2947320359620416,3.23,attitude,3.0036483461894496,1.096910042795746
theta_ncars,0.10914539440563104,0.104,attitude,1.800867490954633,0.06060712126452651
theta_educ,0.22848548699024843,0.235,attitude,1.3859924222282258,0.1648533450297787
theta_nbikes,0.07124145376696009,0.0845,attitude,1.0754805866121853,0.06624150603347852
theta_age,0.0038049335508599565,0.00445,attitude,0.14792521471760678,0.02572200796276468
theta_valais,-0.21267585269841463,-0.223,attitude,1.026435131994968,-0.2071985321518177
theta_bern,-0.38507116702256844,-0.361,attitude,1.389037612758782,-0.2772215550432609
theta_basel_zurich,-0.2312131970943553,-0.256,attitude,1.1647488244350948,-0.19850906242081345
theta_east,-0.22522399927680137,-0.228,attitude,0.9999839070316697,-0.22522762385781922
theta_graubunden,-0.2865876466073151,-0.303,attitude,1.1257250481933485,-0.2545805008667555
