section,block,name,paper_value,our_value,paper_display,our_display,digits,rounded_match,status,gap
hcm_utility_parameter,hcm,ASCPMM,-0.599,-0.5975274322340143,-0.599,-0.598,3,0,mismatch,0.0014725677659856995
hcm_utility_parameter,hcm,ASCSM,-0.772,-0.7712440779972985,-0.772,-0.771,3,0,mismatch,0.0007559220027014701
hcm_utility_parameter,hcm,beta_cost,-0.0559,-0.057671967596711775,-0.0559,-0.0577,4,0,mismatch,-0.0017719675967117765
hcm_utility_parameter,hcm,beta_time_pmm,-0.0294,-0.02982674255402647,-0.0294,-0.0298,4,0,mismatch,-0.0004267425540264713
hcm_utility_parameter,hcm,beta_time_pt,-0.0119,-0.012163625851235635,-0.0119,-0.0122,4,0,mismatch,-0.00026362585123563403
hcm_utility_parameter,hcm,beta_distance,-0.224,-0.22461056001884624,-0.224,-0.225,3,0,mismatch,-0.0006105600188462401
hcm_utility_parameter,hcm,beta_ncars,0.97,0.9746722367211582,0.970,0.975,3,0,mismatch,0.0046722367211582405
hcm_utility_parameter,hcm,beta_nchildren,0.215,0.2039638452858802,0.215,0.204,3,0,mismatch,-0.011036154714119784
hcm_utility_parameter,hcm,beta_language,1.06,1.0540368778648306,1.060,1.054,3,0,mismatch,-0.005963122135169474
hcm_utility_parameter,hcm,beta_work,-0.583,-0.5818708015502139,-0.583,-0.582,3,0,mismatch,0.0011291984497860952
hcm_utility_parameter,hcm,beta_urban,0.283,0.28274538355357626,0.283,0.283,3,1,match,-0.0002546164464237166
hcm_utility_parameter,hcm,beta_student,3.26,3.2607737069697356,3.260,3.261,3,0,mismatch,0.0007737069697357768
hcm_utility_parameter,hcm,beta_nbikes,0.385,0.37583366571785815,0.385,0.376,3,0,mismatch,-0.009166334282141864
hcm_utility_parameter,hcm,beta_Acar,-0.574,-0.5651394767481334,-0.574,-0.565,3,0,mismatch,0.008860523251866592
hcm_utility_parameter,hcm,beta_Aenv,0.393,0.3919369060209956,0.393,0.392,3,0,mismatch,-0.0010630939790043925
hcm_attitude_parameter,hcm,Acar,3.02,2.963783669533361,3.020,2.964,3,0,mismatch,-0.056216330466638986
hcm_attitude_parameter,hcm,Aenv,3.23,3.2947320359620416,3.230,3.295,3,0,mismatch,0.06473203596204158
hcm_attitude_parameter,hcm,theta_ncars,0.104,0.10914539440563104,0.1040,0.1091,4,0,mismatch,0.00514539440563104
hcm_attitude_parameter,hcm,theta_educ,0.235,0.22848548699024843,0.2350,0.2285,4,0,mismatch,-0.00651451300975156
hcm_attitude_parameter,hcm,theta_nbikes,0.0845,0.07124145376696009,0.0845,0.0712,4,0,mismatch,-0.013258546233039917
hcm_attitude_parameter,hcm,theta_age,0.00445,0.0038049335508599565,0.00445,0.00380,5,0,mismatch,-0.0006450664491400434
hcm_attitude_parameter,hcm,theta_valais,-0.223,-0.21267585269841463,-0.2230,-0.2127,4,0,mismatch,0.010324147301585374
hcm_attitude_parameter,hcm,theta_bern,-0.361,-0.38507116702256844,-0.3610,-0.3851,4,0,mismatch,-0.02407116702256845
hcm_attitude_parameter,hcm,theta_basel_zurich,-0.256,-0.2312131970943553,-0.2560,-0.2312,4,0,mismatch,0.024786802905644695
hcm_attitude_parameter,hcm,theta_east,-0.228,-0.22522399927680137,-0.2280,-0.2252,4,0,mismatch,0.0027760007231986406
hcm_attitude_parameter,hcm,theta_graubunden,-0.303,-0.2865876466073151,-0.3030,-0.2866,4,0,mismatch,0.016412353392684875
hcm_metric,hcm,choice_log_likelihood,-1069.8,-1067.4766404025509,-1069.8,-1067.5,1,0,mismatch,2.323359597449098
hcm_metric,hcm,market_share_PMM,0.6311,0.6290103975169069,0.6311,0.6290,4,0,mismatch,-0.0020896024830930893
hcm_metric,hcm,market_share_PT,0.312,0.3153956512142868,0.3120,0.3154,4,0,mismatch,0.00339565121428681
hcm_metric,hcm,market_share_SM,0.0569,0.05559395126880637,0.0569,0.0556,4,0,mismatch,-0.0013060487311936306
hcm_metric,hcm,elasticity_PMM_cost,-0.058,-0.060889072315101364,-0.058,-0.061,3,0,mismatch,-0.002889072315101361
hcm_metric,hcm,elasticity_PMM_time,-0.234,-0.24065156831129347,-0.234,-0.241,3,0,mismatch,-0.00665156831129346
hcm_metric,hcm,elasticity_PT_cost,-0.202,-0.2093998089758125,-0.202,-0.209,3,0,mismatch,-0.007399808975812494
hcm_metric,hcm,elasticity_PT_time,-0.465,-0.47440364862081885,-0.465,-0.474,3,0,mismatch,-0.009403648620818827
hcm_metric,hcm,value_of_time_PMM,31.54,31.030752509710183,31.54,31.03,2,0,mismatch,-0.5092474902898161
hcm_metric,hcm,value_of_time_PT,12.81,12.654632423460951,12.81,12.65,2,0,mismatch,-0.15536757653904942
