model,metric_name,paper_value,our_value,gap
base,log_likelihood,-1067.4,-1067.355822175344,0.04417782465611708
continuous,choice_log_likelihood,-1069.8,-1067.4900885747925,2.309911425207474
,base_market_share_PMM,0.6231,0.6231475875618196,4.758756181966195e-05
,base_market_share_PT,0.3209,0.32086404787824746,-3.595212175255824e-05
,base_market_share_SM,0.056,0.0559883645599329,-1.1635440067103708e-05
,continuous_market_share_PMM,0.6311,0.6294264308598255,-0.001673569140174469
,continuous_market_share_PT,0.312,0.31495189971384197,0.0029518997138419656
,continuous_market_share_SM,0.0569,0.055621669426332614,-0.0012783305736673856
,base_elasticity_PMM_cost,-0.064,-0.0638487127706604,0.0001512872293396028
,base_elasticity_PMM_time,-0.247,-0.24709719946125958,-9.719946125957835e-05
,base_elasticity_PT_cost,-0.216,-0.21630600322230373,-0.0003060032223037301
,base_elasticity_PT_time,-0.471,-0.4710482414535117,-4.824145351173259e-05
,continuous_elasticity_PMM_cost,-0.058,-0.060821161894461115,-0.002821161894461112
,continuous_elasticity_PMM_time,-0.234,-0.24029840145319717,-0.0062984014531971555
,continuous_elasticity_PT_cost,-0.202,-0.20949889019676676,-0.00749889019676675
,continuous_elasticity_PT_time,-0.465,-0.4712892398870716,-0.006289239887071585
,base_vot_PMM,30.3,30.35386499471304,0.05386499471303807
,base_vot_PT,12.26,12.239482188892904,-0.02051781110709605
,continuous_vot_PMM,31.54,31.016862585551387,-0.5231374144486125
,continuous_vot_PT,12.81,12.553748128677842,-0.2562518713221582
