respondent_id,human_id,Choice,alternative_code,alternative_name,availability,travel_time,waiting_time,travel_cost,distance_km,scaled_time,scaled_waiting,scaled_cost,scaled_distance
H0001,10350085,1,0,PT,1,172,18,10.8,12.5,0.86,0.3,1.08,2.5
H0001,10350085,1,1,CAR,1,14,0,1.66,12.5,0.07,0.0,0.16599999999999998,2.5
H0001,10350085,1,2,SLOW_MODES,1,0,0,0.0,12.5,0.0,0.0,0.0,2.5
H0002,10350133,1,0,PT,1,84,8,11.0,27.0,0.42,0.13333333333333333,1.1,5.4
H0002,10350133,1,1,CAR,1,27,0,3.88,27.0,0.135,0.0,0.388,5.4
H0002,10350133,1,2,SLOW_MODES,1,0,0,0.0,27.0,0.0,0.0,0.0,5.4
H0003,10350197,1,0,PT,1,100,24,0.0,26.0,0.5,0.4,0.0,5.2
H0003,10350197,1,1,CAR,1,22,0,3.5,26.0,0.11,0.0,0.35,5.2
H0003,10350197,1,2,SLOW_MODES,1,0,0,0.0,26.0,0.0,0.0,0.0,5.2
H0004,10350199,1,0,PT,1,77,3,4.8,11.0,0.385,0.05,0.48,2.2
H0004,10350199,1,1,CAR,1,12,0,1.62,11.0,0.06,0.0,0.162,2.2
H0004,10350199,1,2,SLOW_MODES,1,0,0,0.0,11.0,0.0,0.0,0.0,2.2
H0005,10350271,1,0,PT,1,112,35,22.0,20.0,0.56,0.5833333333333334,2.2,4.0
H0005,10350271,1,1,CAR,1,28,0,2.92,20.0,0.14,0.0,0.292,4.0
H0005,10350271,1,2,SLOW_MODES,1,0,0,0.0,20.0,0.0,0.0,0.0,4.0
H0006,10350271,1,0,PT,1,92,25,8.6,15.0,0.46,0.4166666666666667,0.86,3.0
H0006,10350271,1,1,CAR,1,20,0,2.09,15.0,0.1,0.0,0.209,3.0
H0006,10350271,1,2,SLOW_MODES,1,0,0,0.0,15.0,0.0,0.0,0.0,3.0
H0007,10350272,1,0,PT,1,171,95,37.2,55.0,0.855,1.5833333333333333,3.72,11.0
H0007,10350272,1,1,CAR,1,51,0,7.65,55.0,0.255,0.0,0.765,11.0
H0007,10350272,1,2,SLOW_MODES,1,0,0,0.0,55.0,0.0,0.0,0.0,11.0
H0008,10350272,1,0,PT,1,113,137,11.0,49.5,0.565,2.283333333333333,1.1,9.9
H0008,10350272,1,1,CAR,1,40,0,7.39,49.5,0.2,0.0,0.739,9.9
H0008,10350272,1,2,SLOW_MODES,1,0,0,0.0,49.5,0.0,0.0,0.0,9.9
H0009,10360011,1,0,PT,1,139,41,26.4,44.5,0.695,0.6833333333333333,2.6399999999999997,8.9
H0009,10360011,1,1,CAR,1,45,0,6.35,44.5,0.225,0.0,0.635,8.9
H0009,10360011,1,2,SLOW_MODES,1,0,0,0.0,44.5,0.0,0.0,0.0,8.9
H0010,10360011,1,0,PT,1,261,51,59.6,135.5,1.305,0.85,5.96,27.1
