ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight,normalized_weight,respondent_id,human_id,CAR_AVAILABLE,PT_AVAILABLE,SLOW_AVAILABLE,ScaledIncome,TimePT_non_wait,TimePT_non_wait_scaled,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,high_education,low_education,top_manager,employees,artisans,age_30_less,car_oriented_parents,city_center_as_kid,childSuburb,work_trip,other_trip,sex_text,age_text,income_text,education_text,trip_purpose_text,car_availability_text
10350085,1,5,190,116,18,10.8,1.16,14,3,0,2,0,3,0,1,2,1,2,2,0,1,1,4.0,22,4,1,1953,2,3,1,6,7000,3,2,2,2,2,2,1,10.8,1.66,1,3,3,3,5,4,5,1,3,4,4,5,5,1,2,4,5,1,5,5,3,5,4,6,6,6,5,1,5,3,1,6,1,3,3,2,2,1,3,3,3,4,3,3,1,3,1,1,3,3,3,3,4,1,1,7,1,1,4,1,6,2,2,1,2,3,1,12.5,1,56,-1,20,1,57,0.000409116,1.1100015300256885,H0001,10350085,1,1,1,7.0,172,0.86,0.95,0.07,0.3,1.08,0.16599999999999998,2.5,0,1,0,1,0,0,1,0,0,1,0,male,57 years old,around CHF 7000 per month,not high education,a work trip,car is available for this trip
10350133,1,3,92,35,8,11.0,2.71,27,2,0,1,0,2,4,2,1,1,1,3,1,1,1,3.0,29,2,1,1951,2,2,1,6,3250,3,2,2,2,2,2,1,11.0,3.88,2,4,5,2,5,5,5,2,3,4,3,5,5,3,3,3,4,2,5,2,3,3,3,3,4,3,4,3,5,3,3,3,3,2,2,4,4,1,2,5,5,2,4,4,5,3,1,5,3,3,4,4,5,1,1,7,1,1,4,1,6,2,4,-1,-1,4,1,27.0,1,49,4,60,1,59,0.000409116,1.1100015300256885,H0002,10350133,1,1,1,3.25,84,0.42,0.46,0.135,0.13333333333333333,1.1,0.388,5.4,0,1,0,1,0,0,1,0,0,1,0,male,59 years old,around CHF 3250 per month,not high education,a work trip,car is available for this trip
10350197,1,5,124,36,24,11.0,2.44,22,2,0,2,0,1,0,4,2,1,1,3,3,2,2,4.0,2,6,1,1980,2,2,1,2,15000,8,2,2,1,2,2,1,0.0,3.5,2,4,3,2,4,4,3,2,2,5,1,4,5,1,4,6,4,5,5,4,5,4,6,6,6,6,4,2,6,1,5,1,1,2,4,2,3,1,5,5,4,2,4,3,1,3,2,1,3,5,4,4,4,2,1,7,1,1,4,1,5,2,3,3,1,3,1,26.0,1,64,1,24,1,30,0.000378621,1.0272633905783595,H0003,10350197,1,1,1,15.0,100,0.5,0.62,0.11,0.4,0.0,0.35,5.2,1,0,0,0,0,1,0,0,0,1,0,male,30 or younger,around CHF 15000 per month,high education,a work trip,car is available for this trip
10350199,4,2,80,26,3,4.8,1.13,12,3,1,2,0,2,0,2,1,1,1,2,1,2,2,4.0,2,5,2,1977,2,3,2,4,9000,6,2,2,2,2,2,1,4.8,1.62,4,4,3,2,5,5,2,3,2,4,6,4,4,1,3,5,5,1,5,3,3,3,5,4,6,6,6,2,4,2,2,6,6,3,4,2,3,1,5,5,3,3,1,3,6,2,1,5,1,3,2,4,4,4,3,7,1,1,4,1,3,2,3,2,1,2,1,11.0,1,51,5,20,1,33,0.000232084,0.6296835007540205,H0004,10350199,1,1,1,9.0,77,0.385,0.4,0.06,0.05,0.48,0.162,2.2,1,0,0,0,0,0,1,0,1,0,1,female,33 years old,around CHF 9000 per month,high education,a non-work trip,car is available for this trip
10350271,11,6,147,42,35,22.0,2.04,28,2,3,2,-1,3,3,2,1,1,1,1,0,1,1,4.0,15,4,2,1971,2,3,2,6,7000,3,2,2,2,2,2,1,22.0,2.92,2,3,4,2,4,5,4,1,1,1,1,2,4,2,4,2,4,1,5,2,4,2,4,4,2,6,6,2,4,1,4,6,5,2,4,2,1,1,2,5,2,4,2,5,4,1,2,5,2,2,2,2,2,4,3,7,1,1,4,1,5,2,4,1,1,4,1,20.0,1,70,4,30,1,39,0.00087004,2.3605670058945383,H0005,10350271,1,1,1,7.0,112,0.56,0.735,0.14,0.5833333333333334,2.2,0.292,4.0,0,1,0,1,0,0,1,0,0,0,1,female,39 years old,around CHF 7000 per month,not high education,a non-work trip,car is available for this trip
10350271,4,2,117,62,25,8.6,1.46,20,2,3,2,-1,3,3,2,1,1,1,1,0,1,1,4.0,15,4,2,1971,2,3,2,6,7000,3,2,2,2,2,2,1,8.6,2.09,2,3,4,2,4,5,4,1,1,1,1,2,4,2,4,2,4,1,5,2,4,2,4,4,2,6,6,2,4,1,4,6,5,2,4,2,1,1,2,5,2,4,2,5,4,1,2,5,2,2,2,2,2,4,3,7,1,1,4,1,5,3,4,1,1,4,1,15.0,1,30,4,23,1,39,0.00087004,2.3605670058945383,H0006,10350271,1,1,1,7.0,92,0.46,0.585,0.1,0.4166666666666667,0.86,0.209,3.0,0,1,0,1,0,0,1,0,0,0,1,female,39 years old,around CHF 7000 per month,not high education,a non-work trip,car is available for this trip
10350272,1,3,266,67,95,37.2,5.34,51,2,3,2,0,3,3,2,1,1,1,1,0,1,1,4.0,41,4,1,1968,2,3,1,8,7000,3,2,2,2,2,2,1,37.2,7.65,2,1,3,2,4,4,6,6,6,6,6,6,6,3,3,6,6,2,3,3,3,3,6,6,6,6,4,3,6,6,4,6,6,3,6,2,3,1,1,5,3,3,3,4,3,4,2,3,3,3,2,2,3,2,1,7,1,1,4,1,5,3,4,2,2,3,1,55.0,1,104,3,-1,1,42,0.000409116,1.1100015300256885,H0007,10350272,1,1,1,7.0,171,0.855,1.33,0.255,1.5833333333333333,3.72,0.765,11.0,0,1,0,0,0,0,1,0,0,1,0,male,42 years old,around CHF 7000 per month,not high education,a work trip,car is available for this trip
10350272,7,5,250,18,137,11.0,5.16,40,2,3,2,0,3,3,2,1,1,1,1,0,1,1,4.0,41,4,1,1968,2,3,1,8,7000,3,2,2,2,2,2,1,11.0,7.39,2,1,3,2,4,4,6,6,6,6,6,6,6,3,3,6,6,2,3,3,3,3,6,6,6,6,4,3,6,6,4,6,6,3,6,2,3,1,1,5,3,3,3,4,3,4,2,3,3,3,2,2,3,2,3,7,1,1,4,1,5,2,4,2,2,3,1,49.5,1,95,3,20,1,42,0.000409116,1.1100015300256885,H0008,10350272,1,1,1,7.0,113,0.565,1.25,0.2,2.283333333333333,1.1,0.739,9.9,0,1,0,0,0,0,1,0,0,0,1,male,42 years old,around CHF 7000 per month,not high education,a non-work trip,car is available for this trip
10360011,1,4,180,71,41,26.4,4.43,45,2,0,2,0,2,0,1,1,1,1,2,0,1,1,5.0,30,4,1,1954,2,2,1,3,7000,3,2,2,2,2,2,1,26.4,6.35,3,4,2,2,4,5,5,2,2,5,2,5,5,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,4,2,1,2,4,3,4,4,2,2,4,4,2,4,4,4,3,4,3,4,3,4,4,4,4,1,1,4,2,1,4,1,5,3,1,2,2,4,1,44.5,1,68,4,75,1,56,0.000409116,1.1100015300256885,H0009,10360011,1,1,1,7.0,139,0.695,0.9,0.225,0.6833333333333333,2.6399999999999997,0.635,8.9,0,1,0,0,0,0,0,0,0,1,0,male,56 years old,around CHF 7000 per month,not high education,a work trip,car is available for this trip
10360011,1,10,312,58,51,59.6,14.03,93,2,0,2,0,2,0,1,1,1,1,2,0,1,1,5.0,30,4,1,1954,2,2,1,3,7000,3,2,2,2,2,2,1,59.6,20.1,3,4,2,2,4,5,5,2,2,5,2,5,5,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,4,2,1,2,4,3,4,4,2,2,4,4,2,4,4,4,3,4,3,4,3,4,4,4,4,1,1,4,2,1,4,1,5,3,1,2,2,4,1,135.5,1,203,4,100,1,56,0.000409116,1.1100015300256885,H0010,10360011,1,1,1,7.0,261,1.305,1.56,0.465,0.85,5.96,2.0100000000000002,27.1,0,1,0,0,0,0,0,0,0,1,0,male,56 years old,around CHF 7000 per month,not high education,a work trip,car is available for this trip
10360013,1,4,181,97,15,16.2,2.07,24,4,2,2,0,4,2,1,1,1,1,3,0,1,1,5.0,10,4,1,1968,2,1,1,3,7000,6,2,2,2,2,2,1,16.2,2.97,3,1,3,4,5,4,5,2,4,4,2,5,4,2,3,5,5,1,5,4,4,5,5,5,1,1,3,2,4,2,5,1,1,3,2,4,4,1,4,5,2,3,4,5,4,2,2,5,1,3,4,4,4,1,-1,4,2,1,4,1,3,4,2,1,2,4,1,20.0,1,69,5,60,1,42,0.000109132,0.2960937410777467,H0011,10360013,1,1,1,7.0,166,0.83,0.905,0.12,0.25,1.6199999999999999,0.29700000000000004,4.0,1,0,0,0,0,0,1,0,1,0,1,male,42 years old,around CHF 7000 per month,high education,a non-work trip,car is available for this trip
10360014,10,2,95,50,8,9.6,2.84,27,4,0,2,0,4,1,1,1,1,1,3,0,1,1,5.0,10,4,1,1968,2,3,1,3,7000,6,2,2,2,2,2,1,9.6,4.07,3,1,3,4,5,4,5,2,4,4,2,5,4,2,3,5,5,1,5,4,4,3,3,3,1,1,3,2,4,2,5,1,1,3,2,4,4,1,4,5,2,3,4,5,4,2,2,5,1,3,4,4,4,1,3,4,2,1,4,1,3,2,2,1,2,4,1,28.0,1,37,5,30,1,42,0.000109132,0.2960937410777467,H0012,10360014,1,1,1,7.0,87,0.435,0.475,0.135,0.13333333333333333,0.96,0.40700000000000003,5.6,1,0,0,0,0,0,1,0,1,0,1,male,42 years old,around CHF 7000 per month,high education,a non-work trip,car is available for this trip
10360016,1,2,184,94,10,20.0,2.57,30,1,0,1,0,1,0,1,1,1,1,1,0,1,1,5.0,10,3,2,1966,2,1,1,6,5000,3,2,2,2,2,2,1,20.0,3.68,1,3,4,3,3,3,5,2,6,3,1,5,5,1,3,6,5,1,5,4,4,4,5,5,2,6,2,2,3,1,6,6,6,1,1,1,1,1,6,6,3,4,4,3,3,3,1,5,1,2,2,3,4,4,-1,4,2,1,4,1,3,5,3,1,3,1,1,22.0,1,80,4,65,1,44,0.000367986,0.9984088205497536,H0013,10360016,1,1,1,5.0,174,0.87,0.92,0.15,0.16666666666666666,2.0,0.368,4.4,0,1,0,1,0,0,1,0,1,0,1,female,44 years old,around CHF 5000 per month,not high education,a non-work trip,car is available for this trip
10360024,1,5,200,80,12,30.4,2.33,26,5,3,2,1,5,3,2,1,1,1,5,0,1,1,5.0,15,5,1,1959,2,1,1,1,9000,4,1,2,2,2,2,1,15.2,3.34,4,4,2,1,5,5,4,1,3,3,4,2,5,1,5,2,4,2,5,2,2,2,4,1,5,3,4,1,5,2,1,4,4,2,4,4,3,2,4,4,4,3,2,4,4,4,2,4,2,4,2,5,4,4,2,4,2,1,4,1,5,3,3,2,2,3,1,24.5,1,108,3,40,1,51,0.000109132,0.2960937410777467,H0014,10360024,1,1,1,9.0,188,0.94,1.0,0.13,0.2,1.52,0.33399999999999996,4.9,0,0,1,0,0,0,1,0,0,0,1,male,51 years old,around CHF 9000 per month,not high education,a non-work trip,car is available for this trip
10360035,7,4,118,43,10,11.0,3.28,33,4,0,3,0,2,0,1,2,1,1,4,1,1,1,5.0,22,5,2,1956,2,3,2,5,9000,3,2,2,2,2,2,1,11.0,4.7,6,3,5,2,4,5,4,4,1,4,6,5,4,2,4,6,4,3,4,2,2,2,6,5,6,6,4,2,4,2,4,6,6,3,4,2,4,1,4,6,2,4,3,4,2,2,2,5,1,4,4,3,4,4,3,4,2,1,4,1,2,2,4,1,1,3,1,30.0,1,65,3,45,1,54,0.000367986,0.9984088205497536,H0015,10360035,1,1,1,9.0,108,0.54,0.59,0.165,0.16666666666666666,1.1,0.47000000000000003,6.0,0,1,0,0,1,0,1,1,0,0,1,female,54 years old,around CHF 9000 per month,not high education,a non-work trip,car is available for this trip
10360113,1,5,145,54,19,14.0,1.26,14,4,0,3,2,3,0,3,3,1,1,4,1,1,1,5.0,5,5,1,1957,1,3,1,1,9000,3,2,2,2,2,2,1,14.0,1.81,1,4,4,3,3,4,6,6,2,4,3,4,4,2,3,4,4,2,4,2,3,4,4,4,6,6,4,2,6,6,2,6,6,4,4,2,4,2,4,4,2,4,4,4,4,2,2,4,2,3,2,3,4,2,-1,4,2,1,4,1,3,3,2,2,3,3,1,14.2,1,72,1,15,1,53,0.000409116,1.1100015300256885,H0016,10360113,1,1,1,9.0,126,0.63,0.725,0.07,0.31666666666666665,1.4,0.181,2.84,0,1,1,0,0,0,0,0,1,0,1,male,53 years old,around CHF 9000 per month,not high education,a non-work trip,car is available for this trip
10360139,1,4,135,72,11,15.6,3.11,33,4,2,2,1,3,2,1,3,1,2,3,1,1,1,5.0,7,6,2,1964,1,3,2,6,15000,5,1,2,2,2,1,1,7.8,4.46,2,4,3,2,4,3,5,4,1,3,1,5,4,1,3,4,5,1,5,4,4,4,5,5,3,6,2,2,5,1,1,1,6,3,4,4,3,1,2,5,1,4,3,4,4,2,1,5,1,3,2,4,4,4,2,4,2,1,4,1,1,4,1,4,4,3,1,31.0,1,52,4,61,1,46,9.82e-05,0.26643335936145884,H0017,10360139,1,1,1,15.0,124,0.62,0.675,0.165,0.18333333333333332,0.78,0.446,6.2,0,0,0,1,0,0,0,1,0,0,1,female,46 years old,around CHF 15000 per month,not high education,a non-work trip,car is available for this trip
10360159,8,2,232,131,40,11.8,2.23,29,3,2,1,0,2,2,1,2,1,1,1,0,1,1,5.0,8,3,2,1968,2,4,2,4,5000,3,2,2,2,2,2,1,11.8,3.2,1,3,4,3,4,4,4,3,2,5,1,5,5,3,3,5,5,1,4,4,3,4,6,5,2,6,5,3,4,3,1,6,4,3,3,2,3,1,3,5,1,5,5,5,5,2,1,5,1,3,4,4,3,4,3,4,2,1,4,1,5,3,3,2,2,3,1,22.5,1,61,8,30,1,42,0.000367986,0.9984088205497536,H0018,10360159,1,1,1,5.0,192,0.96,1.16,0.145,0.6666666666666666,1.1800000000000002,0.32,4.5,0,1,0,0,0,0,1,0,0,0,1,female,42 years old,around CHF 5000 per month,not high education,a non-work trip,car is available for this trip
10360177,4,2,131,92,5,12.4,1.62,15,4,2,2,1,2,2,2,1,1,2,2,2,1,1,4.0,2,5,1,1976,3,1,1,3,9000,3,2,2,2,2,2,1,12.4,2.32,1,5,3,3,4,5,5,5,1,5,1,5,5,1,5,4,5,2,5,3,3,4,5,5,1,1,4,2,5,2,2,1,1,2,4,4,4,1,4,4,2,2,2,2,2,1,2,5,2,5,1,3,5,1,3,4,2,1,4,1,5,2,4,1,1,3,1,16.5,1,34,4,30,1,34,0.000967286,2.6244120004410196,H0019,10360177,1,1,1,9.0,126,0.63,0.655,0.075,0.08333333333333333,1.24,0.23199999999999998,3.3,0,1,0,0,0,0,1,0,0,0,1,male,34 years old,around CHF 9000 per month,not high education,a non-work trip,car is available for this trip
10360177,4,5,213,89,53,24.8,4.93,39,4,2,2,1,2,2,2,1,1,2,2,2,1,1,4.0,2,5,1,1976,3,1,1,3,9000,3,2,2,2,2,2,1,24.8,7.06,1,5,3,3,4,5,5,5,1,5,1,5,5,1,5,4,5,2,5,3,3,4,5,5,1,1,4,2,5,2,2,1,1,2,4,4,4,1,4,4,2,2,2,2,2,1,2,5,2,5,1,3,5,1,3,4,2,1,4,1,5,2,4,1,1,3,1,54.0,1,71,4,60,1,34,0.000967286,2.6244120004410196,H0020,10360177,1,1,1,9.0,160,0.8,1.065,0.195,0.8833333333333333,2.48,0.706,10.8,0,1,0,0,0,0,1,0,0,0,1,male,34 years old,around CHF 9000 per month,not high education,a non-work trip,car is available for this trip
10360193,1,5,159,98,11,43.2,3.22,28,2,0,2,0,0,0,1,1,1,1,2,0,1,1,7.0,2,6,1,1973,2,2,1,2,15000,7,2,2,2,2,2,1,43.2,4.61,3,4,6,2,5,5,5,6,5,4,6,4,5,3,4,4,5,1,5,3,3,4,5,1,4,6,6,2,5,6,5,6,5,1,4,1,3,1,5,5,5,5,3,4,4,5,3,5,6,3,3,5,2,4,2,4,2,1,4,1,3,3,4,2,1,3,1,32.5,1,50,3,40,1,37,0.000378621,1.0272633905783595,H0021,10360193,1,1,1,15.0,148,0.74,0.795,0.14,0.18333333333333332,4.32,0.461,6.5,1,0,0,0,0,0,1,0,1,0,1,male,37 years old,around CHF 15000 per month,high education,a non-work trip,car is available for this trip
10360195,1,5,194,82,22,19.2,4.87,47,4,0,2,1,4,0,3,2,1,-1,-1,0,1,1,5.0,15,5,2,1958,2,3,2,6,9000,5,1,2,2,2,2,1,9.6,6.98,4,5,6,4,4,5,6,2,6,4,2,4,4,2,4,6,6,2,5,5,6,3,4,4,6,6,6,4,4,6,6,6,4,3,4,4,4,1,2,5,4,2,4,6,6,6,2,5,2,3,4,2,2,4,2,4,2,1,4,1,5,4,2,2,2,3,1,51.5,1,90,3,75,1,52,9.82e-05,0.26643335936145884,H0022,10360195,1,1,1,9.0,172,0.86,0.97,0.235,0.36666666666666664,0.96,0.6980000000000001,10.3,0,0,0,1,0,0,0,0,0,0,1,female,52 years old,around CHF 9000 per month,not high education,a non-work trip,car is available for this trip
10360196,1,4,126,60,12,13.2,2.57,26,4,0,2,1,4,0,3,2,1,1,4,0,1,1,5.0,15,5,2,1958,2,3,2,6,9000,5,1,2,2,2,2,1,6.6,3.68,4,5,6,4,4,5,6,2,6,4,2,4,4,2,4,6,6,2,5,5,6,3,4,4,6,6,6,4,4,6,6,6,4,3,4,4,4,1,2,5,4,2,4,6,6,6,2,5,2,3,4,2,2,4,2,4,2,1,4,1,5,3,2,2,2,3,1,27.0,1,54,3,55,1,52,9.82e-05,0.26643335936145884,H0023,10360196,1,1,1,9.0,114,0.57,0.63,0.13,0.2,0.6599999999999999,0.368,5.4,0,0,0,1,0,0,0,0,0,0,1,female,52 years old,around CHF 9000 per month,not high education,a non-work trip,car is available for this trip
