respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,TimePT,TimePT_non_wait,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,TimePT_non_wait_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,Choice
H0001,10350085,1.1100015300256885,57,male,57 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,1,4,1,5,1,3,190,172,18,10.8,14,1.66,12.5,0.95,0.86,0.07,0.3,1.08,0.16599999999999998,2.5,1
H0002,10350133,1.1100015300256885,59,male,59 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,2,3,1,5,2,5,92,84,8,11.0,27,3.88,27.0,0.46,0.42,0.135,0.13333333333333333,1.1,0.388,5.4,1
H0003,10350197,1.0272633905783595,30,male,30 or younger,15000,around CHF 15000 per month,1,0,0,0,0,1,15.0,0,0,0,2,1,2,0,1,0,a work trip,high education,1,car is available for this trip,2,1,2,4,5,4,124,100,24,0.0,22,3.5,26.0,0.62,0.5,0.11,0.4,0.0,0.35,5.2,1
H0004,10350199,0.6296835007540205,33,female,33 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,2,3,1,0,1,a non-work trip,high education,1,car is available for this trip,4,6,1,5,1,3,80,77,3,4.8,12,1.62,11.0,0.4,0.385,0.06,0.05,0.48,0.162,2.2,1
H0005,10350271,2.3605670058945383,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,3,2,3,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,2,4,1,2,147,112,35,22.0,28,2.92,20.0,0.735,0.56,0.14,0.5833333333333334,2.2,0.292,4.0,1
H0006,10350271,2.3605670058945383,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,3,2,3,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,2,4,1,2,117,92,25,8.6,20,2.09,15.0,0.585,0.46,0.1,0.4166666666666667,0.86,0.209,3.0,1
H0007,10350272,1.1100015300256885,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,1,0,a work trip,not high education,1,car is available for this trip,2,6,2,4,2,3,266,171,95,37.2,51,7.65,55.0,1.33,0.855,0.255,1.5833333333333333,3.72,0.765,11.0,1
H0008,10350272,1.1100015300256885,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,0,1,a non-work trip,not high education,1,car is available for this trip,2,6,2,4,2,3,250,113,137,11.0,40,7.39,49.5,1.25,0.565,0.2,2.283333333333333,1.1,0.739,9.9,1
H0009,10360011,1.1100015300256885,56,male,56 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,3,2,3,4,2,2,180,139,41,26.4,45,6.35,44.5,0.9,0.695,0.225,0.6833333333333333,2.6399999999999997,0.635,8.9,1
H0010,10360011,1.1100015300256885,56,male,56 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,3,2,3,4,2,2,312,261,51,59.6,93,20.1,135.5,1.56,1.305,0.465,0.85,5.96,2.0100000000000002,27.1,1
H0011,10360013,0.2960937410777467,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,2,5,1,2,181,166,15,16.2,24,2.97,20.0,0.905,0.83,0.12,0.25,1.6199999999999999,0.29700000000000004,4.0,1
H0012,10360014,0.2960937410777467,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,0,0,1,a non-work trip,high education,1,car is available for this trip,3,2,2,5,1,2,95,87,8,9.6,27,4.07,28.0,0.475,0.435,0.135,0.13333333333333333,0.96,0.40700000000000003,5.6,1
H0013,10360016,0.9984088205497536,44,female,44 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,1,3,1,3,184,174,10,20.0,30,3.68,22.0,0.92,0.87,0.15,0.16666666666666666,2.0,0.368,4.4,1
H0014,10360024,0.2960937410777467,51,male,51 years old,9000,around CHF 9000 per month,0,0,1,0,0,0,9.0,1,0,0,2,5,5,3,0,1,a non-work trip,not high education,1,car is available for this trip,4,4,2,5,2,4,200,188,12,15.2,26,3.34,24.5,1.0,0.94,0.13,0.2,1.52,0.33399999999999996,4.9,1
H0015,10360035,0.9984088205497536,54,female,54 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,1,1,0,3,2,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,6,6,2,4,3,2,118,108,10,11.0,33,4.7,30.0,0.59,0.54,0.165,0.16666666666666666,1.1,0.47000000000000003,6.0,1
H0016,10360113,1.1100015300256885,53,male,53 years old,9000,around CHF 9000 per month,0,1,1,0,0,0,9.0,0,0,1,3,3,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,2,3,2,2,145,126,19,14.0,14,1.81,14.2,0.725,0.63,0.07,0.31666666666666665,1.4,0.181,2.84,1
H0017,10360139,0.26643335936145884,46,female,46 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,0,1,0,2,3,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,1,4,1,1,135,124,11,7.8,33,4.46,31.0,0.675,0.62,0.165,0.18333333333333332,0.78,0.446,6.2,1
H0018,10360159,0.9984088205497536,42,female,42 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,0,0,1,2,3,2,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,1,4,1,1,232,192,40,11.8,29,3.2,22.5,1.16,0.96,0.145,0.6666666666666666,1.1800000000000002,0.32,4.5,1
H0019,10360177,2.6244120004410196,34,male,34 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,0,2,2,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,2,4,2,2,131,126,5,12.4,15,2.32,16.5,0.655,0.63,0.075,0.08333333333333333,1.24,0.23199999999999998,3.3,1
H0020,10360177,2.6244120004410196,34,male,34 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,0,2,2,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,2,4,2,2,213,160,53,24.8,39,7.06,54.0,1.065,0.8,0.195,0.8833333333333333,2.48,0.706,10.8,1
H0021,10360193,1.0272633905783595,37,male,37 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,3,6,3,5,1,5,159,148,11,43.2,28,4.61,32.5,0.795,0.74,0.14,0.18333333333333332,4.32,0.461,6.5,1
H0022,10360195,0.26643335936145884,52,female,52 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,4,2,2,4,2,4,194,172,22,9.6,47,6.98,51.5,0.97,0.86,0.235,0.36666666666666664,0.96,0.6980000000000001,10.3,1
H0023,10360196,0.26643335936145884,52,female,52 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,4,2,2,4,2,4,126,114,12,6.6,26,3.68,27.0,0.63,0.57,0.13,0.2,0.6599999999999999,0.368,5.4,1
H0024,10360235,0.2960937410777467,61,male,61 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,1,0,0,3,5,3,0,1,0,a work trip,not high education,1,car is available for this trip,1,3,2,5,1,2,219,133,86,38.4,49,9.04,67.0,1.095,0.665,0.245,1.4333333333333333,3.84,0.9039999999999999,13.4,1
H0025,10360236,0.26643335936145884,48,female,48 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,0,0,0,3,5,3,-1,0,1,a non-work trip,not high education,1,car is available for this trip,1,2,3,5,1,4,193,179,14,15.8,40,5.03,32.5,0.965,0.895,0.2,0.23333333333333334,1.58,0.503,6.5,1
H0026,10360286,0.4344844372177664,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,1,5,1,1,185,151,34,43.2,61,11.78,88.0,0.925,0.755,0.305,0.5666666666666667,4.32,1.178,17.6,1
H0027,10360322,0.6296835007540205,35,female,35 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,0,1,3,3,1,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,3,5,1,1,142,112,30,26.0,42,7.45,58.0,0.71,0.56,0.21,0.5,2.6,0.745,11.6,1
H0028,10360322,0.6296835007540205,35,female,35 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,0,1,3,3,1,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,3,5,1,1,108,103,5,11.0,18,1.83,12.5,0.54,0.515,0.09,0.08333333333333333,1.1,0.183,2.5,1
H0029,10360414,0.2960937410777467,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,108,93,15,9.6,23,3.4,25.0,0.54,0.465,0.115,0.25,0.96,0.33999999999999997,5.0,1
H0030,10360414,0.2960937410777467,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,102,84,18,9.6,24,3.73,27.0,0.51,0.42,0.12,0.3,0.96,0.373,5.4,1
H0031,10360415,2.3605670058945383,36,female,36 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,1,5,5,3,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,2,4,2,2,77,69,8,6.0,18,2.01,14.0,0.385,0.345,0.09,0.13333333333333333,0.6,0.20099999999999998,2.8,1
H0032,10360460,2.6244120004410196,27,male,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,0,2,1,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,3,4,2,2,66,46,20,9.6,16,2.41,17.0,0.33,0.23,0.08,0.3333333333333333,0.96,0.24100000000000002,3.4,1
H0033,10360465,0.9984088205497536,43,female,43 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,0,1,1,4,4,1,0,1,a non-work trip,not high education,1,car is available for this trip,1,4,6,4,2,2,138,120,18,9.6,12,1.32,10.5,0.69,0.6,0.06,0.3,0.96,0.132,2.1,1
H0034,10360465,0.9984088205497536,43,female,43 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,0,1,1,4,4,1,0,1,a non-work trip,not high education,1,car is available for this trip,1,4,6,4,2,2,130,113,17,9.6,20,2.74,20.5,0.65,0.565,0.1,0.2833333333333333,0.96,0.274,4.1,1
H0035,10360518,0.9239865491924742,28,female,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,1,2,2,2,0,1,0,a work trip,high education,1,car is available for this trip,2,2,1,5,1,4,104,93,11,11.0,35,4.63,31.0,0.52,0.465,0.175,0.18333333333333332,1.1,0.46299999999999997,6.2,1
H0036,10360519,0.7000658609902283,29,male,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,0,2,2,2,0,1,0,a work trip,high education,1,car is available for this trip,3,2,4,4,3,4,279,241,38,46.2,117,15.35,109.0,1.395,1.205,0.585,0.6333333333333333,4.62,1.535,21.8,1
H0037,10360519,0.7000658609902283,29,male,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,0,2,2,2,0,0,1,a non-work trip,high education,1,car is available for this trip,3,2,4,4,3,4,127,69,58,12.4,31,3.48,24.0,0.635,0.345,0.155,0.9666666666666667,1.24,0.348,4.8,1
H0038,10360526,10.498991021243546,31,male,31 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,1,3,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,4,3,4,1,1,151,141,10,0.0,44,5.89,38.5,0.755,0.705,0.22,0.16666666666666666,0.0,0.589,7.7,0
H0039,10360533,0.6296835007540205,39,female,39 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,3,3,1,0,1,a non-work trip,not high education,1,car is available for this trip,1,2,1,5,1,4,251,192,59,65.8,76,15.96,119.0,1.255,0.96,0.38,0.9833333333333333,6.58,1.596,23.8,1
H0040,10360536,0.7000658609902283,39,male,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,1,1,0,0,0,1,a non-work trip,high education,1,car is available for this trip,1,2,4,5,4,2,166,161,5,12.6,41,4.34,30.0,0.83,0.805,0.205,0.08333333333333333,1.26,0.434,6.0,1
H0041,10360566,1.1100015300256885,52,male,52 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,1,1,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,1,2,2,4,2,4,141,133,8,14.4,36,4.87,32.0,0.705,0.665,0.18,0.13333333333333333,1.44,0.487,6.4,1
