model_key,respondent_id,indicator_name,indicator_value,is_valid_indicator,duration_sec
qwen3.5_9b,QW0001,Envir01,4,1,0.4477489
qwen3.5_9b,QW0001,Mobil05,4,1,0.5170325
qwen3.5_9b,QW0001,LifSty07,4,1,0.3202584
qwen3.5_9b,QW0001,Envir05,4,1,0.3544719
qwen3.5_9b,QW0001,Mobil12,4,1,0.4285206
qwen3.5_9b,QW0001,LifSty01,4,1,0.4884948
qwen3.5_9b,QW0002,Envir01,4,1,0.4428432
qwen3.5_9b,QW0002,Mobil05,4,1,0.5006113
qwen3.5_9b,QW0002,LifSty07,4,1,0.3703623
qwen3.5_9b,QW0002,Envir05,4,1,0.3463797
qwen3.5_9b,QW0002,Mobil12,4,1,0.3757701
qwen3.5_9b,QW0002,LifSty01,4,1,0.4243655
qwen3.5_9b,QW0003,Envir01,4,1,0.387064
qwen3.5_9b,QW0003,Mobil05,4,1,0.4272454
qwen3.5_9b,QW0003,LifSty07,4,1,0.3273385
qwen3.5_9b,QW0003,Envir05,4,1,0.3580768
qwen3.5_9b,QW0003,Mobil12,4,1,0.5003747
qwen3.5_9b,QW0003,LifSty01,4,1,0.5129829
qwen3.5_9b,QW0004,Envir01,4,1,0.4473182
qwen3.5_9b,QW0004,Mobil05,5,1,0.4634677
qwen3.5_9b,QW0004,LifSty07,3,1,0.3249829
qwen3.5_9b,QW0004,Envir05,4,1,0.3416681
qwen3.5_9b,QW0004,Mobil12,4,1,0.4001249
qwen3.5_9b,QW0004,LifSty01,3,1,0.4518444
