model_key,respondent_id,human_respondent_id,human_id,normalized_weight,prompt_arm,semantic_arm,task_index,task_role,pair_id,manipulation_type,anchor_task_index,semantic_labels,option_order,display_A_alt,display_B_alt,display_C_alt,scenario_id,complexity_score,CAR_AVAILABLE,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,target_alternative_name,dominated_alternative_name,dominance_reason
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,1,core,CORE_1,core,-1,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0393,0.2826189354686764,1,174.0,56.0,17.6,48.0,7.85,58.0,0.87,0.9333333333333332,1.7600000000000002,0.24,0.7849999999999999,11.6,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,2,core,CORE_2,core,-1,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0275,0.7347538574577517,1,76.0,3.0,2.7,22.0,2.29,12.0,0.38,0.05,0.27,0.11,0.229,2.4,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,3,core,CORE_3,core,-1,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0618,0.8271298593879238,1,99.0,0.0,0.0,39.0,5.09,31.5,0.495,0.0,0.0,0.195,0.509,6.3,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,4,core,CORE_4,core,-1,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0098,0.35574528637495556,1,126.0,15.0,14.8,27.0,4.14,31.0,0.63,0.25,1.48,0.135,0.414,6.2,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,5,core,CORE_5,core,-1,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0682,0.30721966205837176,0,149.0,60.0,0.0,28.0,2.79,20.0,0.745,1.0,0.0,0.14,0.279,4.0,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,6,core,CORE_6,core,-1,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0428,0.4051316677920324,1,156.0,5.0,15.0,59.0,6.0,44.0,0.78,0.0833333333333333,1.5,0.295,0.6,8.8,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,7,core,CORE_7,core,-1,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0453,0.6200909466721786,1,172.0,2.0,0.0,88.0,10.66,65.0,0.86,0.0333333333333333,0.0,0.44,1.066,13.0,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,8,core,CORE_8,core,-1,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0290,0.45822514128608527,1,162.0,14.0,12.5,66.0,7.81,53.0,0.81,0.2333333333333333,1.25,0.33,0.7809999999999999,10.6,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,9,label_mask_twin,LABEL_1,label_mask,1,0,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0393,0.2826189354686764,1,174.0,56.0,17.6,48.0,7.85,58.0,0.87,0.9333333333333332,1.7600000000000002,0.24,0.7849999999999999,11.6,,,
qwen3.5_9b,QW0001,H0590,70130813,0.954424398357919,semantic_arm,1,10,label_mask_twin,LABEL_2,label_mask,2,0,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,S0275,0.7347538574577517,1,76.0,3.0,2.7,22.0,2.29,12.0,0.38,0.05,0.27,0.11,0.229,2.4,,,
