respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01
H0001,10350017,0.8832827856419051,27,male,30 or younger,7000,around CHF 7000 per month,1,0,0,0,0,1,7.0,1,0,0,1,3,2,0,1,0,a work trip,high education,1,car is available for this trip,3,3,1,5,1,4
H0002,10350085,0.954424398357919,57,male,57 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,1,4,1,5,1,3
H0003,10350086,0.8584724543995766,58,female,58 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,0,2,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,2,3,2,5,2,4
H0004,10350133,0.954424398357919,59,male,59 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,2,3,1,5,2,5
H0005,10350197,0.8832827856419051,30,male,30 or younger,15000,around CHF 15000 per month,1,0,0,0,0,1,15.0,0,0,0,2,1,2,0,1,0,a work trip,high education,1,car is available for this trip,2,1,2,4,5,4
H0006,10350272,0.954424398357919,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,1,0,a work trip,not high education,1,car is available for this trip,2,6,2,4,2,3
H0007,10360011,0.954424398357919,56,male,56 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,3,2,3,4,2,2
H0008,10360011,0.954424398357919,56,male,56 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,a work trip,not high education,1,car is available for this trip,3,2,3,4,2,2
H0009,10360013,0.2545934244605354,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,2,5,1,2
H0010,10360016,0.8584724543995766,44,female,44 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,1,3,1,3
H0011,10360024,0.2545934244605354,51,male,51 years old,9000,around CHF 9000 per month,0,0,1,0,0,0,9.0,1,0,0,2,5,5,3,0,1,a non-work trip,not high education,1,car is available for this trip,4,4,2,5,2,4
H0012,10360113,0.954424398357919,53,male,53 years old,9000,around CHF 9000 per month,0,1,1,0,0,0,9.0,0,0,1,3,3,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,2,3,2,2
H0013,10360139,0.2290902236010023,46,female,46 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,0,1,0,2,3,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,1,4,1,1
H0014,10360193,0.8832827856419051,37,male,37 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,3,6,3,5,1,5
H0015,10360195,0.2290902236010023,52,female,52 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,4,2,2,4,2,4
H0016,10360196,0.2290902236010023,52,female,52 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,0,1,a non-work trip,not high education,1,car is available for this trip,4,2,2,4,2,4
H0017,10360235,0.2545934244605354,61,male,61 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,1,0,0,3,5,3,0,1,0,a work trip,not high education,1,car is available for this trip,1,3,2,5,1,2
H0018,10360236,0.2290902236010023,48,female,48 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,0,0,0,3,5,3,-1,0,1,a non-work trip,not high education,1,car is available for this trip,1,2,3,5,1,4
H0019,10360286,0.3735873657560173,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,1,5,1,1
H0020,10360322,0.5414274486172608,35,female,35 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,0,1,3,3,1,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,3,5,1,1
H0021,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,3,4,4,2
H0022,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2
H0023,10360460,2.256576028779217,27,male,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,0,2,1,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,3,4,2,2
H0024,10360464,5.694231137832636,17,male,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,0,1,4,4,1,1,0,a work trip,not high education,0,car is not available for this trip,2,4,2,4,3,3
H0025,10360518,0.7944811628173415,28,female,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,1,2,2,2,0,1,0,a work trip,high education,1,car is available for this trip,2,2,1,5,1,4
H0026,10360519,0.6019450605361366,29,male,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,0,2,2,2,0,1,0,a work trip,high education,1,car is available for this trip,3,2,4,4,3,4
H0027,10360519,0.6019450605361366,29,male,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,0,2,2,2,0,0,1,a non-work trip,high education,1,car is available for this trip,3,2,4,4,3,4
H0028,10360526,9.027458897812208,31,male,31 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,1,3,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,4,3,4,1,1
H0029,10360533,0.5414274486172608,39,female,39 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,3,3,1,0,1,a non-work trip,not high education,1,car is available for this trip,1,2,1,5,1,4
H0030,10360536,0.6019450605361366,39,male,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,1,1,0,0,0,1,a non-work trip,high education,1,car is available for this trip,1,2,4,5,4,2
H0031,10360566,0.954424398357919,52,male,52 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,1,1,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,1,2,2,4,2,4
H0032,10360624,1.423375818700105,19,male,30 or younger,-1,unknown income,0,1,0,0,0,1,-0.001,1,0,0,2,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,3,2,2,5,1,1
H0033,10540009,0.8584724543995766,44,female,44 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,1,2,3,4,2,1,0,a work trip,not high education,1,car is available for this trip,2,6,3,4,3,3
H0034,10540031,0.8584724543995766,45,female,45 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,6,1,5,1,2
H0035,10540046,0.2545934244605354,45,male,45 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,1,0,1,1,1,1,-1,0,1,a non-work trip,not high education,1,car is available for this trip,4,4,1,5,1,3
H0036,10540130,0.954424398357919,40,male,40 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,1,2,5,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,1,5,1,2
H0037,10540130,0.954424398357919,40,male,40 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,1,2,5,4,2,1,0,a work trip,not high education,1,car is available for this trip,2,1,1,5,1,2
H0038,10540178,0.954424398357919,59,male,59 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,0,0,1,2,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,1,4,1,4
H0039,10540184,0.2545934244605354,63,male,63 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,-1,2,-1,0,1,a non-work trip,high education,1,car is available for this trip,4,2,3,5,1,2
H0040,10540184,0.2545934244605354,63,male,63 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,-1,2,-1,1,0,a work trip,high education,1,car is available for this trip,4,2,3,5,1,2
H0041,10540187,0.954424398357919,45,male,45 years old,15000,around CHF 15000 per month,0,1,0,0,0,0,15.0,1,0,1,1,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,1,4,2,4,1,3
H0042,10540199,0.5414274486172608,22,female,30 or younger,5000,around CHF 5000 per month,0,0,0,0,0,1,5.0,1,0,0,1,2,3,-1,1,0,a work trip,not high education,1,car is available for this trip,3,1,3,4,2,2
H0043,10540250,0.6019450605361366,25,male,30 or younger,7000,around CHF 7000 per month,0,0,0,1,0,1,7.0,1,1,0,1,2,2,-1,1,0,a work trip,not high education,1,car is available for this trip,1,3,3,4,4,4
H0044,10540260,0.5414274486172608,20,female,30 or younger,5000,around CHF 5000 per month,0,0,0,0,0,1,5.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,3,3,1,5,1,3
H0045,10540266,0.3360277669782562,41,female,41 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,0,2,4,4,2,1,0,a work trip,high education,1,car is available for this trip,4,4,1,5,1,4
H0046,10540297,0.3735873657560173,44,male,44 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,1,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,4,2,2,5,2,2
H0047,10540298,0.7944811628173415,33,female,33 years old,15000,around CHF 15000 per month,1,0,0,1,0,0,15.0,1,0,1,1,0,2,-1,0,1,a non-work trip,high education,0,car is not available for this trip,4,6,3,5,2,2
H0048,10540351,0.954424398357919,51,male,51 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,1,1,0,2,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,6,3,4,2,4
H0049,10540354,0.2290902236010023,43,female,43 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,1,0,1,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,2,4,2,5,1,2
H0050,10540395,0.2545934244605354,47,male,47 years old,15000,around CHF 15000 per month,1,0,0,1,0,0,15.0,1,1,0,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,4,3,2,4,1,2
H0051,10540396,0.2290902236010023,40,female,40 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,4,3,2,4,1,2
H0052,10540515,0.7944811628173415,29,female,30 or younger,7000,around CHF 7000 per month,1,0,0,1,0,1,7.0,1,0,0,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,2,6,2,3,2,1
H0053,10540517,9.027458897812208,39,male,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,1,2,4,3,1,1,0,a work trip,not high education,1,car is available for this trip,1,4,1,4,1,2
H0054,10540518,0.2290902236010023,41,female,41 years old,7000,around CHF 7000 per month,1,0,0,1,0,0,7.0,1,0,0,2,4,3,1,1,0,a work trip,high education,1,car is available for this trip,1,1,1,4,2,1
H0055,10540531,0.1999290444257219,74,male,65 or older,3250,around CHF 3250 per month,1,0,0,0,0,0,3.25,1,0,0,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,1,3,1,4,2,2
H0056,10540548,0.954424398357919,48,male,48 years old,9000,around CHF 9000 per month,0,1,1,0,0,0,9.0,1,1,0,1,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,2,3,6,4,2,3
H0057,10540559,0.2545934244605354,63,male,63 years old,7000,around CHF 7000 per month,0,0,1,0,0,0,7.0,0,1,0,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,4,3,4,4,2,1
H0058,10540559,0.2545934244605354,63,male,63 years old,7000,around CHF 7000 per month,0,0,1,0,0,0,7.0,0,1,0,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,4,3,4,4,2,1
H0059,10540563,0.3360277669782562,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,8,5,3,0,1,a non-work trip,high education,1,car is available for this trip,3,3,1,4,1,2
H0060,10540672,2.029711386372872,34,female,34 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,0,2,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,1,6,1,4,1,3
H0061,10540689,0.6019450605361366,38,male,38 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,3,3,2,2
H0062,10540689,0.6019450605361366,38,male,38 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,3,3,2,2
H0063,10540691,0.3360277669782562,43,female,43 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,2,5,1,1
H0064,10540691,0.3360277669782562,43,female,43 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,2,5,1,1
H0065,10540774,0.3735873657560173,57,male,57 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,3,3,0,0,1,a non-work trip,high education,1,car is available for this trip,2,2,3,4,3,2
H0066,10540804,0.8832827856419051,24,male,30 or younger,10807,around CHF 10807 per month,1,0,0,0,0,1,10.807,1,0,1,-1,-1,-1,-1,0,1,a non-work trip,high education,1,car is available for this trip,3,2,3,4,3,2
H0067,10541086,0.8584724543995766,41,female,41 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,0,0,1,1,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,4,1,5,1,3
H0068,10541086,0.8584724543995766,41,female,41 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,0,0,1,1,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,2,4,1,5,1,3
H0069,10980079,0.2545934244605354,40,male,40 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,7,5,3,0,1,a non-work trip,high education,1,car is available for this trip,4,5,1,5,1,3
H0070,11460027,0.8584724543995766,52,female,52 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,0,1,0,1,2,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,3,1,2,4,1,2
H0071,11460060,0.3735873657560173,47,male,47 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,6,4,0,1,a non-work trip,high education,1,car is available for this trip,5,2,2,5,2,3
H0072,11460070,0.2290902236010023,56,female,56 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,1,0,2,2,1,0,1,0,a work trip,high education,1,car is available for this trip,1,3,1,4,1,2
H0073,11460082,0.2290902236010023,58,female,58 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,1,1,0,2,0,2,0,1,0,a work trip,not high education,1,car is available for this trip,3,6,3,4,2,3
H0074,14050001,0.8584724543995766,41,female,41 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,5,2,1,0,a work trip,not high education,1,car is available for this trip,2,2,1,4,1,2
H0075,14050001,0.8584724543995766,41,female,41 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,5,2,1,0,a work trip,not high education,1,car is available for this trip,2,2,1,4,1,2
H0076,14050047,2.256576028779217,31,male,31 years old,15000,around CHF 15000 per month,0,1,0,1,0,0,15.0,1,0,1,3,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,4,4,4,3,2
H0077,14050075,0.954424398357919,44,male,44 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,5,4,1,5,1,3
H0078,14050133,2.256576028779217,37,male,37 years old,15000,around CHF 15000 per month,0,1,1,0,0,0,15.0,1,1,0,1,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,3,2,3,4,2,5
H0079,14050186,2.256576028779217,37,male,37 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,1,0,2,9,7,5,0,1,a non-work trip,not high education,1,car is available for this trip,4,1,1,4,1,1
H0080,14050186,2.256576028779217,37,male,37 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,1,0,2,9,7,5,1,0,a work trip,not high education,1,car is available for this trip,4,1,1,4,1,1
H0081,14050194,0.7495589495214057,-1,male,30 or younger,7000,around CHF 7000 per month,0,1,0,0,1,1,7.0,1,0,0,1,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,6,5,3,5,1,2
H0082,14050278,0.3735873657560173,46,male,46 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,1,4,2,5,1,2
H0083,19130092,2.029711386372872,36,female,36 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,0,0,1,1,1,-1,1,0,a work trip,not high education,1,car is available for this trip,2,1,2,4,2,2
