respondent_id,human_id,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,CAR_AVAILABLE,pt_proxy,car_proxy,slow_proxy,complexity_score,complexity_rank,scenario_id
H0001,10350017,85,10,0.0,32,4.54,30.0,0.425,0.1666666666666666,0.0,0.16,0.454,6.0,1,0.5916666666666666,0.614,6.0,0.9781545484186499,0.9901129943502824,S0001
H0002,10350085,190,18,10.8,14,1.66,12.5,0.95,0.3,1.08,0.07,0.1659999999999999,2.5,1,2.33,0.2359999999999999,2.5,0.8547008547008548,0.905367231638418,S0002
H0003,10350086,116,29,9.6,20,2.71,19.0,0.58,0.4833333333333333,0.96,0.1,0.271,3.8,1,2.0233333333333334,0.371,3.8,0.37702651753173305,0.3050847457627119,S0003
H0004,10350133,92,8,11.0,27,3.88,27.0,0.46,0.1333333333333333,1.1,0.135,0.388,5.4,1,1.6933333333333334,0.523,5.4,0.4607587160190447,0.4300847457627119,S0004
H0005,10350197,124,24,0.0,22,3.5,26.0,0.62,0.4,0.0,0.11,0.35,5.2,1,1.02,0.45999999999999996,5.2,0.641025641025641,0.6878531073446328,S0005
H0006,10350272,266,95,37.2,51,7.65,55.0,1.33,1.5833333333333333,3.72,0.255,0.765,11.0,1,6.633333333333333,1.02,11.0,0.18633540372670807,0.0748587570621469,S0006
H0007,10360011,180,41,26.4,45,6.35,44.5,0.9,0.6833333333333333,2.64,0.225,0.635,8.9,1,4.223333333333334,0.86,8.9,0.2291825821237586,0.10875706214689265,S0007
H0008,10360011,312,51,59.6,93,20.1,135.5,1.56,0.85,5.96,0.465,2.01,27.1,1,8.370000000000001,2.4749999999999996,27.1,0.14503263234227698,0.03672316384180791,S0008
H0009,10360013,181,15,16.2,24,2.97,20.0,0.905,0.25,1.62,0.12,0.297,4.0,1,2.7750000000000004,0.417,4.0,0.4494382022471911,0.4138418079096045,S0009
H0010,10360016,184,10,20.0,30,3.68,22.0,0.92,0.1666666666666666,2.0,0.15,0.368,4.4,1,3.086666666666667,0.518,4.4,0.4322766570605187,0.3855932203389831,S0010
H0011,10360024,200,12,15.2,26,3.34,24.5,1.0,0.2,1.52,0.13,0.3339999999999999,4.9,1,2.7199999999999998,0.4639999999999999,4.9,0.3144654088050314,0.21610169491525424,S0011
H0012,10360113,145,19,14.0,14,1.81,14.2,0.725,0.3166666666666666,1.4,0.07,0.181,2.84,1,2.4416666666666664,0.251,2.84,0.7151370679380215,0.7838983050847458,S0012
H0013,10360139,135,11,7.8,33,4.46,31.0,0.675,0.1833333333333333,0.78,0.165,0.446,6.2,1,1.6383333333333334,0.611,6.2,0.49325879644853665,0.4774011299435028,S0013
H0014,10360193,159,11,43.2,28,4.61,32.5,0.795,0.1833333333333333,4.32,0.14,0.461,6.5,1,5.298333333333334,0.601,6.5,0.4542013626040879,0.4194915254237288,S0014
H0015,10360195,194,22,9.6,47,6.98,51.5,0.97,0.3666666666666666,0.96,0.235,0.6980000000000001,10.3,1,2.2966666666666664,0.933,10.3,0.4230714990833452,0.3728813559322034,S0015
H0016,10360196,126,12,6.6,26,3.68,27.0,0.63,0.2,0.6599999999999999,0.13,0.368,5.4,1,1.49,0.498,5.4,0.5020080321285141,0.4943502824858757,S0016
H0017,10360235,219,86,38.4,49,9.04,67.0,1.095,1.4333333333333331,3.84,0.245,0.904,13.4,1,6.368333333333333,1.149,13.4,0.1607889377210848,0.04943502824858757,S0017
H0018,10360236,193,14,15.8,40,5.03,32.5,0.965,0.2333333333333333,1.58,0.2,0.503,6.5,1,2.7783333333333333,0.7030000000000001,6.5,0.32516800346845876,0.23728813559322035,S0018
H0019,10360286,185,34,43.2,61,11.78,88.0,0.925,0.5666666666666667,4.32,0.305,1.178,17.6,1,5.811666666666667,1.4829999999999999,17.6,0.18766420618040783,0.07768361581920905,S0019
H0020,10360322,142,30,26.0,42,7.45,58.0,0.71,0.5,2.6,0.21,0.745,11.6,1,3.81,0.955,11.6,0.2594033722438392,0.1426553672316384,S0020
H0021,10360414,108,15,9.6,23,3.4,25.0,0.54,0.25,0.96,0.115,0.3399999999999999,5.0,1,1.75,0.4549999999999999,5.0,0.4357298474945534,0.3905367231638418,S0021
H0022,10360414,102,18,9.6,24,3.73,27.0,0.51,0.3,0.96,0.12,0.373,5.4,1,1.77,0.493,5.4,0.43917435221783047,0.3968926553672316,S0022
H0023,10360460,66,20,9.6,16,2.41,17.0,0.33,0.3333333333333333,0.96,0.08,0.241,3.4,1,1.6233333333333333,0.321,3.4,0.43434197191255247,0.3884180790960452,S0023
H0024,10360464,91,11,0.0,22,2.95,22.5,0.455,0.1833333333333333,0.0,0.11,0.295,4.5,0,0.6383333333333333,1000000.0,4.5,0.20569077819677753,0.0903954802259887,S0024
H0025,10360518,104,11,11.0,35,4.63,31.0,0.52,0.1833333333333333,1.1,0.175,0.4629999999999999,6.2,1,1.8033333333333335,0.6379999999999999,6.2,0.4618226600985221,0.4336158192090395,S0025
H0026,10360519,279,38,46.2,117,15.35,109.0,1.395,0.6333333333333333,4.62,0.585,1.535,21.8,1,6.648333333333333,2.12,21.8,0.18088634308109738,0.0692090395480226,S0026
H0027,10360519,127,58,12.4,31,3.48,24.0,0.635,0.9666666666666668,1.24,0.155,0.348,4.8,1,2.841666666666667,0.503,4.8,0.33802816901408456,0.2514124293785311,S0027
H0028,10360526,151,10,0.0,44,5.89,38.5,0.755,0.1666666666666666,0.0,0.22,0.589,7.7,1,0.9216666666666666,0.8089999999999999,7.7,0.8987417615338525,0.9378531073446328,S0028
H0029,10360533,251,59,65.8,76,15.96,119.0,1.255,0.9833333333333332,6.58,0.38,1.596,23.8,1,8.818333333333333,1.976,23.8,0.12751307008968418,0.02824858757062147,S0029
H0030,10360536,166,5,12.6,41,4.34,30.0,0.83,0.0833333333333333,1.26,0.205,0.434,6.0,1,2.1733333333333333,0.639,6.0,0.3945810864132579,0.3305084745762712,S0030
H0031,10360566,141,8,14.4,36,4.87,32.0,0.705,0.1333333333333333,1.44,0.18,0.487,6.4,1,2.2783333333333333,0.667,6.4,0.3829461322440643,0.3149717514124294,S0031
H0032,10360624,90,8,5.5,35,4.73,31.0,0.45,0.1333333333333333,0.55,0.175,0.473,6.2,1,1.1333333333333333,0.6479999999999999,6.2,0.6732495511669658,0.7288135593220338,S0032
H0033,10540009,222,34,49.6,55,9.06,69.0,1.11,0.5666666666666667,4.96,0.275,0.906,13.8,1,6.636666666666667,1.181,13.8,0.15490266948933754,0.043785310734463276,S0033
