model_key,respondent_id,block_template_id,run_repeat,indicator_name,indicator_value,is_valid_indicator,duration_sec
qwen3.5_9b,QW0001_R1,QWT0001,1,Envir01,4,1,0.9981261
qwen3.5_9b,QW0001_R1,QWT0001,1,Mobil05,5,1,1.2496075
qwen3.5_9b,QW0001_R1,QWT0001,1,LifSty07,3,1,0.8147862
qwen3.5_9b,QW0001_R1,QWT0001,1,Envir05,5,1,1.3001821
qwen3.5_9b,QW0001_R1,QWT0001,1,Mobil12,2,1,1.0542368
qwen3.5_9b,QW0001_R1,QWT0001,1,LifSty01,3,1,1.2484409
qwen3.5_9b,QW0001_R2,QWT0001,2,Envir01,4,1,1.2447444
qwen3.5_9b,QW0001_R2,QWT0001,2,Mobil05,5,1,0.8162738
qwen3.5_9b,QW0001_R2,QWT0001,2,LifSty07,3,1,0.7779209
qwen3.5_9b,QW0001_R2,QWT0001,2,Envir05,5,1,0.8412912
qwen3.5_9b,QW0001_R2,QWT0001,2,Mobil12,2,1,0.8425684
qwen3.5_9b,QW0001_R2,QWT0001,2,LifSty01,3,1,0.9468929
