model_key,respondent_id,block_template_id,run_repeat,task_index,task_role,pair_id,manipulation_type,anchor_task_index,is_utility_equivalent_intervention,choice_label,choice_code,chosen_alternative_name,confidence,top_attribute_1,top_attribute_2,dominated_option_seen,semantic_labels,option_order,target_alternative_name,dominated_alternative_name,is_valid_task_response,duration_sec
qwen3.5_9b,QW0001_R1,QWT0001,1,1,core,CORE_1,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.585036
qwen3.5_9b,QW0001_R1,QWT0001,1,2,core,CORE_2,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,2.0096069
qwen3.5_9b,QW0001_R1,QWT0001,1,3,core,CORE_3,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.8243405
qwen3.5_9b,QW0001_R1,QWT0001,1,4,core,CORE_4,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,2.0136967
qwen3.5_9b,QW0001_R1,QWT0001,1,5,core,CORE_5,core,-1,0,A,0,PT,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,2.2343514
qwen3.5_9b,QW0001_R1,QWT0001,1,6,core,CORE_6,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.5024458
qwen3.5_9b,QW0001_R1,QWT0001,1,7,paraphrase_twin,PARA_1,paraphrase,1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.5927386
qwen3.5_9b,QW0001_R1,QWT0001,1,8,paraphrase_twin,PARA_2,paraphrase,2,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.7037022
qwen3.5_9b,QW0001_R1,QWT0001,1,9,label_mask_twin,LABEL_1,label_mask,3,0,B,1,CAR,5,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,2.0352122
qwen3.5_9b,QW0001_R1,QWT0001,1,10,label_mask_twin,LABEL_2,label_mask,4,0,B,1,CAR,5,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,2.1704116
qwen3.5_9b,QW0001_R1,QWT0001,1,11,order_twin,ORDER_1,order_randomization,5,0,B,0,PT,5,travel_time,cost,False,1,SLOW_MODES|PT|CAR,,,1,1.6739235
qwen3.5_9b,QW0001_R1,QWT0001,1,12,order_twin,ORDER_2,order_randomization,6,0,A,1,CAR,5,travel_time,cost,False,1,CAR|PT|SLOW_MODES,,,1,2.0794676
qwen3.5_9b,QW0001_R1,QWT0001,1,13,monotonicity,MONO_1,monotonicity,1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,PT,,1,1.9160983
qwen3.5_9b,QW0001_R1,QWT0001,1,14,monotonicity,MONO_2,monotonicity,2,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,CAR,,1,1.9210384
qwen3.5_9b,QW0001_R1,QWT0001,1,15,dominance,DOM_1,dominance,3,0,B,1,CAR,5,travel_time,cost,True,1,PT|CAR|SLOW_MODES,,PT,1,2.4832809
qwen3.5_9b,QW0001_R1,QWT0001,1,16,dominance,DOM_2,dominance,4,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,PT,1,1.7953645
qwen3.5_9b,QW0001_R2,QWT0001,2,1,core,CORE_1,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.4058817
qwen3.5_9b,QW0001_R2,QWT0001,2,2,core,CORE_2,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.5403066
qwen3.5_9b,QW0001_R2,QWT0001,2,3,core,CORE_3,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.6072801
qwen3.5_9b,QW0001_R2,QWT0001,2,4,core,CORE_4,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.6602408
qwen3.5_9b,QW0001_R2,QWT0001,2,5,core,CORE_5,core,-1,0,A,0,PT,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,2.0721153
qwen3.5_9b,QW0001_R2,QWT0001,2,6,core,CORE_6,core,-1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.5302566
qwen3.5_9b,QW0001_R2,QWT0001,2,7,paraphrase_twin,PARA_1,paraphrase,1,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,1.8208257
qwen3.5_9b,QW0001_R2,QWT0001,2,8,paraphrase_twin,PARA_2,paraphrase,2,0,B,1,CAR,5,travel_time,cost,False,1,PT|CAR|SLOW_MODES,,,1,2.2488572
qwen3.5_9b,QW0001_R2,QWT0001,2,9,label_mask_twin,LABEL_1,label_mask,3,0,B,1,CAR,5,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,2.1708349
qwen3.5_9b,QW0001_R2,QWT0001,2,10,label_mask_twin,LABEL_2,label_mask,4,0,B,1,CAR,5,travel_time,cost,False,0,PT|CAR|SLOW_MODES,,,1,1.984801
