respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count
DS0001_R1,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,deepseek_r1_8b,DST0001,1,semantic_arm,1,naturalistic,1,0.41045621154917344,0.23983558936754673,16,6,2,2,2,2,2
DS0001_R2,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,deepseek_r1_8b,DST0001,2,semantic_arm,1,naturalistic,1,0.41045621154917344,0.23983558936754673,16,6,2,2,2,2,2
DS0001_R3,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,deepseek_r1_8b,DST0001,3,semantic_arm,1,naturalistic,1,0.41045621154917344,0.23983558936754673,16,6,2,2,2,2,2
DS0002_R1,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,deepseek_r1_8b,DST0002,1,semantic_arm,1,concise,0,0.4245295249567118,0.24406822337519002,16,6,2,2,2,2,2
DS0002_R2,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,deepseek_r1_8b,DST0002,2,semantic_arm,1,concise,0,0.4245295249567118,0.24406822337519002,16,6,2,2,2,2,2
DS0002_R3,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,deepseek_r1_8b,DST0002,3,semantic_arm,1,concise,0,0.4245295249567118,0.24406822337519002,16,6,2,2,2,2,2
DS0003_R1,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,deepseek_r1_8b,DST0003,1,semantic_arm,1,concise,0,0.5568166110593191,0.20493467058691578,16,6,2,2,2,2,2
DS0003_R2,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,deepseek_r1_8b,DST0003,2,semantic_arm,1,concise,0,0.5568166110593191,0.20493467058691578,16,6,2,2,2,2,2
DS0003_R3,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,deepseek_r1_8b,DST0003,3,semantic_arm,1,concise,0,0.5568166110593191,0.20493467058691578,16,6,2,2,2,2,2
DS0004_R1,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,deepseek_r1_8b,DST0004,1,neutral_arm,0,concise,0,0.5555654234828706,0.0895714968702248,16,6,2,2,2,2,2
DS0004_R2,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,deepseek_r1_8b,DST0004,2,neutral_arm,0,concise,0,0.5555654234828706,0.0895714968702248,16,6,2,2,2,2,2
DS0004_R3,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,deepseek_r1_8b,DST0004,3,neutral_arm,0,concise,0,0.5555654234828706,0.0895714968702248,16,6,2,2,2,2,2
DS0005_R1,54201031,0.2545934244605354,40,male,40 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,1,0,0,1,6,4,2,1,0,a work trip,not high education,1,car is available for this trip,3,3,1,4,1,3,deepseek_r1_8b,DST0005,1,neutral_arm,0,concise,0,0.42982708016868076,0.20742396198650118,16,6,2,2,2,2,2
