,Value,Rob. Std err,Rob. t-test,Rob. p-value
ASC_BS,2.323602602469975,1.7976931348623157e+308,1.2925468520788107e-308,1.0
ASC_ES,-3.145476665093814,1.7976931348623157e+308,-1.7497294750111643e-308,1.0
ASC_WALK,0.7325835330962442,0.17240224823628195,4.249269023987545,2.1446922376711086e-05
B_ACCESS_CAR,0.7199573228998167,0.2873657568121958,2.5053692231337625,0.012232362489409399
B_ACCESS_SHARED,-0.04958908385942898,1.7976931348623157e+308,-2.7584843540734e-310,1.0
B_AVAILABILITY,-0.02244341568538692,1.7976931348623157e+308,-1.2484564384291e-310,1.0
B_COST,-1.8902036742068105,0.4561684880825406,-4.143652452084307,3.418176534752959e-05
B_EGRESS_CAR,0.14147130370862337,0.031855390042233145,4.441047606733553,8.95219850871598e-06
B_EGRESS_SHARED,0.781677065727096,1.7976931348623157e+308,4.34822301185994e-309,1.0
B_FREE_FLOATING,-1.900883861029704,1.7976931348623157e+308,-1.0574017468088575e-308,1.0
B_PARKING,-0.5811892630756591,0.10389190573209689,-5.594172702677679,2.216762151618923e-08
B_PEDELEC,-0.720573521818175,0.39572151712072645,-1.820910642062314,0.06862044123260258
B_TIME_BS,0.42187343050243303,0.10103760669893384,4.175409971452587,2.9744987459556782e-05
B_TIME_CAR,0.8950441612266593,0.2514024002853661,3.5602053131183213,0.00037056495222675956
B_TIME_ES,-2.0874462113601973,1.7976931348623157e+308,-1.1611804989843685e-308,1.0
B_TIME_WALK,0.01396294995307199,0.024471985233782086,0.5705687470666249,0.5682920087176238
