respondent_id,persona_id,female,gender_text,age_band,age_years,income_band,metropolis,metropolis_text,household_cars,accessible_bikes,pt_pass,pt_pass_text,maas_subscription,maas_text
1,P001,1,female,40_49,43,2000_3999_eur,0,large city,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
2,P002,0,male,18_29,24,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
3,P003,0,male,18_29,18,2000_3999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
4,P004,0,male,40_49,48,2000_3999_eur,1,metropolis,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription
5,P005,1,female,60_67,60,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
6,P006,1,female,40_49,40,500_1999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
7,P007,0,male,68_plus,76,2000_3999_eur,1,metropolis,3,4,1,holds a public transport pass,0,does not have a MaaS subscription
8,P008,1,female,50_59,58,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,0,does not have a MaaS subscription
9,P009,0,male,30_39,39,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
10,P010,0,male,40_49,42,500_1999_eur,1,metropolis,3,1,1,holds a public transport pass,0,does not have a MaaS subscription
11,P011,1,female,50_59,56,lt_500_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
12,P012,0,male,30_39,30,4000_plus_eur,0,large city,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
13,P013,0,male,30_39,32,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,1,has an active MaaS subscription
14,P014,0,male,68_plus,73,500_1999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
15,P015,0,male,50_59,51,500_1999_eur,1,metropolis,2,2,1,holds a public transport pass,0,does not have a MaaS subscription
16,P016,1,female,68_plus,78,2000_3999_eur,1,metropolis,1,2,1,holds a public transport pass,1,has an active MaaS subscription
17,P017,1,female,68_plus,70,2000_3999_eur,0,large city,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
18,P018,1,female,50_59,55,500_1999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
19,P019,0,male,60_67,66,500_1999_eur,0,large city,1,4,1,holds a public transport pass,0,does not have a MaaS subscription
20,P020,1,female,30_39,36,4000_plus_eur,1,metropolis,3,3,1,holds a public transport pass,0,does not have a MaaS subscription
21,P021,1,female,30_39,30,4000_plus_eur,0,large city,2,4,1,holds a public transport pass,0,does not have a MaaS subscription
22,P022,1,female,40_49,44,4000_plus_eur,0,large city,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
23,P023,1,female,40_49,40,500_1999_eur,0,large city,2,3,1,holds a public transport pass,0,does not have a MaaS subscription
24,P024,1,female,50_59,53,2000_3999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
25,P025,1,female,30_39,30,lt_500_eur,1,metropolis,0,3,1,holds a public transport pass,0,does not have a MaaS subscription
26,P026,1,female,30_39,39,4000_plus_eur,0,large city,2,1,1,holds a public transport pass,0,does not have a MaaS subscription
27,P027,0,male,40_49,44,500_1999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
28,P028,1,female,60_67,62,4000_plus_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
29,P029,0,male,40_49,47,2000_3999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
30,P030,1,female,50_59,50,500_1999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
