subsample,block_id,task_in_block,task_index_within_subsample,task_id,alternative_id,alternative_name,display_label,trip_length_km,is_available,avail_es,avail_bs,avail_walk,avail_car,avail_cs,avail_rp,avail_pt,travel_time_min,access_time_min,waiting_time_min,egress_time_min,detour_time_min,parking_search_time_min,availability_pct,cost_eur,scheme,engine,range_km,crowding_pct,transfer_count,scheme_free_floating,scheme_hybrid,pedelec,provenance,source_note
SD,1,1,1,SD_B01_T01,e_scooter,E-Scooter Sharing,A,0.5,1,1,1,1,1,0,0,0,5.0,5.0,,3.0,,1.0,10.0,1.8,free-floating,,1.0,,,1,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,1,1,SD_B01_T01,bikesharing,Bike Sharing,B,0.5,1,1,1,1,1,0,0,0,3.0,5.0,,3.0,,1.0,50.0,1.5,free-floating,pedelec,4.0,,,1,0,1,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,1,1,SD_B01_T01,walking,Walking,C,0.5,1,1,1,1,1,0,0,0,14.0,0.0,,0.0,,0.0,,,,,,,,0,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,1,1,SD_B01_T01,private_car,Private Car,D,0.5,1,1,1,1,1,0,0,0,1.0,5.0,,1.0,,1.0,,0.5,,,,,,0,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,1,1,SD_B01_T01,carsharing,Car Sharing,,0.5,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,0,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,1,1,SD_B01_T01,ridepooling,Ridepooling,,0.5,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,0,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,1,1,SD_B01_T01,public_transport,Public Transport,,0.5,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,0,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,2,2,SD_B01_T02,e_scooter,E-Scooter Sharing,A,1.0,1,1,1,1,1,0,0,0,9.0,2.0,,1.0,,0.0,10.0,1.8,station-based,,1.0,,,0,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,2,2,SD_B01_T02,bikesharing,Bike Sharing,B,1.0,1,1,1,1,1,0,0,0,15.0,2.0,,1.0,,0.0,50.0,1.5,station-based,bike,,,,0,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
SD,1,2,2,SD_B01_T02,walking,Walking,C,1.0,1,1,1,1,1,0,0,0,14.0,0.0,,0.0,,0.0,,,,,,,,0,0,0,inferred_from_public,Task-level combination inferred from public attribute levels; underlying level values are public exact.
