subsample,alternative_id,alternative_name,attribute_name,unit,level_order,level_value,source_table,provenance
MD,all,All active MD modes,trip_length_km,km,1,2,Table_3,public_exact
MD,all,All active MD modes,trip_length_km,km,2,5,Table_3,public_exact
MD,all,All active MD modes,trip_length_km,km,3,10,Table_3,public_exact
MD,all,All active MD modes,trip_length_km,km,4,20,Table_3,public_exact
MD,carsharing,Car Sharing,travel_time_min,min,1,4,Table_3,public_exact
MD,carsharing,Car Sharing,travel_time_min,min,2,10,Table_3,public_exact
MD,carsharing,Car Sharing,travel_time_min,min,3,19,Table_3,public_exact
MD,carsharing,Car Sharing,travel_time_min,min,4,25,Table_3,public_exact
MD,carsharing,Car Sharing,travel_time_min,min,5,32,Table_3,public_exact
MD,carsharing,Car Sharing,travel_time_min,min,6,39,Table_3,public_exact
MD,ridepooling,Ridepooling,travel_time_min,min,1,4,Table_3,public_exact
MD,ridepooling,Ridepooling,travel_time_min,min,2,11,Table_3,public_exact
MD,ridepooling,Ridepooling,travel_time_min,min,3,22,Table_3,public_exact
MD,ridepooling,Ridepooling,travel_time_min,min,4,29,Table_3,public_exact
MD,ridepooling,Ridepooling,travel_time_min,min,5,36,Table_3,public_exact
MD,ridepooling,Ridepooling,travel_time_min,min,6,44,Table_3,public_exact
MD,public_transport,Public Transport,travel_time_min,min,1,6,Table_3,public_exact
MD,public_transport,Public Transport,travel_time_min,min,2,14,Table_3,public_exact
MD,public_transport,Public Transport,travel_time_min,min,3,29,Table_3,public_exact
MD,public_transport,Public Transport,travel_time_min,min,4,39,Table_3,public_exact
MD,public_transport,Public Transport,travel_time_min,min,5,48,Table_3,public_exact
MD,public_transport,Public Transport,travel_time_min,min,6,58,Table_3,public_exact
MD,private_car,Private Car,travel_time_min,min,1,4,Table_3,public_exact
MD,private_car,Private Car,travel_time_min,min,2,10,Table_3,public_exact
MD,private_car,Private Car,travel_time_min,min,3,19,Table_3,public_exact
MD,private_car,Private Car,travel_time_min,min,4,25,Table_3,public_exact
MD,private_car,Private Car,travel_time_min,min,5,32,Table_3,public_exact
MD,private_car,Private Car,travel_time_min,min,6,39,Table_3,public_exact
MD,carsharing,Car Sharing,access_time_min,min,1,1,Table_3,public_exact
MD,carsharing,Car Sharing,access_time_min,min,2,5,Table_3,public_exact
MD,carsharing,Car Sharing,access_time_min,min,3,10,Table_3,public_exact
MD,ridepooling,Ridepooling,access_time_min,min,1,1,Table_3,public_exact
MD,ridepooling,Ridepooling,access_time_min,min,2,2,Table_3,public_exact
MD,ridepooling,Ridepooling,access_time_min,min,3,5,Table_3,public_exact
MD,public_transport,Public Transport,access_time_min,min,1,1,Table_3,public_exact
MD,public_transport,Public Transport,access_time_min,min,2,5,Table_3,public_exact
MD,public_transport,Public Transport,access_time_min,min,3,10,Table_3,public_exact
MD,private_car,Private Car,access_time_min,min,1,1,Table_3,public_exact
MD,private_car,Private Car,access_time_min,min,2,2,Table_3,public_exact
MD,private_car,Private Car,access_time_min,min,3,5,Table_3,public_exact
MD,carsharing,Car Sharing,egress_time_min,min,1,1,Table_3,public_exact
MD,carsharing,Car Sharing,egress_time_min,min,2,5,Table_3,public_exact
MD,carsharing,Car Sharing,egress_time_min,min,3,10,Table_3,public_exact
MD,ridepooling,Ridepooling,egress_time_min,min,1,1,Table_3,public_exact
MD,ridepooling,Ridepooling,egress_time_min,min,2,2,Table_3,public_exact
MD,ridepooling,Ridepooling,egress_time_min,min,3,5,Table_3,public_exact
MD,public_transport,Public Transport,egress_time_min,min,1,1,Table_3,public_exact
MD,public_transport,Public Transport,egress_time_min,min,2,5,Table_3,public_exact
MD,public_transport,Public Transport,egress_time_min,min,3,10,Table_3,public_exact
MD,private_car,Private Car,egress_time_min,min,1,1,Table_3,public_exact
MD,private_car,Private Car,egress_time_min,min,2,5,Table_3,public_exact
MD,private_car,Private Car,egress_time_min,min,3,10,Table_3,public_exact
MD,carsharing,Car Sharing,parking_search_time_min,min,1,0,Table_3,public_exact
MD,carsharing,Car Sharing,parking_search_time_min,min,2,3,Table_3,public_exact
MD,private_car,Private Car,parking_search_time_min,min,1,1,Table_3,public_exact
MD,private_car,Private Car,parking_search_time_min,min,2,4,Table_3,public_exact
MD,private_car,Private Car,parking_search_time_min,min,3,8,Table_3,public_exact
MD,ridepooling,Ridepooling,waiting_time_min,min,1,3,Table_3,public_exact
MD,ridepooling,Ridepooling,waiting_time_min,min,2,5,Table_3,public_exact
MD,ridepooling,Ridepooling,waiting_time_min,min,3,8,Table_3,public_exact
MD,public_transport,Public Transport,waiting_time_min,min,1,3,Table_3,public_exact
MD,public_transport,Public Transport,waiting_time_min,min,2,5,Table_3,public_exact
