parameter_name,human_estimate,human_std_error,source_table,normalization,source_note,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value,significant_5pct,difference_ai_minus_human,sign_match
ASC_ES,-1.574,0.99,Table_4,paper_pooled_raw,Alternative-specific constant for e-scooter sharing.,1.7144854920310424,24.46321839577337,0.0700842164057719,0.9441266292928544,37.3905108062517,0.0458534921043223,0.9634270230810946,0,3.2884854920310422,0
ASC_BS,-1.199,0.968,Table_4,paper_pooled_raw,Alternative-specific constant for bike sharing.,2.562484752279135,24.503892139248027,0.1045746013619929,0.9167133693550358,37.475937356041925,0.0683768021046178,0.9454856878413788,0,3.7614847522791353,0
ASC_WALK,4.551,0.912,Table_4,paper_pooled_raw,Alternative-specific constant for walking.,0.6336034554943657,0.8704580365785828,0.7278966117479985,0.4666768774494154,1.3387051589746923,0.4732957449567457,0.6360021974278505,0,-3.9173965445056345,1
ASC_CS,-3.078,0.814,Table_4,paper_pooled_raw,Alternative-specific constant for carsharing.,-3.161134713165646,49.835315893050456,-0.063431617850073,0.949422810534303,70.07439325524298,-0.0451111249961358,0.9640187339864312,0,-0.08313471316564636,1
ASC_RP,-2.785,0.993,Table_4,paper_pooled_raw,Alternative-specific constant for ridepooling.,-2.9196492311109434,299.36097938098413,-0.0097529385330986,0.9922184042861611,3.5404164762916697,-0.8246626493414879,0.4095631424829586,0,-0.1346492311109433,1
ASC_PT,-1.205,0.774,Table_4,paper_pooled_raw,Alternative-specific constant for public transport.,-17.61862595170243,25.100907292613645,-0.7019119168209111,0.4827340967161146,37.973740933162006,-0.463968666735078,0.6426701946798081,0,-16.41362595170243,1
B_AGE_ES,-0.051,0.013,Table_4,paper_pooled_raw,Age interaction for e-scooter sharing.,-0.087774273320835,0.0089131626129747,-9.847713671583117,0.0,0.0152241056936223,-5.76547976526497,8.142587271109392e-09,1,-0.036774273320835,1
B_AGE_BS,-0.041,0.013,Table_4,paper_pooled_raw,Age interaction for bike sharing.,-0.0606531463261175,0.0077916029090154,-7.784424724203753,7.105427357601002e-15,0.013201518536051,-4.594406784377466,4.339820679266637e-06,1,-0.019653146326117497,1
B_AGE_WALK,0.02,0.013,Table_4,paper_pooled_raw,Age interaction for walking.,0.0535530106720099,0.0101686753937348,5.266468699060366,1.3907294604820208e-07,0.0187999988201922,2.848564576211095,0.0043916939823882,1,0.0335530106720099,1
B_AGE_CS,-0.027,0.011,Table_4,paper_pooled_raw,Age interaction for carsharing.,0.011217097808392,0.0260737620729137,0.4302063421850706,0.6670455489326252,0.0261194982737003,0.4294530350794108,0.6675935651251752,0,0.038217097808392,0
B_AGE_RP,-0.041,0.014,Table_4,paper_pooled_raw,Age interaction for ridepooling.,-0.7222116785498732,405.19698191798767,-0.0017823718111899,0.9985778738032214,4.1787576056643765,-0.1728292824572794,0.8627856193130266,0,-0.6812116785498732,1
B_AGE_PT,0.013,0.01,Table_4,paper_pooled_raw,Age interaction for public transport.,0.0840422854176782,0.0287820781948049,2.9199519523523327,0.0035008535648135,0.0250842128987709,3.350405522263616,0.0008069333113782,1,0.07104228541767821,1
B_BIKEACC_ES,1.811,0.488,Table_4,paper_pooled_raw,Bike accessibility interaction for e-scooter sharing.,-0.1272097650633039,0.1163547340264565,-1.0932925602698655,0.2742653683430878,0.2117331809060485,-0.6008022196565882,0.5479717255531236,0,-1.938209765063304,0
