respondent_id,persona_id,female,gender_text,age_band,age_years,income_band,metropolis,city_type_text,household_cars,accessible_bikes,pt_pass,pt_pass_text,maas_subscription,maas_text,subsample,assigned_block_id
1,P0001,0,male,30_39,38,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
2,P0002,1,female,50_59,53,500_1999_eur,1,metropolis,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,2
3,P0003,0,male,68_plus,70,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,MD,4
4,P0004,0,male,40_49,42,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,4
5,P0005,1,female,40_49,48,2000_3999_eur,0,large city,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
6,P0006,0,male,50_59,59,2000_3999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,2
7,P0007,1,female,30_39,35,4000_plus_eur,1,metropolis,4,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,4
8,P0008,1,female,60_67,61,4000_plus_eur,1,metropolis,2,2,0,does not hold a public transport pass,1,has an active MaaS subscription,SD,6
9,P0009,0,male,30_39,32,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,4
10,P0010,1,female,18_29,22,2000_3999_eur,0,large city,2,4,1,holds a public transport pass,1,has an active MaaS subscription,MD,6
11,P0011,1,female,30_39,37,4000_plus_eur,0,large city,2,4,0,does not hold a public transport pass,1,has an active MaaS subscription,MD,4
12,P0012,1,female,40_49,46,2000_3999_eur,1,metropolis,0,0,1,holds a public transport pass,0,does not have a MaaS subscription,SD,5
13,P0013,0,male,60_67,64,500_1999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,5
14,P0014,0,male,68_plus,74,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,1,has an active MaaS subscription,MD,2
15,P0015,0,male,50_59,53,500_1999_eur,1,metropolis,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,3
16,P0016,1,female,30_39,35,500_1999_eur,0,large city,1,4,0,does not hold a public transport pass,1,has an active MaaS subscription,MD,5
17,P0017,1,female,68_plus,70,2000_3999_eur,0,large city,0,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,5
18,P0018,1,female,40_49,40,4000_plus_eur,0,large city,0,0,1,holds a public transport pass,0,does not have a MaaS subscription,MD,4
19,P0019,0,male,18_29,23,500_1999_eur,0,large city,0,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,1
20,P0020,1,female,30_39,37,4000_plus_eur,1,metropolis,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,2
21,P0021,1,female,50_59,51,4000_plus_eur,1,metropolis,3,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
22,P0022,1,female,18_29,29,2000_3999_eur,0,large city,2,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,7
23,P0023,0,male,60_67,64,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
24,P0024,0,male,68_plus,68,500_1999_eur,1,metropolis,2,1,0,does not hold a public transport pass,1,has an active MaaS subscription,SD,4
25,P0025,0,male,50_59,56,2000_3999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,1
26,P0026,0,male,60_67,64,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,2
27,P0027,0,male,50_59,52,2000_3999_eur,1,metropolis,3,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
28,P0028,1,female,68_plus,72,4000_plus_eur,0,large city,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,8
29,P0029,0,male,40_49,48,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,6
30,P0030,0,male,68_plus,68,500_1999_eur,0,large city,2,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,8
31,P0031,1,female,40_49,44,500_1999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
32,P0032,0,male,40_49,43,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
33,P0033,0,male,30_39,37,4000_plus_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,1
34,P0034,0,male,30_39,31,4000_plus_eur,0,large city,0,0,0,does not hold a public transport pass,1,has an active MaaS subscription,SD,4
35,P0035,0,male,68_plus,75,2000_3999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,7
36,P0036,1,female,50_59,51,4000_plus_eur,1,metropolis,1,4,1,holds a public transport pass,0,does not have a MaaS subscription,SD,3
37,P0037,1,female,18_29,20,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
38,P0038,1,female,18_29,19,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
39,P0039,1,female,68_plus,80,4000_plus_eur,0,large city,2,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,3
40,P0040,0,male,68_plus,76,500_1999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,3
41,P0041,1,female,30_39,37,2000_3999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
42,P0042,0,male,18_29,28,2000_3999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
43,P0043,1,female,30_39,39,2000_3999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
44,P0044,1,female,30_39,30,2000_3999_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,7
45,P0045,1,female,50_59,57,2000_3999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription,SD,2
46,P0046,0,male,50_59,53,2000_3999_eur,0,large city,2,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,4
47,P0047,0,male,60_67,62,2000_3999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,5
48,P0048,1,female,50_59,57,lt_500_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
49,P0049,0,male,68_plus,69,2000_3999_eur,0,large city,0,3,1,holds a public transport pass,0,does not have a MaaS subscription,SD,7
50,P0050,1,female,68_plus,74,2000_3999_eur,0,large city,2,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
51,P0051,1,female,50_59,58,500_1999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
52,P0052,0,male,50_59,54,4000_plus_eur,0,large city,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,3
53,P0053,1,female,50_59,58,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,1,has an active MaaS subscription,SD,1
54,P0054,1,female,60_67,61,2000_3999_eur,0,large city,0,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
55,P0055,0,male,60_67,67,500_1999_eur,0,large city,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
56,P0056,0,male,68_plus,68,500_1999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
57,P0057,1,female,60_67,65,2000_3999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,2
58,P0058,0,male,40_49,42,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
