parameter_name,estimate,human_estimate,difference_ai_minus_human,sign_match
ASC_ES,-15.461718377533893,-1.574,-13.887718377533893,1
ASC_BS,22.88149535718655,-1.199,24.080495357186553,0
ASC_WALK,-2.217944832422773,4.551,-6.768944832422774,0
ASC_CS,-5.498469200558001,-3.078,-2.4204692005580015,1
ASC_RP,-4.6991084940768335,-2.785,-1.9141084940768334,1
ASC_PT,-3.3807477612332537,-1.205,-2.1757477612332536,1
B_AGE_ES,-15.629997875106465,-0.051,-15.578997875106465,1
B_AGE_BS,-39.18047927504671,-0.041,-39.13947927504671,1
B_AGE_WALK,77.25433535352686,0.02,77.23433535352686,1
B_AGE_CS,-76.69243116684466,-0.027,-76.66543116684466,1
B_AGE_RP,-59.886246420601594,-0.041,-59.8452464206016,1
B_AGE_PT,-108.72997017906992,0.013,-108.74297017906993,0
B_BIKEACC_ES,-3.846230535857681,1.811,-5.657230535857681,0
B_BIKEACC_BS,1.8702283797079873,2.345,-0.4747716202920129,1
B_BIKEACC_WALK,-6.298901749213592,0.495,-6.7939017492135925,0
B_BIKEACC_CS,-7.085247270760971,1.621,-8.70624727076097,0
B_BIKEACC_RP,-5.787481495018805,1.13,-6.917481495018805,0
B_BIKEACC_PT,-5.266469401932056,0.9,-6.166469401932057,0
B_CARACC_ES,-15.471585759776405,-0.858,-14.613585759776404,1
B_CARACC_BS,93.45297850557482,-1.026,94.47897850557482,0
B_CARACC_WALK,9.228584185860512,-1.216,10.444584185860512,0
B_CARACC_CS,-5.5171236353806625,-1.164,-4.353123635380663,1
B_CARACC_RP,-4.473740747508389,-1.015,-3.458740747508389,1
B_CARACC_PT,-4.639234700966508,-1.556,-3.083234700966508,1
B_PTPASS_ES,-10.904227741582734,1.621,-12.525227741582734,0
B_PTPASS_BS,11.298810734373268,1.799,9.499810734373268,1
B_PTPASS_WALK,-2.709356744085934,1.64,-4.3493567440859335,0
B_PTPASS_CS,0.1345307994456646,2.555,-2.4204692005543356,1
B_PTPASS_RP,0.5618915059198084,2.476,-1.9141084940801916,1
B_PTPASS_PT,1.4752522387666298,3.651,-2.17574776123337,1
B_MAAS_ES,22.790722160680765,1.377,21.413722160680766,1
B_MAAS_BS,-34.70132656888271,1.172,-35.87332656888271,0
B_MAAS_WALK,16.15018416372569,-0.228,16.37818416372569,0
B_MAAS_CS,-0.8186544348308901,1.114,-1.9326544348308903,0
B_MAAS_RP,0.6893677465710653,2.234,-1.5446322534289347,1
B_MAAS_PT,0.33351306026661864,1.241,-0.9074869397333815,1
B_TIME_ES,19.442269005437268,-0.116,19.558269005437268,0
B_TIME_BS,-28.911912150270194,-0.09,-28.821912150270194,1
B_TIME_WALK,-245.17546695740444,-0.212,-244.96346695740445,1
B_TIME_CAR,145.09766015639886,-0.057,145.15466015639885,0
B_TIME_CS,-42.38356621074751,-0.03,-42.35356621074751,1
B_TIME_RP,-28.91333550888141,-0.019,-28.89433550888141,1
B_TIME_PT,-48.92032586115507,-0.065,-48.85532586115507,1
B_ACCESS_SHARED,-18.61868212108907,-0.04,-18.57868212108907,1
B_ACCESS_OWNED,-48.117996091555355,-0.034,-48.083996091555356,1
B_EGRESS_SHARED,19.543154762848566,-0.03,19.573154762848567,0
B_EGRESS_OWNED,1.0166713996459786,-0.042,1.0586713996459787,0
B_DETOUR_RP,-10.39422224253431,-0.018,-10.37622224253431,1
B_PARKING,39.47058649264891,-0.04,39.51058649264891,0
B_COST_LOGMEAN,-23.659915865879697,-1.886,-21.773915865879697,1
SIGMA_COST,-14.179815390307349,-1.414,-12.765815390307349,1
B_AVAILABILITY,37.69247933667302,0.006,37.68647933667302,1
B_SCHEME_SD_FREE_FLOAT,11.913102735289533,0.418,11.495102735289533,1
B_SCHEME_LD_FREE_FLOAT,-0.3158147657221576,0.172,-0.4878147657221576,0
B_SCHEME_LD_HYBRID,-2.0026544348299975,-0.07,-1.9326544348299974,1
B_PEDELEC,27.210872295892433,-0.321,27.531872295892434,0
B_RANGE,-32.023776376591705,0.006,-32.029776376591705,0
B_CROWDING,-70.37230793255029,-0.001,-70.37130793255028,1
B_TRANSFER_PT,-3.381234700967177,-0.298,-3.0832347009671768,1
SIGMA_ES,-7.041983885179888,1.315,-8.356983885179888,0
SIGMA_BS,34.991891510492714,1.587,33.40489151049271,1
SIGMA_WALK,-8.651199999169327,-2.933,-5.718199999169327,1
SIGMA_CAR,14.479647169567116,3.498,10.981647169567115,1
SIGMA_CS,0.399121248860028,0.315,0.08412124886002798,1
SIGMA_RP,0.05474493010648088,0.908,-0.8532550698935192,1
SIGMA_PT,1.8935936568940104,1.792,0.10159365689401034,1
PHI_POOL,0.13831343445492922,0.776,-0.6376865655450707,1
