parameter_name,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value,significant_5pct
ASC_ES,-15.461718377533893,0.0,,,0.0,,,0
ASC_BS,22.88149535718655,0.0,,,0.6919039265737035,33.07033603710754,0.0,1
ASC_WALK,-2.217944832422773,0.0,,,0.08328096144945143,-26.632075252505174,0.0,1
ASC_CS,-5.498469200558001,1074.8130886090462,-0.005115744550221068,0.9959182442102061,0.0,,,0
ASC_RP,-4.6991084940768335,365.08452151999245,-0.012871289296277396,0.9897304805523548,0.0,,,0
ASC_PT,-3.3807477612332537,0.0,,,0.0,,,0
B_AGE_ES,-15.629997875106465,0.0,,,0.5545790192059915,-28.183536220833656,0.0,1
B_AGE_BS,-39.18047927504671,0.0,,,0.4374030588680773,-89.57522925522959,0.0,1
B_AGE_WALK,77.25433535352686,0.0,,,0.3547827606186918,217.75109709052953,0.0,1
B_AGE_CS,-76.69243116684466,663.9975582432829,-0.11550107408489177,0.9080479691789329,0.0,,,0
B_AGE_RP,-59.886246420601594,297.7714405456273,-0.20111480909944845,0.8406088025856209,0.0001046303328841578,-572360.2780362467,0.0,1
B_AGE_PT,-108.72997017906992,338.4054484893222,-0.32130088526781125,0.7479823856068684,0.0,,,0
B_BIKEACC_ES,-3.846230535857681,14702.075397266057,-0.0002616114005627336,0.999791264304942,0.010473856603277515,-367.2219967814058,0.0,1
B_BIKEACC_BS,1.8702283797079873,175472.48817557454,1.0658242777276124e-05,0.9999914959526428,0.0,,,0
B_BIKEACC_WALK,-6.298901749213592,0.0,,,0.15951983801192485,-39.4866358173127,0.0,1
B_BIKEACC_CS,-7.085247270760971,136.9740999246496,-0.051726912421097226,0.9587462929292803,0.0,,,0
B_BIKEACC_RP,-5.787481495018805,0.0,,,3.535525040160634e-10,-16369510692.974344,0.0,1
B_BIKEACC_PT,-5.266469401932056,2.7152597267336407e-10,-19395821880.6104,0.0,0.0,,,0
B_CARACC_ES,-15.471585759776405,0.0,,,2.1869524914247207,-7.074495591670226,1.4999113062685865e-12,1
B_CARACC_BS,93.45297850557482,0.0,,,0.0,,,0
