task_id,task_index,trip_length_km,alternative_id,alternative_name,default_label,travel_time_min,access_time_min,egress_time_min,parking_search_time_min,availability_pct,cost_eur,scheme,engine,range_km,source_note
SD01,1,1.0,e_scooter,E-Scooter Sharing,A,5,5,1,1,50,2.4,station-based,,4,"Reconstruction pilot; values aligned with the article's Fig. 3 example."
SD01,1,1.0,bikesharing,Bike Sharing,B,5,2,3,1,10,1.5,free-floating,pedelec,4,"Reconstruction pilot; values aligned with the article's Fig. 3 example."
SD01,1,1.0,walking,Walking,C,27,0,0,0,0,0,, ,0,"Reconstruction pilot; values aligned with the article's Fig. 3 example."
SD01,1,1.0,private_car,Private Car,D,2,2,10,1,0,0.9,, ,0,"Reconstruction pilot; values aligned with the article's Fig. 3 example."
SD02,2,0.5,e_scooter,E-Scooter Sharing,A,2,2,1,0,100,1.3,free-floating,,1,"Reconstruction pilot using legal Table 2 levels."
SD02,2,0.5,bikesharing,Bike Sharing,B,3,2,1,0,100,1.0,station-based,bike,1,"Reconstruction pilot using legal Table 2 levels."
SD02,2,0.5,walking,Walking,C,7,0,0,0,0,0,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD02,2,0.5,private_car,Private Car,D,1,2,5,1,0,0.2,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD03,3,2.0,e_scooter,E-Scooter Sharing,A,9,2,1,0,50,2.4,station-based,,4,"Reconstruction pilot using legal Table 2 levels."
SD03,3,2.0,bikesharing,Bike Sharing,B,11,5,3,1,50,2.5,free-floating,pedelec,4,"Reconstruction pilot using legal Table 2 levels."
SD03,3,2.0,walking,Walking,C,27,0,0,0,0,0,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD03,3,2.0,private_car,Private Car,D,4,2,10,4,0,0.9,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD04,4,4.0,e_scooter,E-Scooter Sharing,A,18,5,3,1,10,4.5,station-based,,10,"Reconstruction pilot using legal Table 2 levels."
SD04,4,4.0,bikesharing,Bike Sharing,B,21,5,3,1,10,5.0,free-floating,pedelec,10,"Reconstruction pilot using legal Table 2 levels."
SD04,4,4.0,walking,Walking,C,55,0,0,0,0,0,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD04,4,4.0,private_car,Private Car,D,8,5,10,8,0,2.5,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD05,5,1.0,e_scooter,E-Scooter Sharing,A,5,2,3,0,10,3.0,free-floating,,1,"Reconstruction pilot using legal Table 2 levels."
SD05,5,1.0,bikesharing,Bike Sharing,B,5,5,1,0,100,1.5,station-based,bike,4,"Reconstruction pilot using legal Table 2 levels."
SD05,5,1.0,walking,Walking,C,14,0,0,0,0,0,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD05,5,1.0,private_car,Private Car,D,4,5,5,4,0,1.4,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD06,6,2.0,e_scooter,E-Scooter Sharing,A,13,5,1,1,100,1.8,free-floating,,10,"Reconstruction pilot using legal Table 2 levels."
SD06,6,2.0,bikesharing,Bike Sharing,B,11,2,1,0,50,2.0,free-floating,pedelec,10,"Reconstruction pilot using legal Table 2 levels."
SD06,6,2.0,walking,Walking,C,35,0,0,0,0,0,, ,0,"Reconstruction pilot using legal Table 2 levels."
SD06,6,2.0,private_car,Private Car,D,5.5,2,1,1,0,1.8,, ,0,"Reconstruction pilot using legal Table 2 levels."
