parameter_name,human_estimate,source_table,normalization,source_note,estimate,std_error,z_value,p_value,significant_5pct,difference_ai_minus_human,sign_match
ASC_ES_REL_CAR,1.504,Table_4,private_car_base_for_sd_subset,Computed as ASC_ES minus ASC_CAR from the paper.,-123.69023979978064,0.0,,,0,-125.19423979978065,0
ASC_BS_REL_CAR,1.879,Table_4,private_car_base_for_sd_subset,Computed as ASC_BS minus ASC_CAR from the paper.,103.83341655403098,0.0,,,0,101.95441655403097,1
ASC_WALK_REL_CAR,7.629,Table_4,private_car_base_for_sd_subset,Computed as ASC_WALK minus ASC_CAR from the paper.,-5.851862697998942,0.0,,,0,-13.48086269799894,0
AGE_ES_REL_CAR,-0.024,Table_4,private_car_base_for_sd_subset,Computed as AGE_ES minus AGE_CAR.,-4.511891079564103,0.0,,,0,-4.487891079564103,1
AGE_BS_REL_CAR,-0.014,Table_4,private_car_base_for_sd_subset,Computed as AGE_BS minus AGE_CAR.,-1.3727301188804024,0.0,,,0,-1.3587301188804024,1
AGE_WALK_REL_CAR,0.047,Table_4,private_car_base_for_sd_subset,Computed as AGE_WALK minus AGE_CAR.,-602.8251026796371,0.0,,,0,-602.8721026796371,0
BIKEACC_ES_REL_CAR,0.19,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_ES minus BIKEACC_CAR.,3.6867357902460554,2.388950754423629,1.5432447836856045,0.1227713951630002,0,3.4967357902460554,1
BIKEACC_BS_REL_CAR,0.724,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_BS minus BIKEACC_CAR.,-0.8456367078960622,2.2485740058247767,-0.3760768850415856,0.7068597381236217,0,-1.5696367078960622,0
BIKEACC_WALK_REL_CAR,-1.126,Table_4,private_car_base_for_sd_subset,Computed as BIKEACC_WALK minus BIKEACC_CAR.,-20.248237389269253,0.0,,,0,-19.12223738926925,1
CARACC_ES_REL_CAR,0.306,Table_4,private_car_base_for_sd_subset,Computed as CARACC_ES minus CARACC_CAR.,-49.40053924587792,0.0,,,0,-49.70653924587792,0
CARACC_BS_REL_CAR,0.138,Table_4,private_car_base_for_sd_subset,Computed as CARACC_BS minus CARACC_CAR.,-56.55637994795051,0.0,,,0,-56.69437994795051,0
CARACC_WALK_REL_CAR,-0.052,Table_4,private_car_base_for_sd_subset,Computed as CARACC_WALK minus CARACC_CAR.,-14.989421771598456,0.0,,,0,-14.937421771598457,1
PTPASS_ES_REL_CAR,-0.934,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_ES minus PTPASS_CAR.,77.63010930496169,0.0,,,0,78.56410930496169,0
PTPASS_BS_REL_CAR,-0.756,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_BS minus PTPASS_CAR.,-15.763413456397297,2.2083326674537456,-7.138151642058913,9.459100169806334e-13,1,-15.007413456397297,1
PTPASS_WALK_REL_CAR,-0.915,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_WALK minus PTPASS_CAR.,-6.069715664020985,0.0,,,0,-5.154715664020985,1
MAAS_ES_REL_CAR,0.263,Table_4,private_car_base_for_sd_subset,Computed as MAAS_ES minus MAAS_CAR.,8.346309387371296,0.0,,,0,8.083309387371296,1
MAAS_BS_REL_CAR,0.058,Table_4,private_car_base_for_sd_subset,Computed as MAAS_BS minus MAAS_CAR.,0.7213421034909933,0.0,,,0,0.6633421034909932,1
