custom_id,ID,mode_id,alternative_name,CHOICE,choice,availability,travel_time,travel_cost,headway,seat_configuration,travel_time_hundredth,travel_cost_hundredth,GROUP,SURVEY,SP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CAR_AV
1,1,1,TRAIN,2,0,1,112,48,120,0,1.12,0.48,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
1,1,2,SWISSMETRO,2,1,1,63,52,20,0,0.63,0.52,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
1,1,3,CAR,2,0,1,117,65,0,0,1.17,0.65,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
2,1,1,TRAIN,2,0,1,103,48,30,0,1.03,0.48,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
2,1,2,SWISSMETRO,2,1,1,60,49,10,0,0.6,0.49,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
2,1,3,CAR,2,0,1,117,84,0,0,1.17,0.84,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
3,1,1,TRAIN,2,0,1,130,48,60,0,1.3,0.48,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
3,1,2,SWISSMETRO,2,1,1,67,58,30,0,0.67,0.58,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
3,1,3,CAR,2,0,1,117,52,0,0,1.17,0.52,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
4,1,1,TRAIN,2,0,1,103,40,30,0,1.03,0.4,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
4,1,2,SWISSMETRO,2,1,1,63,52,20,0,0.63,0.52,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
4,1,3,CAR,2,0,1,72,52,0,0,0.72,0.52,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
5,1,1,TRAIN,2,0,1,130,36,60,0,1.3,0.36,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
5,1,2,SWISSMETRO,2,1,1,63,42,20,0,0.63,0.42,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
