GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,custom_id,task_position,task_id,TRAIN_COST_SCALED,SM_COST_SCALED,CAR_COST_SCALED,TRAIN_TIME_SCALED,SM_TIME_SCALED,CAR_TIME_SCALED,chosen_alternative_name
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,112,48,120,63,52,20,0,117,65,2,1,1,H0001_T01,0.48,0.52,0.65,1.12,0.63,1.17,SWISSMETRO
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,48,30,60,49,10,0,117,84,2,2,2,H0001_T02,0.48,0.49,0.84,1.03,0.6,1.17,SWISSMETRO
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,48,60,67,58,30,0,117,52,2,3,3,H0001_T03,0.48,0.58,0.52,1.3,0.67,1.17,SWISSMETRO
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,40,30,63,52,20,0,72,52,2,4,4,H0001_T04,0.4,0.52,0.52,1.03,0.63,0.72,SWISSMETRO
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,36,60,63,42,20,0,90,84,2,5,5,H0001_T05,0.36,0.42,0.84,1.3,0.63,0.9,SWISSMETRO
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,112,36,120,60,49,10,0,90,52,2,6,6,H0001_T06,0.36,0.49,0.52,1.12,0.6,0.9,SWISSMETRO
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,48,120,67,58,10,0,72,65,2,7,7,H0001_T07,0.48,0.58,0.65,1.03,0.67,0.72,SWISSMETRO
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,36,30,67,43,30,0,90,65,1,8,8,H0001_T08,0.36,0.43,0.65,1.03,0.67,0.9,TRAIN
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,40,60,60,46,10,0,72,65,2,9,9,H0001_T09,0.4,0.46,0.65,1.3,0.6,0.72,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,184,62,120,76,70,20,0,0,0,2,10,1,H0002_T01,0.62,0.7,0.0,1.84,0.76,0.0,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,62,30,70,66,10,0,0,0,2,11,2,H0002_T02,0.62,0.66,0.0,1.7,0.7,0.0,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,62,60,84,82,30,0,0,0,2,12,3,H0002_T03,0.62,0.82,0.0,2.13,0.84,0.0,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,52,30,76,72,20,0,0,0,2,13,4,H0002_T04,0.52,0.72,0.0,1.7,0.76,0.0,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,47,60,76,53,20,0,0,0,2,14,5,H0002_T05,0.47,0.53,0.0,2.13,0.76,0.0,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,184,47,120,70,66,10,0,0,0,2,15,6,H0002_T06,0.47,0.66,0.0,1.84,0.7,0.0,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,62,120,84,82,10,0,0,0,2,16,7,H0002_T07,0.62,0.82,0.0,1.7,0.84,0.0,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,47,30,84,57,30,0,0,0,2,17,8,H0002_T08,0.47,0.57,0.0,1.7,0.84,0.0,SWISSMETRO
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,52,60,70,62,10,0,0,0,2,18,9,H0002_T09,0.52,0.62,0.0,2.13,0.7,0.0,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,32,30,29,35,10,0,105,40,2,19,1,H0003_T01,0.32,0.35,0.4,0.58,0.29,1.05,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,29,30,25,38,20,0,136,50,2,20,2,H0003_T02,0.29,0.38,0.5,0.58,0.25,1.36,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,32,120,27,40,10,1,136,65,2,21,3,H0003_T03,0.32,0.4,0.65,0.58,0.27,1.36,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,47,29,60,25,38,30,1,84,65,2,22,4,H0003_T04,0.29,0.38,0.65,0.47,0.25,0.84,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,32,30,25,36,30,1,136,40,2,23,5,H0003_T05,0.32,0.36,0.4,0.51,0.25,1.36,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,38,60,25,42,20,0,84,40,2,24,6,H0003_T06,0.38,0.42,0.4,0.51,0.25,0.84,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,29,30,27,32,10,1,84,50,2,25,7,H0003_T07,0.29,0.32,0.5,0.51,0.27,0.84,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,32,60,27,40,30,0,105,50,2,26,8,H0003_T08,0.32,0.4,0.5,0.51,0.27,1.05,SWISSMETRO
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,38,30,27,42,30,0,84,65,2,27,9,H0003_T09,0.38,0.42,0.65,0.58,0.27,0.84,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,40,30,65,45,10,0,135,80,2,28,1,H0004_T01,0.4,0.45,0.8,1.38,0.65,1.35,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,40,120,61,52,10,1,175,130,2,29,2,H0004_T02,0.4,0.52,1.3,1.38,0.61,1.75,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,36,30,58,49,20,0,175,100,2,30,3,H0004_T03,0.36,0.49,1.0,1.38,0.58,1.75,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,105,36,60,58,49,30,1,108,130,2,31,4,H0004_T04,0.36,0.49,1.3,1.05,0.58,1.08,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,40,30,58,46,30,1,175,80,2,32,5,H0004_T05,0.4,0.46,0.8,1.16,0.58,1.75,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,36,30,61,42,10,1,108,100,2,33,6,H0004_T06,0.36,0.42,1.0,1.16,0.61,1.08,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,48,60,58,50,20,0,108,80,2,34,7,H0004_T07,0.48,0.5,0.8,1.16,0.58,1.08,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,48,30,61,52,30,0,108,130,2,35,8,H0004_T08,0.48,0.52,1.3,1.38,0.61,1.08,SWISSMETRO
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,40,60,61,52,30,0,135,100,2,36,9,H0004_T09,0.4,0.52,1.0,1.16,0.61,1.35,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,269,70,120,216,72,20,0,0,0,2,37,1,H0005_T01,0.7,0.72,0.0,2.69,2.16,0.0,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,70,30,213,70,10,0,0,0,2,38,2,H0005_T02,0.7,0.7,0.0,2.43,2.13,0.0,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,70,60,220,74,30,0,0,0,2,39,3,H0005_T03,0.7,0.74,0.0,3.2,2.2,0.0,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,58,30,216,66,20,0,0,0,2,40,4,H0005_T04,0.58,0.66,0.0,2.43,2.16,0.0,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,52,60,216,57,20,0,0,0,2,41,5,H0005_T05,0.52,0.57,0.0,3.2,2.16,0.0,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,269,52,120,213,62,10,0,0,0,2,42,6,H0005_T06,0.52,0.62,0.0,2.69,2.13,0.0,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,70,120,220,74,10,0,0,0,2,43,7,H0005_T07,0.7,0.74,0.0,2.43,2.2,0.0,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,52,30,220,57,30,0,0,0,2,44,8,H0005_T08,0.52,0.57,0.0,2.43,2.2,0.0,SWISSMETRO
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,58,60,213,64,10,0,0,0,2,45,9,H0005_T09,0.58,0.64,0.0,3.2,2.13,0.0,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,116,35,120,46,38,30,1,70,35,2,46,1,H0006_T01,0.35,0.38,0.35,1.16,0.46,0.7,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,26,120,49,29,30,0,91,28,2,47,2,H0006_T02,0.26,0.29,0.28,0.95,0.49,0.91,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,116,26,120,53,32,20,1,56,28,2,48,3,H0006_T03,0.26,0.32,0.28,1.16,0.53,0.56,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,26,60,53,32,10,0,91,45,2,49,4,H0006_T04,0.26,0.32,0.45,1.02,0.53,0.91,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,29,120,53,32,30,0,56,45,2,50,5,H0006_T05,0.29,0.32,0.45,1.02,0.53,0.56,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,60,53,32,20,1,91,35,2,51,6,H0006_T06,0.29,0.32,0.35,0.95,0.53,0.91,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,35,60,49,40,10,1,70,28,2,52,7,H0006_T07,0.35,0.4,0.28,0.95,0.49,0.7,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,120,46,35,20,0,70,45,2,53,8,H0006_T08,0.29,0.35,0.45,0.95,0.46,0.7,SWISSMETRO
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,35,30,53,46,20,1,70,45,2,54,9,H0006_T09,0.35,0.46,0.45,1.02,0.53,0.7,SWISSMETRO
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,87,42,120,32,49,20,0,117,140,2,55,1,H0007_T01,0.42,0.49,1.4,0.87,0.32,1.17,SWISSMETRO
