ID,GROUP,SURVEY,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CAR_AV,task_count,persona_source,purpose_text,first_class_text,ticket_text,who_text,luggage_text,age_text,sex_text,income_text,ga_text,origin_text,dest_text,survey_text,car_av_text
1,2,0,1,0,1,1,0,3,0,2,0,2,1,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,no luggage,age code 3,female,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 0,car is available for this trip
2,2,0,1,0,1,1,1,2,0,1,0,22,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 2,female,income code 1,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 0,car is not available for this trip
3,2,0,1,0,1,1,1,2,1,2,0,10,25,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 10,destination zone code 25,survey stratum 0,car is available for this trip
4,2,0,1,0,1,1,1,2,1,3,0,19,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 19,destination zone code 2,survey stratum 0,car is available for this trip
5,2,0,1,0,1,1,1,2,1,3,0,21,17,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 21,destination zone code 17,survey stratum 0,car is not available for this trip
6,2,0,1,0,1,1,1,3,0,3,0,9,17,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 3,female,income code 3,does not have a GA travelcard,origin zone code 9,destination zone code 17,survey stratum 0,car is available for this trip
7,2,0,1,0,1,1,1,3,1,1,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 3,male,income code 1,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
8,2,0,1,0,1,1,1,4,1,3,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
9,2,0,1,0,1,1,1,2,1,2,0,17,1,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 1,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is available for this trip
10,2,0,1,0,1,2,1,2,0,1,0,2,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 2,female,income code 1,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 0,car is not available for this trip
11,2,0,1,0,1,2,1,2,1,2,0,17,19,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 17,destination zone code 19,survey stratum 0,car is not available for this trip
12,2,0,1,0,1,2,1,3,0,2,0,1,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 3,female,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is not available for this trip
13,2,0,1,0,1,2,1,3,1,1,0,1,17,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 1,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is not available for this trip
