source_human_id,survey_stratum,car_av,ga,baseline_train_time,baseline_train_cost,baseline_sm_time,baseline_sm_cost,baseline_car_time,baseline_car_cost
1,0,1,0,112.0,40.0,63.0,47.5,90.0,65.0
2,0,0,0,184.0,52.0,76.0,66.0,0.0,0.0
3,0,1,0,51.0,32.0,27.0,37.0,105.0,50.0
4,0,1,0,116.0,40.0,61.0,47.5,135.0,100.0
5,0,0,0,269.0,58.0,216.0,66.0,0.0,0.0
6,0,1,0,102.0,29.0,49.0,36.5,70.0,35.0
7,0,1,0,87.0,35.0,32.0,44.5,90.0,140.0
8,0,1,0,109.0,22.0,56.0,32.0,100.0,30.0
9,0,1,0,102.0,24.0,49.0,30.5,60.0,40.0
10,0,0,0,117.0,35.0,62.0,43.0,0.0,0.0
11,0,0,0,101.0,32.0,48.0,40.0,0.0,0.0
12,0,0,0,117.0,36.0,62.0,46.5,0.0,0.0
13,0,0,0,142.0,31.0,89.0,38.0,0.0,0.0
14,0,1,0,130.0,26.0,77.0,35.0,70.0,100.0
15,0,0,0,97.0,22.0,44.0,29.5,0.0,0.0
16,0,1,0,179.0,62.0,71.0,72.0,190.0,100.0
17,0,1,0,112.0,23.0,57.0,28.0,90.0,25.0
18,0,1,0,165.0,24.0,89.0,28.0,110.0,40.0
19,0,1,0,177.0,22.0,124.0,25.0,1200.0,10.0
20,0,1,0,151.0,26.0,99.0,31.0,110.0,30.0
21,0,0,0,133.0,80.0,57.0,95.0,0.0,0.0
22,0,1,0,94.0,52.0,39.0,68.0,70.0,45.0
23,0,1,0,102.0,45.0,49.0,63.0,60.0,50.0
24,0,0,0,179.0,98.0,66.0,116.0,0.0,0.0
25,0,1,0,179.0,99.0,66.0,125.5,140.0,90.0
26,0,1,0,196.0,74.0,67.0,92.0,190.0,55.0
27,0,0,0,86.0,30.0,31.0,39.5,0.0,0.0
28,0,0,0,92.0,50.0,68.0,65.0,0.0,0.0
29,0,1,0,110.0,50.0,55.0,65.0,70.0,80.0
30,0,1,0,104.0,50.0,49.0,65.0,70.0,27.0
31,0,1,0,182.0,50.0,69.0,65.0,140.0,80.0
32,0,0,0,238.0,50.0,109.0,65.0,0.0,0.0
33,0,0,1,64.0,2600.0,40.0,3380.0,0.0,0.0
34,0,0,1,120.0,2600.0,77.0,3380.0,0.0,0.0
35,0,0,1,124.0,2600.0,71.0,3380.0,0.0,0.0
36,0,0,1,87.0,2600.0,34.0,3380.0,0.0,0.0
37,0,1,1,59.0,2600.0,35.0,3380.0,50.0,40.0
38,0,0,1,107.0,2600.0,52.0,3380.0,0.0,0.0
39,0,0,1,174.0,2600.0,61.0,3380.0,0.0,0.0
40,0,0,1,97.0,2600.0,44.0,3380.0,0.0,0.0
41,0,1,1,231.0,2600.0,123.0,3380.0,210.0,60.0
42,0,1,1,95.0,2600.0,40.0,3380.0,90.0,50.0
43,0,0,1,85.0,2600.0,30.0,3380.0,0.0,0.0
44,0,1,1,120.0,2600.0,65.0,3380.0,90.0,55.0
45,0,1,1,148.0,2600.0,93.0,3380.0,90.0,60.0
46,0,0,1,132.0,2600.0,79.0,3380.0,0.0,0.0
47,0,1,1,92.0,2600.0,39.0,3380.0,60.0,30.0
48,0,1,1,47.0,2600.0,23.0,3380.0,40.0,84.0
49,0,1,1,113.0,2600.0,58.0,3380.0,75.0,50.0
50,0,1,1,223.0,2600.0,118.0,3380.0,150.0,75.0
51,0,1,1,90.0,2600.0,79.0,3380.0,90.0,55.0
52,0,0,1,195.0,2600.0,66.0,3380.0,0.0,0.0
53,0,1,1,138.0,2600.0,83.0,3380.0,80.0,160.0
54,0,0,1,83.0,1850.0,30.0,2405.0,0.0,0.0
55,0,0,0,111.0,135.0,58.0,175.0,0.0,0.0
56,0,1,0,85.0,218.0,36.0,283.0,50.0,35.0
57,0,1,0,216.0,50.0,108.0,65.0,160.0,105.0
58,0,1,0,80.0,179.0,31.0,233.0,60.0,30.0
59,0,1,0,247.0,140.0,80.0,182.0,190.0,110.0
60,0,1,0,112.0,216.0,57.0,281.0,60.0,45.0
61,0,1,0,203.0,17.0,90.0,22.0,160.0,115.0
62,0,1,0,172.0,81.0,119.0,90.0,210.0,110.0
63,0,1,0,120.0,42.0,67.0,58.0,60.0,35.0
64,0,1,0,99.0,60.0,44.0,74.0,80.0,50.0
65,0,1,0,184.0,84.0,71.0,105.0,140.0,90.0
66,0,1,0,173.0,71.0,118.0,82.5,135.0,70.0
67,0,1,0,120.0,65.0,65.0,81.0,90.0,60.0
68,0,1,0,126.0,42.0,73.0,55.5,60.0,35.0
69,0,1,0,171.0,92.0,116.0,105.0,150.0,240.0
70,0,1,0,102.0,60.0,47.0,74.0,60.0,50.0
71,0,1,0,177.0,84.0,64.0,109.0,110.0,95.0
72,0,1,0,127.0,71.0,78.0,86.0,100.0,144.0
73,0,0,0,91.0,38.0,38.0,54.0,0.0,0.0
74,0,1,0,86.0,60.0,31.0,74.0,110.0,50.0
75,0,1,0,98.0,40.0,87.0,46.5,120.0,50.0
76,0,0,0,62.0,63.0,43.0,106.0,0.0,0.0
77,0,1,0,126.0,130.0,71.0,162.0,90.0,65.0
78,0,0,0,115.0,130.0,60.0,161.0,0.0,0.0
79,0,1,0,104.0,121.0,80.0,144.5,80.0,80.0
80,0,0,0,117.0,58.0,64.0,74.0,0.0,0.0
81,0,1,0,63.0,40.0,39.0,50.0,40.0,15.0
82,0,1,0,169.0,83.0,56.0,108.0,150.0,140.0
83,0,1,0,199.0,83.0,86.0,108.0,160.0,90.0
