run_id,synthetic_respondent_id,task_position,survey_stratum,GROUP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,SM_AV,CAR_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,custom_id,choice_code,is_valid_choice,CHOICE,TRAIN_TIME_SCALED,SM_TIME_SCALED,CAR_TIME_SCALED,TRAIN_COST_SCALED,SM_COST_SCALED,CAR_COST_SCALED
3,1,1,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,101,0,120,54,0,30,1,0,0,1,2,1,2,1.01,0.54,0.0,0.0,0.0,0.0
3,1,2,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,76,0,120,60,0,30,0,0,0,2,2,1,2,0.76,0.6,0.0,0.0,0.0,0.0
3,1,3,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,101,0,120,66,0,20,1,0,0,3,2,1,2,1.01,0.66,0.0,0.0,0.0,0.0
3,1,4,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,84,0,60,66,0,10,0,0,0,4,2,1,2,0.84,0.66,0.0,0.0,0.0,0.0
3,1,5,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,84,0,120,66,0,30,0,0,0,5,2,1,2,0.84,0.66,0.0,0.0,0.0,0.0
3,1,6,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,76,0,60,66,0,20,1,0,0,6,2,1,2,0.76,0.66,0.0,0.0,0.0,0.0
3,1,7,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,76,0,60,60,0,10,1,0,0,7,2,1,2,0.76,0.6,0.0,0.0,0.0,0.0
3,1,8,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,76,0,120,54,0,20,0,0,0,8,2,1,2,0.76,0.54,0.0,0.0,0.0,0.0
3,1,9,0,2,3,1,6,1,1,4,1,3,1,2,1,1,1,0,84,0,30,66,0,20,1,0,0,9,2,1,2,0.84,0.66,0.0,0.0,0.0,0.0
3,2,1,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,107,163,120,58,170,20,0,130,55,10,2,1,2,1.07,0.58,1.3,1.63,1.7,0.55
3,2,2,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,96,163,30,52,155,10,0,130,72,11,2,1,2,0.96,0.52,1.3,1.63,1.55,0.72
3,2,3,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,128,163,60,64,202,30,0,130,44,12,3,1,3,1.28,0.64,1.3,1.63,2.02,0.44
3,2,4,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,96,136,30,58,170,20,0,80,44,13,2,1,2,0.96,0.58,0.8,1.36,1.7,0.44
3,2,5,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,128,122,60,58,124,20,0,100,72,14,2,1,2,1.28,0.58,1.0,1.22,1.24,0.72
3,2,6,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,107,122,120,52,155,10,0,100,44,15,3,1,3,1.07,0.52,1.0,1.22,1.55,0.44
3,2,7,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,96,163,120,64,202,10,0,80,55,16,3,1,3,0.96,0.64,0.8,1.63,2.02,0.55
3,2,8,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,96,122,30,64,140,30,0,100,55,17,3,1,3,0.96,0.64,1.0,1.22,1.4,0.55
3,2,9,1,3,3,0,6,1,1,4,1,3,0,1,22,1,1,1,128,136,60,52,140,10,0,80,55,18,2,1,2,1.28,0.52,0.8,1.36,1.4,0.55
3,3,1,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,284,119,120,133,132,30,0,200,110,19,3,1,3,2.84,1.33,2.0,1.19,1.32,1.1
3,3,2,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,213,89,120,133,108,30,0,260,88,20,2,1,2,2.13,1.33,2.6,0.89,1.08,0.88
3,3,3,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,284,89,120,146,108,20,0,160,88,21,3,1,3,2.84,1.46,1.6,0.89,1.08,0.88
3,3,4,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,237,89,60,146,108,10,0,260,143,22,2,1,2,2.37,1.46,2.6,0.89,1.08,1.43
3,3,5,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,237,99,120,146,120,30,0,160,143,23,3,1,3,2.37,1.46,1.6,0.99,1.2,1.43
3,3,6,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,213,99,60,146,120,20,0,260,110,24,2,1,2,2.13,1.46,2.6,0.99,1.2,1.1
3,3,7,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,213,119,60,133,132,10,0,200,88,25,3,1,3,2.13,1.33,2.0,1.19,1.32,0.88
3,3,8,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,213,99,120,133,120,20,0,200,143,26,1,1,1,2.13,1.33,2.0,0.99,1.2,1.43
3,3,9,1,3,3,0,3,2,1,3,1,2,0,2,1,1,1,1,237,119,30,146,156,20,0,200,143,27,1,1,1,2.37,1.46,2.0,1.19,1.56,1.43
3,4,1,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,125,163,120,49,170,20,0,156,80,28,3,1,3,1.25,0.49,1.56,1.63,1.7,0.8
3,4,2,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,112,163,30,44,155,10,0,156,104,29,2,1,2,1.12,0.44,1.56,1.63,1.55,1.04
3,4,3,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,150,163,60,54,186,30,0,156,64,30,2,1,2,1.5,0.54,1.56,1.63,1.86,0.64
3,4,4,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,112,136,30,49,170,20,0,96,64,31,2,1,2,1.12,0.49,0.96,1.36,1.7,0.64
3,4,5,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,150,122,60,49,124,20,0,120,104,32,2,1,2,1.5,0.49,1.2,1.22,1.24,1.04
3,4,6,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,125,122,120,44,155,10,0,120,64,33,2,1,2,1.25,0.44,1.2,1.22,1.55,0.64
3,4,7,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,112,163,120,54,186,10,0,96,80,34,3,1,3,1.12,0.54,0.96,1.63,1.86,0.8
3,4,8,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,112,122,30,54,140,30,0,120,80,35,2,1,2,1.12,0.54,1.2,1.22,1.4,0.8
3,4,9,1,3,3,1,3,2,0,3,1,3,0,17,2,1,1,1,150,136,60,44,140,10,0,96,80,36,2,1,2,1.5,0.44,0.96,1.36,1.4,0.8
3,5,1,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,257,109,30,94,138,10,0,230,120,37,2,1,2,2.57,0.94,2.3,1.09,1.38,1.2
3,5,2,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,257,109,120,85,166,10,0,299,195,38,2,1,2,2.57,0.85,2.99,1.09,1.66,1.95
3,5,3,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,257,98,30,76,152,20,0,299,150,39,2,1,2,2.57,0.76,2.99,0.98,1.52,1.5
3,5,4,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,193,98,60,76,152,30,0,184,195,40,1,1,1,1.93,0.76,1.84,0.98,1.52,1.95
3,5,5,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,214,109,30,76,138,30,0,299,120,41,2,1,2,2.14,0.76,2.99,1.09,1.38,1.2
3,5,6,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,214,98,30,85,125,10,0,184,150,42,2,1,2,2.14,0.85,1.84,0.98,1.25,1.5
3,5,7,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,214,131,60,76,152,20,0,184,120,43,3,1,3,2.14,0.76,1.84,1.31,1.52,1.2
3,5,8,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,257,131,30,85,166,30,0,184,195,44,1,1,1,2.57,0.85,1.84,1.31,1.66,1.95
3,5,9,1,3,3,0,1,2,0,2,1,2,0,2,17,1,1,1,214,109,60,85,166,30,0,230,150,45,2,1,2,2.14,0.85,2.3,1.09,1.66,1.5
3,6,1,1,3,3,1,3,2,1,3,1,3,0,2,17,1,1,1,197,52,30,56,58,10,0,170,84,46,2,1,2,1.97,0.56,1.7,0.52,0.58,0.84
3,6,2,1,3,3,1,3,2,1,3,1,3,0,2,17,1,1,1,197,52,120,56,70,10,0,221,136,47,2,1,2,1.97,0.56,2.21,0.52,0.7,1.36
3,6,3,1,3,3,1,3,2,1,3,1,3,0,2,17,1,1,1,197,47,30,56,64,20,0,221,105,48,2,1,2,1.97,0.56,2.21,0.47,0.64,1.05
3,6,4,1,3,3,1,3,2,1,3,1,3,0,2,17,1,1,1,148,47,60,56,64,30,0,136,136,49,2,1,2,1.48,0.56,1.36,0.47,0.64,1.36
