experiment_name,respondent_id,persona_id,task_id,task_position,choice_label,choice_code,chosen_alternative_name,is_valid_choice,grounding_is_valid,GA,CAR_AV,SEX_TEXT,AGE_TEXT,INCOME_TEXT,duration_sec,prompt_eval_count,eval_count
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T01,1,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.3069325,528,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T02,2,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.2240403,708,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T03,3,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.2606183,896,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T04,4,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.3130824,1093,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T05,5,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.3523912,1299,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T06,6,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.3994975,1514,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T07,7,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.452174,1738,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T08,8,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.4973174,1971,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0001,AI0001,AI0001_T09,9,B,2,SWISSMETRO,1,1,1,1,male,age code 5,income code 2,0.5576332,2213,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T01,1,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.2995729,534,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T02,2,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.2258109,716,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T03,3,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.2646404,904,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T04,4,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.3138689,1098,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T05,5,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.3591285,1299,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T06,6,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.3976285,1504,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T07,7,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.4492278,1715,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T08,8,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.5015349,1934,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0002,AI0002,AI0002_T09,9,A,1,TRAIN,1,1,0,1,male,age code 2,income code 2,0.5481139,2158,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0003,AI0003,AI0003_T01,1,A,1,TRAIN,1,1,0,1,male,age code 4,income code 3,0.3043928,523,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0003,AI0003,AI0003_T02,2,A,1,TRAIN,1,1,0,1,male,age code 4,income code 3,0.2160914,704,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0003,AI0003,AI0003_T03,3,A,1,TRAIN,1,1,0,1,male,age code 4,income code 3,0.2555348,890,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0003,AI0003,AI0003_T04,4,A,1,TRAIN,1,1,0,1,male,age code 4,income code 3,0.3042166,1082,7
20260329_public_reverse_engineered_panel_mnl_biogeme_v1,AI0003,AI0003,AI0003_T05,5,A,1,TRAIN,1,1,0,1,male,age code 4,income code 3,0.3429725,1280,7
