custom_id,respondent_id,ID,task_id,task_position,mode_id,alternative_name,choice,availability,travel_time,travel_cost,headway,seat_configuration,travel_time_hundredth,travel_cost_hundredth,GROUP,SURVEY,SP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CAR_AV
1,AI0001,1,AI0001_T01,1,1,TRAIN,0,1,70,0,30,0,0.7,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
1,AI0001,1,AI0001_T01,1,2,SWISSMETRO,0,1,37,0,10,0,0.37,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
1,AI0001,1,AI0001_T01,1,3,CAR,0,1,40,48,0,0,0.4,0.48,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
2,AI0001,1,AI0001_T02,2,1,TRAIN,0,1,70,0,120,0,0.7,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
2,AI0001,1,AI0001_T02,2,2,SWISSMETRO,0,1,34,0,10,1,0.34,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
2,AI0001,1,AI0001_T02,2,3,CAR,0,1,52,78,0,0,0.52,0.78,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
3,AI0001,1,AI0001_T03,3,1,TRAIN,0,1,70,0,30,0,0.7,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
3,AI0001,1,AI0001_T03,3,2,SWISSMETRO,0,1,31,0,20,0,0.31,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
3,AI0001,1,AI0001_T03,3,3,CAR,0,1,52,60,0,0,0.52,0.6,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
4,AI0001,1,AI0001_T04,4,1,TRAIN,0,1,52,0,60,0,0.52,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
4,AI0001,1,AI0001_T04,4,2,SWISSMETRO,0,1,31,0,30,1,0.31,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
4,AI0001,1,AI0001_T04,4,3,CAR,0,1,32,78,0,0,0.32,0.78,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
5,AI0001,1,AI0001_T05,5,1,TRAIN,0,1,58,0,30,0,0.58,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
5,AI0001,1,AI0001_T05,5,2,SWISSMETRO,0,1,31,0,30,1,0.31,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
