parameter_name,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value
ASC_CAR,0.0,0.14785873280644365,0.0,1.0,0.23281435200620956,0.0,1.0
ASC_PT,0.0,0.18973592846970552,0.0,1.0,0.2537396656829526,0.0,1.0
B_COST,0.0,0.06453620490239699,0.0,1.0,0.08650621561575204,0.0,1.0
B_DIST_OTHER,0.0,0.012535030602201059,0.0,1.0,0.01559921042453693,0.0,1.0
B_DIST_WORK,0.0,0.015017987059979537,0.0,1.0,0.01711369796582223,0.0,1.0
B_LV_CAR_TO_CAR,0.0,0.1621629905788046,0.0,1.0,0.2789638913147883,0.0,1.0
B_LV_CAR_TO_PT,0.0,0.15724590861273638,0.0,1.0,0.4753938616044909,0.0,1.0
B_LV_ENV_TO_CAR,0.0,0.08517386185120776,0.0,1.0,0.4003722699771067,0.0,1.0
B_LV_ENV_TO_PT,0.0,1.7976931348623157e+308,0.0,1.0,0.5311828329294876,0.0,1.0
B_TIME_CAR,0.0,0.723914504533399,0.0,1.0,1.0131383421074047,0.0,1.0
B_TIME_PT,0.0,0.46432080238871026,0.0,1.0,0.634838258719971,0.0,1.0
B_WAIT_OTHER,0.0,0.4576523852171987,0.0,1.0,0.6255405124180053,0.0,1.0
B_WAIT_WORK,0.0,0.4053166844442958,0.0,1.0,0.8030330353690142,0.0,1.0
DELTA_1,0.5,0.01165821891699494,42.88819789368663,0.0,0.024785508652886597,20.173078027259628,0.0
DELTA_2,0.5,0.013320444108823612,37.536286021334256,0.0,0.023725499215851948,21.07437215339731,0.0
INTERCEPT_ENVIR01,0.0,0.03737851965855644,0.0,1.0,0.09683589656602144,0.0,1.0
INTERCEPT_ENVIR05,0.0,0.034433845997799944,0.0,1.0,0.05289274095574149,0.0,1.0
INTERCEPT_LIFSTY01,0.0,0.03933834278159991,0.0,1.0,0.05478925623663566,0.0,1.0
INTERCEPT_LIFSTY07,0.0,0.041760127027591395,0.0,1.0,0.06131298100992633,0.0,1.0
INTERCEPT_MOBIL05,0.0,0.0419423115794519,0.0,1.0,0.06230416185246289,0.0,1.0
INTERCEPT_MOBIL12,0.0,0.04065207003093944,0.0,1.0,0.0800689690585836,0.0,1.0
LOADING_LIFSTY01_ENV,0.0,0.07958317154308484,0.0,1.0,0.11636382979517834,0.0,1.0
LOADING_LIFSTY07_CAR,0.0,0.09418779932197224,0.0,1.0,0.1875270951846169,0.0,1.0
LOADING_MOBIL05_CAR,0.0,0.14036203320750967,0.0,1.0,0.2585362747436573,0.0,1.0
LOADING_MOBIL12_ENV,0.0,0.1262978137940164,0.0,1.0,0.14512329351809816,0.0,1.0
LV_CAR_AGE_30_LESS,0.0,0.113009173375267,0.0,1.0,0.3255254757809268,0.0,1.0
LV_CAR_EMPLOYEES,0.0,0.09444694028088711,0.0,1.0,0.17095244251788944,0.0,1.0
LV_CAR_HIGH_EDU,0.0,0.1453112998182547,0.0,1.0,0.18358036217344045,0.0,1.0
LV_CAR_INTERCEPT,0.0,0.15326642022633538,0.0,1.0,0.3983368204787149,0.0,1.0
LV_CAR_PARENTS,0.0,0.10160682668821469,0.0,1.0,0.19785014689060884,0.0,1.0
LV_CAR_SCALED_INCOME,0.0,0.013045721520913224,0.0,1.0,0.022953632225664582,0.0,1.0
LV_CAR_TOP_MANAGER,0.0,0.18329321356031966,0.0,1.0,0.3197215894976728,0.0,1.0
LV_ENV_ARTISANS,0.0,0.14205635593903765,0.0,1.0,0.2053384079584281,0.0,1.0
LV_ENV_CHILD_SUBURB,0.0,0.09295716774265296,0.0,1.0,0.10144424108466774,0.0,1.0
LV_ENV_CITY_CENTER_KID,0.0,0.1424757042685216,0.0,1.0,0.1867418033031316,0.0,1.0
LV_ENV_HIGH_EDU,0.0,0.20806070363529586,0.0,1.0,0.09488911091696325,0.0,1.0
LV_ENV_INTERCEPT,0.0,0.20471003149613465,0.0,1.0,0.1562167068632421,0.0,1.0
LV_ENV_LOW_EDU,0.0,0.18750534583489728,0.0,1.0,0.11271545678645173,0.0,1.0
LV_ENV_SCALED_INCOME,0.0,0.012791089412415978,0.0,1.0,0.012239111629048024,0.0,1.0
SIGMA_CAR,0.5,0.1801156175356399,2.775994701853457,0.0055033105254733705,0.5889587346007409,0.8489559125716225,0.3959058248468521
SIGMA_ENV,0.5,0.06621582590423082,7.551064917972318,4.3076653355456074e-14,0.061627420059946744,8.113271649431955,4.440892098500626e-16
