ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight,normalized_weight,human_id,CAR_AVAILABLE,PT_AVAILABLE,SLOW_AVAILABLE,ScaledIncome,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,high_education,low_education,top_manager,employees,artisans,age_30_less,car_oriented_parents,city_center_as_kid,childSuburb,work_trip,other_trip
10350017,2,4,85,23,10,12.4,3.17,32,2,0,1,0,3,0,2,1,1,2,2,2,1,2,5.0,1,4,1,1983,2,2,3,3,7000,7,2,2,1,2,2,2,0.0,4.54,3,5,1,3,5,5,5,3,4,5,3,1,1,1,5,6,5,1,5,1,5,1,5,5,5,1,5,1,5,5,5,5,5,3,5,1,1,1,1,5,4,3,5,5,6,5,1,5,1,2,3,5,5,1,1,7,1,1,4,1,5,2,4,1,1,4,1,30.0,1,52,3,255,1,27,0.000378621,0.8832827856419051,10350017,1,1,1,7.0,0.425,0.16,0.1666666666666666,0.0,0.454,6.0,1,0,0,0,0,1,1,0,0,1,0
10350085,1,5,190,116,18,10.8,1.16,14,3,0,2,0,3,0,1,2,1,2,2,0,1,1,4.0,22,4,1,1953,2,3,1,6,7000,3,2,2,2,2,2,1,10.8,1.66,1,3,3,3,5,4,5,1,3,4,4,5,5,1,2,4,5,1,5,5,3,5,4,6,6,6,5,1,5,3,1,6,1,3,3,2,2,1,3,3,3,4,3,3,1,3,1,1,3,3,3,3,4,1,1,7,1,1,4,1,6,2,2,1,2,3,1,12.5,1,56,-1,20,1,57,0.000409116,0.954424398357919,10350085,1,1,1,7.0,0.95,0.07,0.3,1.08,0.1659999999999999,2.5,0,1,0,1,0,0,1,0,0,1,0
10350086,1,4,116,38,29,9.6,1.89,20,3,0,2,0,3,0,1,2,1,2,3,0,1,1,4.0,22,4,2,1952,2,3,4,6,7000,3,2,2,2,2,2,2,9.6,2.71,2,4,3,2,5,4,4,2,3,4,3,5,2,1,3,3,5,2,5,4,3,5,3,3,3,2,4,1,2,2,2,2,2,3,3,4,2,1,2,5,4,4,4,3,1,2,2,4,3,4,2,2,1,2,1,7,1,1,4,1,5,2,1,2,2,3,1,19.0,1,49,-1,30,1,58,0.000367986,0.8584724543995766,10350086,1,1,1,7.0,0.58,0.1,0.4833333333333333,0.96,0.271,3.8,0,1,0,1,0,0,0,0,0,1,0
10350133,1,3,92,35,8,11.0,2.71,27,2,0,1,0,2,4,2,1,1,1,3,1,1,1,3.0,29,2,1,1951,2,2,1,6,3250,3,2,2,2,2,2,1,11.0,3.88,2,4,5,2,5,5,5,2,3,4,3,5,5,3,3,3,4,2,5,2,3,3,3,3,4,3,4,3,5,3,3,3,3,2,2,4,4,1,2,5,5,2,4,4,5,3,1,5,3,3,4,4,5,1,1,7,1,1,4,1,6,2,4,-1,-1,4,1,27.0,1,49,4,60,1,59,0.000409116,0.954424398357919,10350133,1,1,1,3.25,0.46,0.135,0.1333333333333333,1.1,0.388,5.4,0,1,0,1,0,0,1,0,0,1,0
10350197,1,5,124,36,24,11.0,2.44,22,2,0,2,0,1,0,4,2,1,1,3,3,2,2,4.0,2,6,1,1980,2,2,1,2,15000,8,2,2,1,2,2,1,0.0,3.5,2,4,3,2,4,4,3,2,2,5,1,4,5,1,4,6,4,5,5,4,5,4,6,6,6,6,4,2,6,1,5,1,1,2,4,2,3,1,5,5,4,2,4,3,1,3,2,1,3,5,4,4,4,2,1,7,1,1,4,1,5,2,3,3,1,3,1,26.0,1,64,1,24,1,30,0.000378621,0.8832827856419051,10350197,1,1,1,15.0,0.62,0.11,0.4,0.0,0.35,5.2,1,0,0,0,0,1,0,0,0,1,0
10350272,1,3,266,67,95,37.2,5.34,51,2,3,2,0,3,3,2,1,1,1,1,0,1,1,4.0,41,4,1,1968,2,3,1,8,7000,3,2,2,2,2,2,1,37.2,7.65,2,1,3,2,4,4,6,6,6,6,6,6,6,3,3,6,6,2,3,3,3,3,6,6,6,6,4,3,6,6,4,6,6,3,6,2,3,1,1,5,3,3,3,4,3,4,2,3,3,3,2,2,3,2,1,7,1,1,4,1,5,3,4,2,2,3,1,55.0,1,104,3,-1,1,42,0.000409116,0.954424398357919,10350272,1,1,1,7.0,1.33,0.255,1.5833333333333333,3.72,0.765,11.0,0,1,0,0,0,0,1,0,0,1,0
10360011,1,4,180,71,41,26.4,4.43,45,2,0,2,0,2,0,1,1,1,1,2,0,1,1,5.0,30,4,1,1954,2,2,1,3,7000,3,2,2,2,2,2,1,26.4,6.35,3,4,2,2,4,5,5,2,2,5,2,5,5,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,4,2,1,2,4,3,4,4,2,2,4,4,2,4,4,4,3,4,3,4,3,4,4,4,4,1,1,4,2,1,4,1,5,3,1,2,2,4,1,44.5,1,68,4,75,1,56,0.000409116,0.954424398357919,10360011,1,1,1,7.0,0.9,0.225,0.6833333333333333,2.64,0.635,8.9,0,1,0,0,0,0,0,0,0,1,0
10360011,1,10,312,58,51,59.6,14.03,93,2,0,2,0,2,0,1,1,1,1,2,0,1,1,5.0,30,4,1,1954,2,2,1,3,7000,3,2,2,2,2,2,1,59.6,20.1,3,4,2,2,4,5,5,2,2,5,2,5,5,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,4,2,1,2,4,3,4,4,2,2,4,4,2,4,4,4,3,4,3,4,3,4,4,4,4,1,1,4,2,1,4,1,5,3,1,2,2,4,1,135.5,1,203,4,100,1,56,0.000409116,0.954424398357919,10360011,1,1,1,7.0,1.56,0.465,0.85,5.96,2.01,27.1,0,1,0,0,0,0,0,0,0,1,0
10360013,1,4,181,97,15,16.2,2.07,24,4,2,2,0,4,2,1,1,1,1,3,0,1,1,5.0,10,4,1,1968,2,1,1,3,7000,6,2,2,2,2,2,1,16.2,2.97,3,1,3,4,5,4,5,2,4,4,2,5,4,2,3,5,5,1,5,4,4,5,5,5,1,1,3,2,4,2,5,1,1,3,2,4,4,1,4,5,2,3,4,5,4,2,2,5,1,3,4,4,4,1,-1,4,2,1,4,1,3,4,2,1,2,4,1,20.0,1,69,5,60,1,42,0.000109132,0.2545934244605354,10360013,1,1,1,7.0,0.905,0.12,0.25,1.62,0.297,4.0,1,0,0,0,0,0,1,0,1,0,1
10360016,1,2,184,94,10,20.0,2.57,30,1,0,1,0,1,0,1,1,1,1,1,0,1,1,5.0,10,3,2,1966,2,1,1,6,5000,3,2,2,2,2,2,1,20.0,3.68,1,3,4,3,3,3,5,2,6,3,1,5,5,1,3,6,5,1,5,4,4,4,5,5,2,6,2,2,3,1,6,6,6,1,1,1,1,1,6,6,3,4,4,3,3,3,1,5,1,2,2,3,4,4,-1,4,2,1,4,1,3,5,3,1,3,1,1,22.0,1,80,4,65,1,44,0.000367986,0.8584724543995766,10360016,1,1,1,5.0,0.92,0.15,0.1666666666666666,2.0,0.368,4.4,0,1,0,1,0,0,1,0,1,0,1
