respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count,model_is_deepseek,n_valid_tasks,label_flip_rate,order_flip_rate,paraphrase_flip_rate,monotonicity_compliance_rate,dominance_violation_rate,confidence_mean,exact_repeat_flip_rate_mean,top_attr_share_travel_time,top_attr_share_waiting_time,top_attr_share_cost,top_attr_share_distance,top_attr_share_availability,top_attr_share_mode_label
DS0001_R1,54441132,2.256576028779217,31,male,31 years old,3250,around CHF 3250 per month,0,1,1,0,0,0,3.25,1,0,0,1,1,1,0,1,0,a work trip,not high education,1,car is available for this trip,1,6,2,1,1,2,deepseek_chat,DST0001,1,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.6875,0.09375,0.5,0.0,0.5,0.0,0.0,0.0
DS0001_R2,54441132,2.256576028779217,31,male,31 years old,3250,around CHF 3250 per month,0,1,1,0,0,0,3.25,1,0,0,1,1,1,0,1,0,a work trip,not high education,1,car is available for this trip,1,6,2,1,1,2,deepseek_chat,DST0001,2,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.0,0.09375,0.5,0.0,0.5,0.0,0.0,0.0
DS0001_R3,54441132,2.256576028779217,31,male,31 years old,3250,around CHF 3250 per month,0,1,1,0,0,0,3.25,1,0,0,1,1,1,0,1,0,a work trip,not high education,1,car is available for this trip,1,6,2,1,1,2,deepseek_chat,DST0001,3,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.6875,0.09375,0.5,0.0,0.5,0.0,0.0,0.0
DS0001_R4,54441132,2.256576028779217,31,male,31 years old,3250,around CHF 3250 per month,0,1,1,0,0,0,3.25,1,0,0,1,1,1,0,1,0,a work trip,not high education,1,car is available for this trip,1,6,2,1,1,2,deepseek_chat,DST0001,4,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.125,0.09375,0.5,0.0,0.5,0.0,0.0,0.0
DS0002_R1,42271067,0.8584724543995766,42,female,42 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,1,0,1,2,2,1,1,0,a work trip,not high education,1,car is available for this trip,1,1,1,3,3,2,deepseek_chat,DST0002,1,semantic_arm,1,naturalistic,1,0.5642050108118849,0.2333966997932794,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.375,0.0625,0.4375,0.0,0.5,0.0625,0.0,0.0
DS0002_R2,42271067,0.8584724543995766,42,female,42 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,1,0,1,2,2,1,1,0,a work trip,not high education,1,car is available for this trip,1,1,1,3,3,2,deepseek_chat,DST0002,2,semantic_arm,1,naturalistic,1,0.5642050108118849,0.2333966997932794,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.5625,0.0625,0.4375,0.0,0.5,0.0625,0.0,0.0
DS0002_R3,42271067,0.8584724543995766,42,female,42 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,1,0,1,2,2,1,1,0,a work trip,not high education,1,car is available for this trip,1,1,1,3,3,2,deepseek_chat,DST0002,3,semantic_arm,1,naturalistic,1,0.5642050108118849,0.2333966997932794,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.375,0.0625,0.5,0.0,0.4375,0.0625,0.0,0.0
DS0002_R4,42271067,0.8584724543995766,42,female,42 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,1,0,1,2,2,1,1,0,a work trip,not high education,1,car is available for this trip,1,1,1,3,3,2,deepseek_chat,DST0002,4,semantic_arm,1,naturalistic,1,0.5642050108118849,0.2333966997932794,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,5.0,0.0625,0.5,0.0,0.5,0.0,0.0,0.0
DS0003_R1,54440188,0.2290902236010023,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,4,2,2,0,1,0,a work trip,high education,1,car is available for this trip,1,6,2,1,3,4,deepseek_chat,DST0003,1,semantic_arm,1,naturalistic,1,0.5024150214857873,0.2131973272245083,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.0625,0.0,0.5,0.0,0.40625,0.09375,0.0,0.0
DS0003_R2,54440188,0.2290902236010023,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,4,2,2,0,1,0,a work trip,high education,1,car is available for this trip,1,6,2,1,3,4,deepseek_chat,DST0003,2,semantic_arm,1,naturalistic,1,0.5024150214857873,0.2131973272245083,16,6,2,2,2,2,2,0,15,0.0,0.0,0.0,1.0,0.0,4.333333333333333,0.0,0.43333333333333335,0.0,0.43333333333333335,0.06666666666666667,0.06666666666666667,0.0
