parameter_name,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value
ASC_CAR,0.0,0.14785873280644213,0.0,1.0,0.23281435200620465,0.0,1.0
ASC_PT,0.0,0.18973592846970042,0.0,1.0,0.25373966568293743,0.0,1.0
B_COST,0.0,0.06453620490239703,0.0,1.0,0.08650621561575263,0.0,1.0
B_DIST_OTHER,0.0,0.012535030602201049,0.0,1.0,0.01559921042453688,0.0,1.0
B_DIST_WORK,0.0,0.01501798705997955,0.0,1.0,0.01711369796582238,0.0,1.0
B_LV_CAR_TO_CAR,0.0,0.16216299057880382,0.0,1.0,0.2789638913147887,0.0,1.0
B_LV_CAR_TO_PT,0.0,0.15724590861273552,0.0,1.0,0.4753938616044856,0.0,1.0
B_LV_ENV_TO_CAR,0.0,0.08517386185120845,0.0,1.0,0.40037226997711073,0.0,1.0
B_LV_ENV_TO_PT,0.0,1.7976931348623157e+308,0.0,1.0,0.5311828329294883,0.0,1.0
B_TIME_CAR,0.0,0.7239145045333977,0.0,1.0,1.0131383421074056,0.0,1.0
B_TIME_PT,0.0,0.4643208023887045,0.0,1.0,0.6348382587199612,0.0,1.0
B_WAIT_OTHER,0.0,0.4576523852171967,0.0,1.0,0.6255405124180022,0.0,1.0
B_WAIT_WORK,0.0,0.40531668444429547,0.0,1.0,0.8030330353690162,0.0,1.0
DELTA_1,0.5,0.011658218916994952,42.88819789368659,0.0,0.02478550865288661,20.173078027259617,0.0
DELTA_2,0.5,0.013320444108823607,37.53628602133427,0.0,0.02372549921585189,21.074372153397363,0.0
INTERCEPT_ENVIR01,0.0,0.037378519658556375,0.0,1.0,0.09683589656602147,0.0,1.0
INTERCEPT_ENVIR05,0.0,0.034433845997799986,0.0,1.0,0.05289274095574187,0.0,1.0
INTERCEPT_LIFSTY01,0.0,0.039338342781599915,0.0,1.0,0.05478925623663568,0.0,1.0
INTERCEPT_LIFSTY07,0.0,0.041760127027591375,0.0,1.0,0.06131298100992641,0.0,1.0
INTERCEPT_MOBIL05,0.0,0.04194231157945189,0.0,1.0,0.06230416185246271,0.0,1.0
INTERCEPT_MOBIL12,0.0,0.04065207003093942,0.0,1.0,0.0800689690585835,0.0,1.0
LOADING_LIFSTY01_ENV,0.0,0.07958317154308486,0.0,1.0,0.11636382979517824,0.0,1.0
LOADING_LIFSTY07_CAR,0.0,0.0941877993219718,0.0,1.0,0.18752709518461613,0.0,1.0
LOADING_MOBIL05_CAR,0.0,0.14036203320750945,0.0,1.0,0.2585362747436551,0.0,1.0
LOADING_MOBIL12_ENV,0.0,0.1262978137940164,0.0,1.0,0.14512329351809986,0.0,1.0
LV_CAR_AGE_30_LESS,0.0,0.11300917337526663,0.0,1.0,0.32552547578092395,0.0,1.0
LV_CAR_EMPLOYEES,0.0,0.09444694028088713,0.0,1.0,0.17095244251788966,0.0,1.0
LV_CAR_HIGH_EDU,0.0,0.14531129981825458,0.0,1.0,0.18358036217343984,0.0,1.0
LV_CAR_INTERCEPT,0.0,0.15326642022633508,0.0,1.0,0.3983368204787125,0.0,1.0
LV_CAR_PARENTS,0.0,0.10160682668821462,0.0,1.0,0.19785014689060793,0.0,1.0
LV_CAR_SCALED_INCOME,0.0,0.013045721520913224,0.0,1.0,0.022953632225664537,0.0,1.0
LV_CAR_TOP_MANAGER,0.0,0.18329321356031947,0.0,1.0,0.3197215894976721,0.0,1.0
LV_ENV_ARTISANS,0.0,0.14205635593903757,0.0,1.0,0.2053384079584271,0.0,1.0
LV_ENV_CHILD_SUBURB,0.0,0.09295716774265293,0.0,1.0,0.10144424108466885,0.0,1.0
LV_ENV_CITY_CENTER_KID,0.0,0.14247570426852163,0.0,1.0,0.18674180330313211,0.0,1.0
LV_ENV_HIGH_EDU,0.0,0.2080607036352961,0.0,1.0,0.09488911091696439,0.0,1.0
LV_ENV_INTERCEPT,0.0,0.2047100314961357,0.0,1.0,0.15621670686324687,0.0,1.0
LV_ENV_LOW_EDU,0.0,0.18750534583489797,0.0,1.0,0.11271545678645398,0.0,1.0
LV_ENV_SCALED_INCOME,0.0,0.012791089412416017,0.0,1.0,0.012239111629048113,0.0,1.0
SIGMA_CAR,0.5,0.18011561753563918,2.775994701853468,0.0055033105254731485,0.5889587346007372,0.8489559125716278,0.395905824846849
SIGMA_ENV,0.5,0.06621582590423082,7.551064917972318,4.3076653355456074e-14,0.061627420059946994,8.11327164943192,4.440892098500626e-16
