respondent_id,normalized_weight,Choice,CAR_AVAILABLE,PT_AVAILABLE,SLOW_AVAILABLE,TimePT,TimeCar,WaitingTimePT,MarginalCostPT,CostCarCHF,distance_km,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,work_trip,other_trip,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,task_index,panel_row_index
H0001,0.8832827856419051,1,1,1,1,85,32,10,0.0,4.54,30.0,0.425,0.16,0.1666666666666666,0.0,0.454,6.0,1,0,0,0,0,1,7.0,1,0,0,1,0,3,3,1,5,1,4,1,1
H0002,0.954424398357919,1,1,1,1,190,14,18,10.8,1.66,12.5,0.95,0.07,0.3,1.08,0.1659999999999999,2.5,0,1,0,1,0,0,7.0,1,0,0,1,0,1,4,1,5,1,3,1,1
H0003,0.8584724543995766,1,1,1,1,116,20,29,9.6,2.71,19.0,0.58,0.1,0.4833333333333333,0.96,0.271,3.8,0,1,0,1,0,0,7.0,0,0,0,1,0,2,3,2,5,2,4,1,1
H0004,0.954424398357919,1,1,1,1,92,27,8,11.0,3.88,27.0,0.46,0.135,0.1333333333333333,1.1,0.388,5.4,0,1,0,1,0,0,3.25,1,0,0,1,0,2,3,1,5,2,5,1,1
H0005,0.8832827856419051,1,1,1,1,124,22,24,0.0,3.5,26.0,0.62,0.11,0.4,0.0,0.35,5.2,1,0,0,0,0,1,15.0,0,0,0,1,0,2,1,2,4,5,4,1,1
H0006,0.954424398357919,1,1,1,1,266,51,95,37.2,7.65,55.0,1.33,0.255,1.5833333333333333,3.72,0.765,11.0,0,1,0,0,0,0,7.0,1,0,0,1,0,2,6,2,4,2,3,1,1
H0007,0.954424398357919,1,1,1,1,180,45,41,26.4,6.35,44.5,0.9,0.225,0.6833333333333333,2.64,0.635,8.9,0,1,0,0,0,0,7.0,0,0,0,1,0,3,2,3,4,2,2,1,1
H0008,0.954424398357919,1,1,1,1,312,93,51,59.6,20.1,135.5,1.56,0.465,0.85,5.96,2.01,27.1,0,1,0,0,0,0,7.0,0,0,0,1,0,3,2,3,4,2,2,1,1
H0009,0.2545934244605354,1,1,1,1,181,24,15,16.2,2.97,20.0,0.905,0.12,0.25,1.62,0.297,4.0,1,0,0,0,0,0,7.0,1,0,1,0,1,3,2,2,5,1,2,1,1
H0010,0.8584724543995766,1,1,1,1,184,30,10,20.0,3.68,22.0,0.92,0.15,0.1666666666666666,2.0,0.368,4.4,0,1,0,1,0,0,5.0,1,0,1,0,1,1,1,1,3,1,3,1,1
H0011,0.2545934244605354,1,1,1,1,200,26,12,15.2,3.34,24.5,1.0,0.13,0.2,1.52,0.3339999999999999,4.9,0,0,1,0,0,0,9.0,1,0,0,0,1,4,4,2,5,2,4,1,1
H0012,0.954424398357919,1,1,1,1,145,14,19,14.0,1.81,14.2,0.725,0.07,0.3166666666666666,1.4,0.181,2.84,0,1,1,0,0,0,9.0,0,0,1,0,1,1,3,2,3,2,2,1,1
H0013,0.2290902236010023,1,1,1,1,135,33,11,7.8,4.46,31.0,0.675,0.165,0.1833333333333333,0.78,0.446,6.2,0,0,0,1,0,0,15.0,0,1,0,0,1,2,1,1,4,1,1,1,1
