respondent_id,most_likely_state,posterior_c1_s1,posterior_c1_s2,posterior_c2_s1,posterior_c2_s2,posterior_c3_s1,posterior_c3_s2
PO0001_R1,2,1.0151579637391532e-08,1.739088298110614e-06,0.9622133855583326,2.118964041197575e-08,0.037783109051452296,1.7349606971724364e-06
PO0001_R2,2,1.0151579637391532e-08,1.739088298110614e-06,0.9622133855583326,2.118964041197575e-08,0.037783109051452296,1.7349606971724364e-06
PO0001_R3,2,1.0151579637391532e-08,1.739088298110614e-06,0.9622133855583326,2.118964041197575e-08,0.037783109051452296,1.7349606971724364e-06
PO0001_R4,2,1.0151579637391532e-08,1.739088298110614e-06,0.9622133855583326,2.118964041197575e-08,0.037783109051452296,1.7349606971724364e-06
PO0002_R1,4,0.007753190795661379,1.375003795560039e-05,0.1549725035731364,1.5483740237210885e-07,0.8329464692097234,0.0043139315461207944
PO0002_R2,0,0.8279822799316803,0.0011734568674510654,0.16542353731598852,6.103797774753592e-06,1.0526484345445943e-09,0.0054146210344571104
PO0002_R3,4,0.007753190795661379,1.375003795560039e-05,0.1549725035731364,1.5483740237210885e-07,0.8329464692097234,0.0043139315461207944
PO0002_R4,4,0.007753190795661379,1.375003795560039e-05,0.1549725035731364,1.5483740237210885e-07,0.8329464692097234,0.0043139315461207944
PO0003_R1,2,4.0941966710670264e-29,2.1471282424104894e-05,0.9979383345049345,0.000988220126049329,1.0314301062065188e-23,0.001051974086591422
PO0003_R2,2,8.863603447138327e-10,0.007730608296159876,0.9890328193962756,0.00020321092059668618,7.046665751398795e-17,0.003033360500606944
PO0003_R3,2,4.0941966710670264e-29,2.1471282424104894e-05,0.9979383345049345,0.000988220126049329,1.0314301062065188e-23,0.001051974086591422
PO0003_R4,2,1.4162723640805646e-13,0.08964271014114068,0.7784923564006349,0.009806013455315189,1.8773824389701554e-17,0.1220589200027672
PO0004_R1,5,1.779994007091235e-147,3.92619721906961e-24,0.1841739371459655,0.0002677031278486806,3.1268487273102227e-07,0.8155580470413134
PO0004_R2,2,1.8076054185574002e-55,5.1988639286129735e-09,0.9974543713907841,0.0001749203662454428,1.6046199629807167e-20,0.0023707030441065674
PO0004_R3,2,5.393357783692251e-34,1.5692171212148647e-05,0.9997011014099618,0.00013225138401817173,6.290016729855018e-27,0.00015095503480808324
PO0004_R4,2,1.8076054185574002e-55,5.1988639286129735e-09,0.9974543713907841,0.0001749203662454428,1.6046199629807167e-20,0.0023707030441065674
PO0005_R1,4,0.007282885797835315,0.004285816488089236,0.055386696993426174,3.306940155919735e-06,0.7090112018982762,0.22403009188221715
PO0005_R2,5,0.13805185137320986,0.04212483102983089,0.0932612750287771,2.1657131303440366e-05,0.015843154103683275,0.7106972313331954
PO0005_R3,5,2.7461894497807606e-11,0.014253621057841556,0.45600856866458295,0.0004050595221372574,3.481520878010179e-10,0.5293327503798246
PO0005_R4,4,0.007282885797835315,0.004285816488089236,0.055386696993426174,3.306940155919735e-06,0.7090112018982762,0.22403009188221715
PO0006_R1,2,0.36742344160943324,0.0006029207727727195,0.6188201216174665,7.860088639388358e-08,0.012845145731491292,0.0003082916679496996
PO0006_R2,2,7.774383196690409e-20,9.331462894118775e-06,0.9999423343646583,1.7858121740351847e-06,2.1531864047576576e-15,4.654836027159677e-05
PO0006_R3,2,7.774383196690409e-20,9.331462894118775e-06,0.9999423343646583,1.7858121740351847e-06,2.1531864047576576e-15,4.654836027159677e-05
PO0006_R4,2,0.36742344160943324,0.0006029207727727195,0.6188201216174665,7.860088639388358e-08,0.012845145731491292,0.0003082916679496996
PO0007_R1,4,1.9596138551342117e-12,5.83332129466361e-07,0.0696342945679731,1.2392423285969867e-08,0.9299326955667468,0.00043241413876752064
PO0007_R2,0,0.998933430211767,0.00010899410379058776,0.0009574370418736721,1.2276358515148728e-08,1.1389944671469805e-23,1.263662101992159e-07
PO0007_R3,0,0.924991725939518,0.0008156772000584946,0.07414822583124736,1.9300791310974099e-07,9.505827125288134e-14,4.4178021167881964e-05
PO0007_R4,2,0.35633730118246715,0.11868238085241967,0.5249170606713228,4.575770006410103e-05,1.8558014672679493e-29,1.7499593725473164e-05
PO0008_R1,4,0.007763719558926642,1.328734919937916e-05,0.10731896052837961,6.940612082843719e-08,0.8805876425342144,0.004316320623158984
PO0008_R2,4,0.007763719558926642,1.328734919937916e-05,0.10731896052837961,6.940612082843719e-08,0.8805876425342144,0.004316320623158984
PO0008_R3,4,0.007763719558926642,1.328734919937916e-05,0.10731896052837961,6.940612082843719e-08,0.8805876425342144,0.004316320623158984
PO0008_R4,4,0.007763719558926642,1.328734919937916e-05,0.10731896052837961,6.940612082843719e-08,0.8805876425342144,0.004316320623158984
PO0009_R1,2,0.3359282465930818,0.0005682364082337725,0.5469678198435162,1.8097212633040796e-07,0.11611644254756527,0.00041907363547660613
PO0009_R2,2,0.3359282465930818,0.0005682364082337725,0.5469678198435162,1.8097212633040796e-07,0.11611644254756527,0.00041907363547660613
PO0009_R3,2,0.3359282465930818,0.0005682364082337725,0.5469678198435162,1.8097212633040796e-07,0.11611644254756527,0.00041907363547660613
PO0009_R4,2,0.3359282465930818,0.0005682364082337725,0.5469678198435162,1.8097212633040796e-07,0.11611644254756527,0.00041907363547660613
PO0010_R1,4,8.63751543500228e-17,1.043997971672601e-05,0.06652453745563296,9.611953027637987e-07,0.8843426155868899,0.04912144578245754
PO0010_R2,2,4.850292665212525e-140,1.500863836843784e-23,0.9989831566760632,0.0010168432906662256,2.590577578150264e-72,3.327130124132191e-11
PO0010_R3,4,8.63751543500228e-17,1.043997971672601e-05,0.06652453745563296,9.611953027637987e-07,0.8843426155868899,0.04912144578245754
PO0010_R4,4,8.63751543500228e-17,1.043997971672601e-05,0.06652453745563296,9.611953027637987e-07,0.8843426155868899,0.04912144578245754
PO0011_R1,3,4.534039212544387e-48,4.7471019804495134e-05,0.08301458126278177,0.9169365900709571,1.0457065514246966e-62,1.3576464549631793e-06
PO0011_R2,1,3.300143601991249e-08,0.9960390036836234,0.0018420996626987052,0.00209822708321566,1.438422587554761e-41,2.0636569025380065e-05
PO0011_R3,1,5.420884940913599e-12,0.9831929155566786,0.005928058392919587,0.010864408619351345,3.265827516639641e-46,1.461742562880597e-05
PO0011_R4,3,7.933547444679514e-67,2.0717012429198804e-08,0.3042631257546118,0.6957357981549772,4.427936725354465e-62,1.0553733994859935e-06
PO0012_R1,2,1.6317567630863662e-20,5.758073640905054e-06,0.9999569285725561,3.726952228785443e-05,1.3265961947483116e-28,4.383151542388966e-08
