parameter_name,estimate,paper_human_estimate,std_error,z_value
ASCPMM,0.5854153000068297,-0.413,0.26512872749826766,2.2080417521358746
ASCSM,-3.677345978144494,-0.47,0.9695235795152218,-3.792941250570955
beta_cost,-0.06155738080780978,-0.0592,0.011328104806701123,-5.434040544133702
beta_time_pmm,-0.03391692388377797,-0.0299,0.004284583132442503,-7.916038231808802
beta_time_pt,-0.028532466693580023,-0.0121,0.0027254299401433812,-10.468978223699622
beta_distance,-0.064889951768201,-0.227,0.01955346548161095,-3.318590856911105
beta_ncars,0.019606867943501416,1.0,0.09874331918419861,0.19856399506812408
beta_nchildren,0.14262665056783688,0.154,0.12541734978129407,1.1372162688539729
beta_language,0.6555474222278441,1.09,0.2690869357022366,2.4361919337223155
beta_work,0.3010474842428921,-0.582,0.1308362885294503,2.3009479069343097
beta_urban,-0.2695284072674638,0.286,0.17783170974094328,-1.5156374960354364
beta_student,0.4543183021491065,3.21,0.3605264780636606,1.2601523876670286
beta_nbikes,-0.37333749269100047,0.347,0.23414033241800203,-1.5945031291084653
