parameter_name,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value
ASC_CAR,0.0,0.06956770974437321,0.0,1.0,0.26864073993995446,0.0,1.0
ASC_PT,0.0,0.08734981135133084,0.0,1.0,0.18684754548854093,0.0,1.0
B_COST,0.0,0.03319190000821272,0.0,1.0,0.05424731847595214,0.0,1.0
B_DIST_OTHER,0.0,0.005842542089400176,0.0,1.0,0.010190241515505672,0.0,1.0
B_DIST_WORK,0.0,0.005064178786918415,0.0,1.0,0.01230208886049024,0.0,1.0
B_LV_CAR_TO_CAR,0.0,0.016596514133015838,0.0,1.0,0.19973018324982747,0.0,1.0
B_LV_CAR_TO_PT,0.0,0.10447727972326441,0.0,1.0,0.3224678334004407,0.0,1.0
B_LV_ENV_TO_CAR,0.0,0.04395624790858928,0.0,1.0,0.18924022840384963,0.0,1.0
B_LV_ENV_TO_PT,0.0,0.11553828801060075,0.0,1.0,0.15962553539324079,0.0,1.0
B_TIME_CAR,0.0,0.32067648198569076,0.0,1.0,0.5096327190779343,0.0,1.0
B_TIME_PT,0.0,0.2034497476068855,0.0,1.0,0.5393906458794195,0.0,1.0
B_WAIT_OTHER,0.0,0.21579859078740646,0.0,1.0,0.4477462145378785,0.0,1.0
B_WAIT_WORK,0.0,0.20492757438279222,0.0,1.0,0.45162584435778386,0.0,1.0
DELTA_1,0.5,0.013802121218935561,36.226315656033684,0.0,0.020416464288420998,24.490038673521457,0.0
DELTA_2,0.5,0.01583922769807917,31.567195669561286,0.0,0.026172236871015546,19.104213463455437,0.0
INTERCEPT_ENVIR01,0.0,0.05107932444606668,0.0,1.0,0.11429464332644357,0.0,1.0
INTERCEPT_ENVIR05,0.0,0.048873428667477264,0.0,1.0,0.0742063499730284,0.0,1.0
INTERCEPT_LIFSTY01,0.0,0.04955403000955783,0.0,1.0,0.06974632833943016,0.0,1.0
INTERCEPT_LIFSTY07,0.0,0.053276798928993105,0.0,1.0,0.09816653808192412,0.0,1.0
INTERCEPT_MOBIL05,0.0,0.034267056574412154,0.0,1.0,0.14350931390365884,0.0,1.0
INTERCEPT_MOBIL12,0.0,0.050787844433035065,0.0,1.0,0.1183852498092678,0.0,1.0
LOADING_LIFSTY01_ENV,0.0,0.12427527641112664,0.0,1.0,0.31853941093859994,0.0,1.0
LOADING_LIFSTY07_CAR,0.0,0.10689101974197135,0.0,1.0,0.32531339273292276,0.0,1.0
LOADING_MOBIL05_CAR,0.0,1.7976931348623157e+308,0.0,1.0,0.7723434949936836,0.0,1.0
LOADING_MOBIL12_ENV,0.0,1.7976931348623157e+308,0.0,1.0,1.12174638192009,0.0,1.0
LV_CAR_AGE_30_LESS,0.0,0.1592372982154255,0.0,1.0,0.5530650118316237,0.0,1.0
LV_CAR_EMPLOYEES,0.0,1.7976931348623157e+308,0.0,1.0,0.5209705811291124,0.0,1.0
LV_CAR_HIGH_EDU,0.0,0.20668653849011875,0.0,1.0,0.29646326974339693,0.0,1.0
LV_CAR_INTERCEPT,0.0,1.7976931348623157e+308,0.0,1.0,0.3490992328943785,0.0,1.0
LV_CAR_PARENTS,0.0,1.7976931348623157e+308,0.0,1.0,0.4894392430210182,0.0,1.0
LV_CAR_SCALED_INCOME,0.0,0.0175572144722739,0.0,1.0,0.04508391403064473,0.0,1.0
LV_CAR_TOP_MANAGER,0.0,0.20377936117584095,0.0,1.0,0.44995790541859654,0.0,1.0
LV_ENV_ARTISANS,0.0,0.2118017118077695,0.0,1.0,0.4864657531930773,0.0,1.0
LV_ENV_CHILD_SUBURB,0.0,0.14139740477993007,0.0,1.0,0.24658984060981246,0.0,1.0
LV_ENV_CITY_CENTER_KID,0.0,0.1794660949082838,0.0,1.0,0.41088283565641903,0.0,1.0
LV_ENV_HIGH_EDU,0.0,0.2702297805700966,0.0,1.0,0.39764478109997226,0.0,1.0
LV_ENV_INTERCEPT,0.0,0.1795718870917161,0.0,1.0,0.6301387795631244,0.0,1.0
LV_ENV_LOW_EDU,0.0,0.22191201862616713,0.0,1.0,0.2922043920417272,0.0,1.0
LV_ENV_SCALED_INCOME,0.0,0.010987472179227126,0.0,1.0,0.04746796615405149,0.0,1.0
SIGMA_CAR,0.5,1.7976931348623157e+308,2.781342323134e-309,1.0,0.17621095883918958,2.837507969389695,0.0045467211739802504
SIGMA_ENV,0.5,0.08782577261643701,5.693089683180569,1.2476081057144484e-08,0.26876476628975104,1.860362899878617,0.06283419992656025
