respondent_id,task_index,Choice,PT_AVAILABLE,CAR_AVAILABLE,SLOW_AVAILABLE,TimePT,TimeCar,WaitingTimePT,MarginalCostPT,CostCarCHF,distance_km,panel_row_index,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,normalized_weight,age,CalculatedIncome,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,work_trip,other_trip,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01
PO0001_R1,1,1,1,1,1,15.0,10.0,0.0,0.0,1.23,7.0,1,0.075,0.05,0.0,0.0,0.123,1.4,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R1,2,1,1,1,1,63.0,24.0,9.0,12.4,2.71,15.0,2,0.315,0.12,0.15,1.24,0.271,3.0,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R1,3,1,1,1,1,115.0,48.0,10.0,6.4,5.67,35.0,3,0.575,0.24,0.16666666666666666,0.64,0.567,7.0,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R1,4,1,1,1,1,123.0,44.0,14.0,9.6,6.61,46.0,4,0.615,0.22,0.23333333333333334,0.96,0.661,9.2,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R1,5,0,1,1,1,228.0,299.0,24.0,0.0,54.84,428.5,5,1.14,1.495,0.4,0.0,5.484,85.7,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R1,6,1,1,1,1,144.0,68.0,15.0,25.0,7.91,54.0,6,0.72,0.34,0.25,2.5,0.791,10.8,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R2,1,1,1,1,1,15.0,10.0,0.0,0.0,1.23,7.0,1,0.075,0.05,0.0,0.0,0.123,1.4,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R2,2,1,1,1,1,63.0,24.0,9.0,12.4,2.71,15.0,2,0.315,0.12,0.15,1.24,0.271,3.0,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R2,3,1,1,1,1,115.0,48.0,10.0,6.4,5.67,35.0,3,0.575,0.24,0.16666666666666666,0.64,0.567,7.0,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R2,4,1,1,1,1,123.0,44.0,14.0,9.6,6.61,46.0,4,0.615,0.22,0.23333333333333334,0.96,0.661,9.2,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R2,5,0,1,1,1,228.0,299.0,24.0,0.0,54.84,428.5,5,1.14,1.495,0.4,0.0,5.484,85.7,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
PO0001_R2,6,1,1,1,1,144.0,68.0,15.0,25.0,7.91,54.0,6,0.72,0.34,0.25,2.5,0.791,10.8,2.029711386372872,20,2000,0,1,0,1,0,1,2.0,1,0,0,0,1,1,3,1,3,1,1
