dataset,model_key,respondent_id,task_index,normalized_weight,alternative_name,alternative_code,chosen,alt_available,alt_time,alt_waiting,alt_cost,alt_distance
human,human,H0001,1,0.8832827856419051,PT,0,0,1,85.0,10.0,0.0,0.0
human,human,H0001,1,0.8832827856419051,CAR,1,1,1,32.0,0.0,4.54,0.0
human,human,H0001,1,0.8832827856419051,SLOW_MODES,2,0,1,0.0,0.0,0.0,30.0
human,human,H0002,1,0.954424398357919,PT,0,0,1,190.0,18.0,10.8,0.0
human,human,H0002,1,0.954424398357919,CAR,1,1,1,14.0,0.0,1.66,0.0
human,human,H0002,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,12.5
human,human,H0003,1,0.8584724543995766,PT,0,0,1,116.0,29.0,9.6,0.0
human,human,H0003,1,0.8584724543995766,CAR,1,1,1,20.0,0.0,2.71,0.0
human,human,H0003,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,19.0
human,human,H0004,1,0.954424398357919,PT,0,0,1,92.0,8.0,11.0,0.0
human,human,H0004,1,0.954424398357919,CAR,1,1,1,27.0,0.0,3.88,0.0
human,human,H0004,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,27.0
human,human,H0005,1,0.8832827856419051,PT,0,0,1,124.0,24.0,0.0,0.0
human,human,H0005,1,0.8832827856419051,CAR,1,1,1,22.0,0.0,3.5,0.0
human,human,H0005,1,0.8832827856419051,SLOW_MODES,2,0,1,0.0,0.0,0.0,26.0
human,human,H0006,1,0.954424398357919,PT,0,0,1,266.0,95.0,37.2,0.0
human,human,H0006,1,0.954424398357919,CAR,1,1,1,51.0,0.0,7.65,0.0
human,human,H0006,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,55.0
human,human,H0007,1,0.954424398357919,PT,0,0,1,180.0,41.0,26.4,0.0
human,human,H0007,1,0.954424398357919,CAR,1,1,1,45.0,0.0,6.35,0.0
human,human,H0007,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,44.5
human,human,H0008,1,0.954424398357919,PT,0,0,1,312.0,51.0,59.6,0.0
human,human,H0008,1,0.954424398357919,CAR,1,1,1,93.0,0.0,20.1,0.0
human,human,H0008,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,135.5
human,human,H0009,1,0.2545934244605354,PT,0,0,1,181.0,15.0,16.2,0.0
human,human,H0009,1,0.2545934244605354,CAR,1,1,1,24.0,0.0,2.97,0.0
human,human,H0009,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,20.0
human,human,H0010,1,0.8584724543995766,PT,0,0,1,184.0,10.0,20.0,0.0
human,human,H0010,1,0.8584724543995766,CAR,1,1,1,30.0,0.0,3.68,0.0
human,human,H0010,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,22.0
human,human,H0011,1,0.2545934244605354,PT,0,0,1,200.0,12.0,15.2,0.0
human,human,H0011,1,0.2545934244605354,CAR,1,1,1,26.0,0.0,3.34,0.0
human,human,H0011,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,24.5
human,human,H0012,1,0.954424398357919,PT,0,0,1,145.0,19.0,14.0,0.0
human,human,H0012,1,0.954424398357919,CAR,1,1,1,14.0,0.0,1.81,0.0
human,human,H0012,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,14.2
human,human,H0013,1,0.2290902236010023,PT,0,0,1,135.0,11.0,7.8,0.0
human,human,H0013,1,0.2290902236010023,CAR,1,1,1,33.0,0.0,4.46,0.0
human,human,H0013,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,31.0
human,human,H0014,1,0.8832827856419051,PT,0,0,1,159.0,11.0,43.2,0.0
human,human,H0014,1,0.8832827856419051,CAR,1,1,1,28.0,0.0,4.61,0.0
human,human,H0014,1,0.8832827856419051,SLOW_MODES,2,0,1,0.0,0.0,0.0,32.5
