respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count,model_is_deepseek,n_valid_tasks,label_flip_rate,order_flip_rate,paraphrase_flip_rate,monotonicity_compliance_rate,dominance_violation_rate,confidence_mean,exact_repeat_flip_rate_mean,top_attr_share_travel_time,top_attr_share_waiting_time,top_attr_share_cost,top_attr_share_distance,top_attr_share_availability,top_attr_share_mode_label
PO0001_R1,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,poe_gpt54_nano,POT0001,1,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,3.3125,0.0,0.5,0.0,0.5,0.0,0.0,0.0
PO0001_R2,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,poe_gpt54_nano,POT0001,2,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,3.5,0.0,0.4375,0.0625,0.5,0.0,0.0,0.0
PO0001_R3,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,poe_gpt54_nano,POT0001,3,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,3.5625,0.0,0.4375,0.0625,0.5,0.0,0.0,0.0
PO0001_R4,54261409,2.029711386372872,20,female,30 or younger,2000,around CHF 2000 per month,0,1,0,1,0,1,2.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,1,3,1,1,poe_gpt54_nano,POT0001,4,semantic_arm,1,concise,0,0.4925296317544854,0.2415655579790614,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,3.4375,0.0,0.5,0.0,0.5,0.0,0.0,0.0
PO0002_R1,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,poe_gpt54_nano,POT0002,1,semantic_arm,1,naturalistic,1,0.5642050108118849,0.2333966997932794,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.125,0.0625,0.5,0.0,0.5,0.0,0.0,0.0
PO0002_R2,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,poe_gpt54_nano,POT0002,2,semantic_arm,1,naturalistic,1,0.5642050108118849,0.2333966997932794,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.0,0.0625,0.5,0.0,0.5,0.0,0.0,0.0
PO0002_R3,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,poe_gpt54_nano,POT0002,3,semantic_arm,1,naturalistic,1,0.5642050108118849,0.2333966997932794,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.1875,0.0625,0.5,0.0,0.5,0.0,0.0,0.0
PO0002_R4,30860032,0.8584724543995766,47,female,47 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,1,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,1,1,2,1,poe_gpt54_nano,POT0002,4,semantic_arm,1,naturalistic,1,0.5642050108118849,0.2333966997932794,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.0,4.1875,0.0625,0.5,0.0,0.5,0.0,0.0,0.0
PO0003_R1,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,poe_gpt54_nano,POT0003,1,semantic_arm,1,naturalistic,1,0.5024150214857873,0.2131973272245083,16,6,2,2,2,2,2,0,16,0.0,0.5,1.0,0.0,0.0,3.875,0.1354166666666666,0.5,0.03125,0.46875,0.0,0.0,0.0
PO0003_R2,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,poe_gpt54_nano,POT0003,2,semantic_arm,1,naturalistic,1,0.5024150214857873,0.2131973272245083,16,6,2,2,2,2,2,0,16,0.0,0.5,0.5,0.5,0.0,3.0625,0.1354166666666666,0.46875,0.03125,0.46875,0.0,0.03125,0.0
PO0003_R3,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,poe_gpt54_nano,POT0003,3,semantic_arm,1,naturalistic,1,0.5024150214857873,0.2131973272245083,16,6,2,2,2,2,2,0,16,0.0,0.5,1.0,0.0,0.0,2.9375,0.1354166666666666,0.46875,0.0625,0.4375,0.0,0.03125,0.0
PO0003_R4,30860015,0.8584724543995766,55,female,55 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,0,0,0,1,1,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,2,3,3,4,1,3,poe_gpt54_nano,POT0003,4,semantic_arm,1,naturalistic,1,0.5024150214857873,0.2131973272245083,16,6,2,2,2,2,2,0,16,0.5,0.5,0.5,0.5,0.0,2.875,0.1354166666666666,0.5,0.0,0.46875,0.03125,0.0,0.0
PO0004_R1,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,poe_gpt54_nano,POT0004,1,neutral_arm,0,concise,0,0.427841794957956,0.1192053336878673,16,6,2,2,2,2,2,0,16,0.0,0.0,0.0,1.0,0.5,3.625,0.15625,0.5,0.0,0.4375,0.0,0.0625,0.0
PO0004_R2,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,poe_gpt54_nano,POT0004,2,neutral_arm,0,concise,0,0.427841794957956,0.1192053336878673,16,6,2,2,2,2,2,0,16,0.0,0.5,0.0,0.5,0.5,3.75,0.15625,0.4375,0.09375,0.46875,0.0,0.0,0.0
PO0004_R3,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,poe_gpt54_nano,POT0004,3,neutral_arm,0,concise,0,0.427841794957956,0.1192053336878673,16,6,2,2,2,2,2,0,16,0.0,0.5,0.5,0.5,0.5,3.25,0.15625,0.4375,0.0625,0.5,0.0,0.0,0.0
PO0004_R4,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,1,1,3,4,4,2,poe_gpt54_nano,POT0004,4,neutral_arm,0,concise,0,0.427841794957956,0.1192053336878673,16,6,2,2,2,2,2,0,16,0.0,0.5,0.0,0.5,0.5,3.375,0.15625,0.5,0.0,0.5,0.0,0.0,0.0
