model_key,model_is_deepseek,respondent_id,block_template_id,run_repeat,source_observation_id,human_id,human_respondent_id,normalized_weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,task_index,task_role,pair_id,manipulation_type,anchor_task_index,block_complexity_mean,age,age_30_less,high_education,low_education,ScaledIncome,work_trip,other_trip,NbCar,NbBicy,NbHousehold,NbChild,CAR_AVAILABLE,alternative_name,alternative_code,display_label,display_position,chosen,observed_choice_code,is_valid_task_response,alt_available,alt_time,alt_time_non_wait,alt_waiting,alt_cost,alt_distance,target_alternative_name,dominated_alternative_name
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,1,core,CORE_1,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,PT,0,A,1,1,0,1,1,92.0,92.0,4.0,9.0,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,1,core,CORE_1,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,CAR,1,B,2,0,0,1,1,33.0,33.0,0.0,3.67,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,1,core,CORE_1,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,0.0,22.5,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,2,core,CORE_2,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,PT,0,A,1,1,0,1,1,87.0,87.0,18.0,11.0,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,2,core,CORE_2,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,CAR,1,B,2,0,0,1,1,29.0,29.0,0.0,4.63,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,2,core,CORE_2,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,0.0,31.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,3,core,CORE_3,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,PT,0,A,1,1,0,1,1,61.0,61.0,0.0,3.2,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,3,core,CORE_3,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,CAR,1,B,2,0,0,1,1,8.0,8.0,0.0,0.87,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,3,core,CORE_3,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,0.0,5.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,4,core,CORE_4,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,PT,0,A,1,1,0,1,1,112.0,112.0,14.0,0.0,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,4,core,CORE_4,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,CAR,1,B,2,0,0,1,1,68.0,68.0,0.0,4.54,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,4,core,CORE_4,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,0.0,51.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,5,core,CORE_5,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,PT,0,A,1,1,0,1,1,67.0,67.0,4.0,0.0,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,5,core,CORE_5,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,CAR,1,B,2,0,0,1,1,23.0,23.0,0.0,2.22,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,5,core,CORE_5,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,SLOW_MODES,2,C,3,0,0,1,1,0.0,0.0,0.0,0.0,12.5,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,6,core,CORE_6,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,PT,0,A,1,1,0,1,1,81.0,81.0,11.0,7.6,0.0,,
mlx_qwen35_0p8b,0,Q80001_R1,Q8T0001,1,1539,54260212,H1272,0.8611359127752702,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,6,core,CORE_6,core,-1,0.6909810618139649,42.0,0,0,1,5.0,1,0,3.0,5.0,4.0,2.0,1,CAR,1,B,2,0,0,1,1,24.0,24.0,0.0,2.41,0.0,,
