parameter_name,estimate,paper_estimate,std_error,z_value
ASCPMM,-14.08713620680858,-0.413,11117.680871282186,-0.0012670930538397377
ASCSM,-12.204517386680646,-0.47,9512.875977843616,-0.0012829471776049763
beta_cost,-5.097841725627105,-0.0592,4149.968318458084,-0.0012284049743110335
beta_time_pmm,1.1809246396623407,-0.0299,394.19030686318433,0.002995823639245945
beta_time_pt,1.6439610743273783,-0.0121,234.90159303514648,0.006998509686911341
beta_distance,-3.346070296598857,-0.227,2519.5348381451927,-0.0013280508155474188
beta_ncars,-0.4218471413319404,1.0,1229.2815234960706,-0.00034316560793349373
beta_nchildren,1.1717837705171747,0.154,846.8731196039124,0.0013836591850562277
beta_language,1.3086559223237573,1.09,181.94097925989973,0.0071927496908454226
beta_work,-0.3542705454025582,-0.582,189.49073346922697,-0.0018695929817596662
beta_urban,26.220092400730593,0.286,21064.18730246515,0.001244771138056774
beta_student,3.21,3.21,1.0,3.21
beta_nbikes,0.4996820843321579,0.347,127.37825476440564,0.003922820934046807
