respondent_id,task_index,Choice,WaitingTimePT,TimePT,MarginalCostPT,CostPT,TimeCar,CostCar,CostCarCHF,distance_km,CarAvail,CAR_AVAILABLE,InVehicleTime,source_observation_id_panel,human_id_panel,human_id,source_observation_id,Weight,CalculatedIncome,Education,LangCode,UrbRur,OccupStat,TripPurpose,Region,age,NbHousehold,NbChild,NbCar,NbBicy,French,Urban,Student,WorkTrip,EducHigh,AgeTerm,Valais,Bern,BaselZurich,East,Graubunden,NbCar_0,NbChild_0,NbBicy_0,Mobil10,Mobil11,Mobil16,Envir01,Envir02,Envir05,Envir06,ID
Q80001_R1,1,0,4.0,92.0,9.0,9.0,33.0,3.67,3.67,22.5,1,1,88.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R1,2,0,18.0,87.0,11.0,11.0,29.0,4.63,4.63,31.0,1,1,69.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R1,3,0,0.0,61.0,3.2,3.2,8.0,0.87,0.87,5.0,1,1,61.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R1,4,0,14.0,112.0,0.0,0.0,68.0,4.54,4.54,51.0,1,1,98.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R1,5,0,4.0,67.0,0.0,0.0,23.0,2.22,2.22,12.5,1,1,63.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R1,6,0,11.0,81.0,7.6,7.6,24.0,2.41,2.41,17.0,1,1,70.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R2,1,0,4.0,92.0,9.0,9.0,33.0,3.67,3.67,22.5,1,1,88.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R2,2,0,18.0,87.0,11.0,11.0,29.0,4.63,4.63,31.0,1,1,69.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R2,3,0,0.0,61.0,3.2,3.2,8.0,0.87,0.87,5.0,1,1,61.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R2,4,0,14.0,112.0,0.0,0.0,68.0,4.54,4.54,51.0,1,1,98.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R2,5,0,4.0,67.0,0.0,0.0,23.0,2.22,2.22,12.5,1,1,63.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R2,6,0,11.0,81.0,7.6,7.6,24.0,2.41,2.41,17.0,1,1,70.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R3,1,0,4.0,92.0,9.0,9.0,33.0,3.67,3.67,22.5,1,1,88.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R3,2,0,18.0,87.0,11.0,11.0,29.0,4.63,4.63,31.0,1,1,69.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
Q80001_R3,3,0,0.0,61.0,3.2,3.2,8.0,0.87,0.87,5.0,1,1,61.0,1539,54260212,54260212,1539,0.000367986,5000,3,2,1,6,2,6,42,4,2,3,5,0,0,0,1,0,0,0,0,1,0,0,3,2,5,1,2,2,4,3,4,5,54260212
