respondent_id,source_observation_id,human_id,normalized_weight,Weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Envir02,Envir05,Envir06,Mobil10,Mobil11,Mobil16,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count
Q80001_R1,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,42,female,42 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,0,3,5,4,2,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,4,3,4,5,1,2,2,mlx_qwen35_0p8b,Q8T0001,1,semantic_arm,1,naturalistic,1,0.6909810618139649,0.21543566969886097,16,6,2,2,2,2,2
Q80001_R2,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,42,female,42 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,0,3,5,4,2,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,4,3,4,5,1,2,2,mlx_qwen35_0p8b,Q8T0001,2,semantic_arm,1,naturalistic,1,0.6909810618139649,0.21543566969886097,16,6,2,2,2,2,2
Q80001_R3,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,42,female,42 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,0,3,5,4,2,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,4,3,4,5,1,2,2,mlx_qwen35_0p8b,Q8T0001,3,semantic_arm,1,naturalistic,1,0.6909810618139649,0.21543566969886097,16,6,2,2,2,2,2
Q80001_R4,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,42,female,42 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,0,3,5,4,2,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,4,3,4,5,1,2,2,mlx_qwen35_0p8b,Q8T0001,4,semantic_arm,1,naturalistic,1,0.6909810618139649,0.21543566969886097,16,6,2,2,2,2,2
Q80002_R1,839,31321431,2.0360086784578657,0.00087004,2,1,3,3,3,4,29,female,30 or younger,2000,around CHF 2000 per month,0,1,0,0,0,1,2.0,1,0,0,0,1,2,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,1,4,4,5,5,mlx_qwen35_0p8b,Q8T0002,1,semantic_arm,1,naturalistic,1,0.6199214599034946,0.21088115424878268,16,6,2,2,2,2,2
Q80002_R2,839,31321431,2.0360086784578657,0.00087004,2,1,3,3,3,4,29,female,30 or younger,2000,around CHF 2000 per month,0,1,0,0,0,1,2.0,1,0,0,0,1,2,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,1,4,4,5,5,mlx_qwen35_0p8b,Q8T0002,2,semantic_arm,1,naturalistic,1,0.6199214599034946,0.21088115424878268,16,6,2,2,2,2,2
Q80002_R3,839,31321431,2.0360086784578657,0.00087004,2,1,3,3,3,4,29,female,30 or younger,2000,around CHF 2000 per month,0,1,0,0,0,1,2.0,1,0,0,0,1,2,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,1,4,4,5,5,mlx_qwen35_0p8b,Q8T0002,3,semantic_arm,1,naturalistic,1,0.6199214599034946,0.21088115424878268,16,6,2,2,2,2,2
Q80002_R4,839,31321431,2.0360086784578657,0.00087004,2,1,3,3,3,4,29,female,30 or younger,2000,around CHF 2000 per month,0,1,0,0,0,1,2.0,1,0,0,0,1,2,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,1,4,4,5,5,mlx_qwen35_0p8b,Q8T0002,4,semantic_arm,1,naturalistic,1,0.6199214599034946,0.21088115424878268,16,6,2,2,2,2,2
Q80003_R1,1555,54260390,3.830035979742342,0.001636675,2,1,-1,-1,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,0,0,1,4,3,1,0,1,a trip with unreported purpose,education not reported,1,car is available for this trip,6,3,3,4,6,5,3,mlx_qwen35_0p8b,Q8T0003,1,neutral_arm,0,naturalistic,1,0.6645649245178797,0.17407203648229622,16,6,2,2,2,2,2
Q80003_R2,1555,54260390,3.830035979742342,0.001636675,2,1,-1,-1,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,0,0,1,4,3,1,0,1,a trip with unreported purpose,education not reported,1,car is available for this trip,6,3,3,4,6,5,3,mlx_qwen35_0p8b,Q8T0003,2,neutral_arm,0,naturalistic,1,0.6645649245178797,0.17407203648229622,16,6,2,2,2,2,2
Q80003_R3,1555,54260390,3.830035979742342,0.001636675,2,1,-1,-1,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,0,0,1,4,3,1,0,1,a trip with unreported purpose,education not reported,1,car is available for this trip,6,3,3,4,6,5,3,mlx_qwen35_0p8b,Q8T0003,3,neutral_arm,0,naturalistic,1,0.6645649245178797,0.17407203648229622,16,6,2,2,2,2,2
Q80003_R4,1555,54260390,3.830035979742342,0.001636675,2,1,-1,-1,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,0,0,1,4,3,1,0,1,a trip with unreported purpose,education not reported,1,car is available for this trip,6,3,3,4,6,5,3,mlx_qwen35_0p8b,Q8T0003,4,neutral_arm,0,naturalistic,1,0.6645649245178797,0.17407203648229622,16,6,2,2,2,2,2
Q80004_R1,1015,42271145,0.2298009887184065,9.82e-05,2,1,1,3,4,5,56,female,56 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,2,-1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,3,3,6,5,4,mlx_qwen35_0p8b,Q8T0004,1,semantic_arm,1,concise,0,0.5094664780953508,0.2687415392155206,16,6,2,2,2,2,2
Q80004_R2,1015,42271145,0.2298009887184065,9.82e-05,2,1,1,3,4,5,56,female,56 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,2,-1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,3,3,6,5,4,mlx_qwen35_0p8b,Q8T0004,2,semantic_arm,1,concise,0,0.5094664780953508,0.2687415392155206,16,6,2,2,2,2,2
Q80004_R3,1015,42271145,0.2298009887184065,9.82e-05,2,1,1,3,4,5,56,female,56 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,2,-1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,3,3,6,5,4,mlx_qwen35_0p8b,Q8T0004,3,semantic_arm,1,concise,0,0.5094664780953508,0.2687415392155206,16,6,2,2,2,2,2
Q80004_R4,1015,42271145,0.2298009887184065,9.82e-05,2,1,1,3,4,5,56,female,56 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,2,-1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,3,3,6,5,4,mlx_qwen35_0p8b,Q8T0004,4,semantic_arm,1,concise,0,0.5094664780953508,0.2687415392155206,16,6,2,2,2,2,2
Q80005_R1,785,30860603,2.0360086784578657,0.00087004,2,2,1,2,3,4,22,female,30 or younger,7000,around CHF 7000 per month,0,1,0,1,0,1,7.0,0,0,0,1,2,3,0,1,0,a mixed work-and-leisure trip,vocational or secondary education,0,car is not available for this trip,3,-1,-1,-1,5,4,4,mlx_qwen35_0p8b,Q8T0005,1,neutral_arm,0,naturalistic,1,0.6078336501755955,0.17158429873217543,16,6,2,2,2,2,2
Q80005_R2,785,30860603,2.0360086784578657,0.00087004,2,2,1,2,3,4,22,female,30 or younger,7000,around CHF 7000 per month,0,1,0,1,0,1,7.0,0,0,0,1,2,3,0,1,0,a mixed work-and-leisure trip,vocational or secondary education,0,car is not available for this trip,3,-1,-1,-1,5,4,4,mlx_qwen35_0p8b,Q8T0005,2,neutral_arm,0,naturalistic,1,0.6078336501755955,0.17158429873217543,16,6,2,2,2,2,2
Q80005_R3,785,30860603,2.0360086784578657,0.00087004,2,2,1,2,3,4,22,female,30 or younger,7000,around CHF 7000 per month,0,1,0,1,0,1,7.0,0,0,0,1,2,3,0,1,0,a mixed work-and-leisure trip,vocational or secondary education,0,car is not available for this trip,3,-1,-1,-1,5,4,4,mlx_qwen35_0p8b,Q8T0005,3,neutral_arm,0,naturalistic,1,0.6078336501755955,0.17158429873217543,16,6,2,2,2,2,2
