model_key,block_template_id,respondent_id,run_repeat,exact_repeat_flip_rate_mean,response_entropy_mean,intervention_gap_tv_mean,excess_intervention_gap_mean
mlx_qwen35_0p8b,Q8T0001,Q80001_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0001,Q80001_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0001,Q80001_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0001,Q80001_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0002,Q80002_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0002,Q80002_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0002,Q80002_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0002,Q80002_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0003,Q80003_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0003,Q80003_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0003,Q80003_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0003,Q80003_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0004,Q80004_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0004,Q80004_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0004,Q80004_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0004,Q80004_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0005,Q80005_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0005,Q80005_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0005,Q80005_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0005,Q80005_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0006,Q80006_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0006,Q80006_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0006,Q80006_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0006,Q80006_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0007,Q80007_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0007,Q80007_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0007,Q80007_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0007,Q80007_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0008,Q80008_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0008,Q80008_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0008,Q80008_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0008,Q80008_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0009,Q80009_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0009,Q80009_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0009,Q80009_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0009,Q80009_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0010,Q80010_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0010,Q80010_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0010,Q80010_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0010,Q80010_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0011,Q80011_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0011,Q80011_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0011,Q80011_R3,3,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0011,Q80011_R4,4,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0012,Q80012_R1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
mlx_qwen35_0p8b,Q8T0012,Q80012_R2,2,0.0,0.0,0.3333333333333333,0.3333333333333333
