section,block,name,paper_value,our_value,paper_display,our_display,digits,rounded_match,status,gap
hcm_utility_parameter,hcm,ASCPMM,-0.599,-0.6668267397986649,-0.599,-0.667,3,0,mismatch,-0.06782673979866494
hcm_utility_parameter,hcm,ASCSM,-0.772,-0.8182215902956137,-0.772,-0.818,3,0,mismatch,-0.04622159029561368
hcm_utility_parameter,hcm,beta_cost,-0.0559,0.011509571513911479,-0.0559,0.0115,4,0,mismatch,0.06740957151391147
hcm_utility_parameter,hcm,beta_time_pmm,-0.0294,-0.4943340697684507,-0.0294,-0.4943,4,0,mismatch,-0.4649340697684507
hcm_utility_parameter,hcm,beta_time_pt,-0.0119,1.4803658025141528,-0.0119,1.4804,4,0,mismatch,1.4922658025141529
hcm_utility_parameter,hcm,beta_distance,-0.224,-0.24259431119227107,-0.224,-0.243,3,0,mismatch,-0.018594311192271062
hcm_utility_parameter,hcm,beta_ncars,0.97,0.9548061396226378,0.970,0.955,3,0,mismatch,-0.015193860377362145
hcm_utility_parameter,hcm,beta_nchildren,0.215,0.20302031326756917,0.215,0.203,3,0,mismatch,-0.011979686732430828
hcm_utility_parameter,hcm,beta_language,1.06,1.0574480990778967,1.060,1.057,3,0,mismatch,-0.002551900922103334
hcm_utility_parameter,hcm,beta_work,-0.583,-0.5856857196515185,-0.583,-0.586,3,0,mismatch,-0.0026857196515185366
hcm_utility_parameter,hcm,beta_urban,0.283,0.38787687245607955,0.283,0.388,3,0,mismatch,0.10487687245607957
hcm_utility_parameter,hcm,beta_student,3.26,3.26,3.260,3.260,3,1,match,0.0
hcm_utility_parameter,hcm,beta_nbikes,0.385,0.3831368090734963,0.385,0.383,3,0,mismatch,-0.0018631909265037216
hcm_utility_parameter,hcm,beta_Acar,-0.574,-0.1939741203091932,-0.574,-0.194,3,0,mismatch,0.38002587969080676
hcm_utility_parameter,hcm,beta_Aenv,0.393,0.7512886299482101,0.393,0.751,3,0,mismatch,0.3582886299482101
hcm_attitude_parameter,hcm,Acar,3.02,1.5247435633642772,3.020,1.525,3,0,mismatch,-1.4952564366357228
hcm_attitude_parameter,hcm,Aenv,3.23,3.4100832332903352,3.230,3.410,3,0,mismatch,0.18008323329033527
hcm_attitude_parameter,hcm,theta_ncars,0.104,-0.5127489955383423,0.1040,-0.5127,4,0,mismatch,-0.6167489955383423
hcm_attitude_parameter,hcm,theta_educ,0.235,0.7116002887090352,0.2350,0.7116,4,0,mismatch,0.47660028870903526
hcm_attitude_parameter,hcm,theta_nbikes,0.0845,0.03622315925973132,0.0845,0.0362,4,0,mismatch,-0.04827684074026869
hcm_attitude_parameter,hcm,theta_age,0.00445,-0.014382728866295099,0.00445,-0.01438,5,0,mismatch,-0.018832728866295098
hcm_attitude_parameter,hcm,theta_valais,-0.223,-0.223,-0.2230,-0.2230,4,1,match,0.0
hcm_attitude_parameter,hcm,theta_bern,-0.361,2.726383111183529,-0.3610,2.7264,4,0,mismatch,3.087383111183529
hcm_attitude_parameter,hcm,theta_basel_zurich,-0.256,1.7682298894691482,-0.2560,1.7682,4,0,mismatch,2.024229889469148
hcm_attitude_parameter,hcm,theta_east,-0.228,-0.228,-0.2280,-0.2280,4,1,match,0.0
hcm_attitude_parameter,hcm,theta_graubunden,-0.303,-0.303,-0.3030,-0.3030,4,1,match,0.0
hcm_metric,hcm,choice_log_likelihood,-1069.8,-0.004314986657782519,-1069.8,-0.0,1,0,mismatch,1069.795685013342
hcm_metric,hcm,market_share_PMM,0.6311,2.045385496688803e-05,0.6311,0.0000,4,0,mismatch,-0.6310795461450331
hcm_metric,hcm,market_share_PT,0.312,0.9999632074203718,0.3120,1.0000,4,0,mismatch,0.6879632074203719
hcm_metric,hcm,market_share_SM,0.0569,1.6338724661151596e-05,0.0569,0.0000,4,0,mismatch,-0.05688366127533885
hcm_metric,hcm,elasticity_PMM_cost,-0.058,0.00046010759409129836,-0.058,0.000,3,0,mismatch,0.0584601075940913
hcm_metric,hcm,elasticity_PMM_time,-0.234,-2.361168393182636e-07,-0.234,-0.000,3,0,mismatch,0.23399976388316068
hcm_metric,hcm,elasticity_PT_cost,-0.202,5.248841725242039e-13,-0.202,0.000,3,0,mismatch,0.2020000000005249
hcm_metric,hcm,elasticity_PT_time,-0.465,0.0001632294325065333,-0.465,0.000,3,0,mismatch,0.46516322943250654
hcm_metric,hcm,value_of_time_PMM,31.54,2576.989434424844,31.54,2576.99,2,0,mismatch,2545.449434424844
hcm_metric,hcm,value_of_time_PT,12.81,7717.224576387676,12.81,7717.22,2,0,mismatch,7704.414576387676
