parameter_name,estimate,paper_estimate,block,std_error,z_value
ASCPMM,-0.6668267397986649,-0.599,utility,1.010778029244171,-0.6597162982433419
ASCSM,-0.8182215902956137,-0.772,utility,1.0068207668596767,-0.812678499717171
beta_cost,0.011509571513911479,-0.0559,utility,1.0000178366347903,0.011509366225549447
beta_time_pmm,-0.4943340697684507,-0.0294,utility,1.0000000001072071,-0.4943340697154545
beta_time_pt,1.4803658025141528,-0.0119,utility,1.2755140968401244,1.1606032470997496
beta_distance,-0.24259431119227107,-0.224,utility,1.0006148924661518,-0.24244523344477148
beta_ncars,0.9548061396226378,0.97,utility,1.000000000107207,0.954806139520276
beta_nchildren,0.20302031326756917,0.215,utility,1.0,0.20302031326756917
beta_language,1.0574480990778967,1.06,utility,1.0,1.0574480990778967
beta_work,-0.5856857196515185,-0.583,utility,1.0,-0.5856857196515185
beta_urban,0.38787687245607955,0.283,utility,1.0342347829353358,0.3750375435597113
beta_student,3.26,3.26,utility,1.0,3.26
beta_nbikes,0.3831368090734963,0.385,utility,1.000000000107207,0.38313680903242137
beta_Acar,-0.1939741203091932,-0.574,utility,1.3392770014091797,-0.14483495207122554
beta_Aenv,0.7512886299482101,0.393,utility,1.2981593215707097,0.5787337636178488
