parameter_name,estimate,paper_estimate,block,std_error,z_value
Acar,1.5247435633642772,3.02,attitude,3.136562745276189,0.4861192608566855
Aenv,3.4100832332903352,3.23,attitude,1.6295970027659261,2.0925929708402617
theta_ncars,-0.5127489955383423,0.104,attitude,1.3532490361954832,-0.37890216938922194
theta_educ,0.7116002887090352,0.235,attitude,1.9445578869675284,0.36594451287780977
theta_nbikes,0.03622315925973132,0.0845,attitude,0.3711321570021248,0.09760178032625702
theta_age,-0.014382728866295099,0.00445,attitude,0.2909950402403641,-0.049426027517221104
theta_valais,-0.223,-0.223,attitude,1.0,-0.223
theta_bern,2.726383111183529,-0.361,attitude,5.508102625070287,0.49497681811052646
theta_basel_zurich,1.7682298894691482,-0.256,attitude,6.911008049317702,0.25585701490301677
theta_east,-0.228,-0.228,attitude,1.0,-0.228
theta_graubunden,-0.303,-0.303,attitude,1.0,-0.303
