model_key,respondent_id,block_template_id,run_repeat,human_respondent_id,source_observation_id,human_id,normalized_weight,Weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,task_index,task_role,pair_id,manipulation_type,anchor_task_index,is_utility_equivalent_intervention,semantic_labels,option_order,display_A_alt,display_B_alt,display_C_alt,paraphrase_variant,scenario_id,complexity_score,CAR_AVAILABLE,TimePT,TimePT_non_wait,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,TimePT_non_wait_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,target_alternative_name,dominated_alternative_name,dominance_reason
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,1,core,CORE_1,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S1788,0.5277973258268824,1,96.0,92.0,4.0,9.0,33.0,3.67,22.5,0.48,0.46,0.0666666666666666,0.9,0.165,0.367,4.5,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,2,core,CORE_2,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0095,0.44903457566232596,1,105.0,87.0,18.0,11.0,29.0,4.63,31.0,0.525,0.435,0.3,1.1,0.145,0.4629999999999999,6.2,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,3,core,CORE_3,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0463,0.7272727272727273,1,61.0,61.0,0.0,3.2,8.0,0.87,5.0,0.305,0.305,0.0,0.32,0.04,0.087,1.0,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,4,core,CORE_4,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0854,0.999333777481679,1,126.0,112.0,14.0,0.0,68.0,4.54,51.0,0.63,0.56,0.2333333333333333,0.0,0.34,0.454,10.2,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,5,core,CORE_5,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S1201,0.939261114589856,1,71.0,67.0,4.0,0.0,23.0,2.22,12.5,0.355,0.335,0.0666666666666666,0.0,0.115,0.222,2.5,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,6,core,CORE_6,core,-1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S1484,0.5031868500503187,1,92.0,81.0,11.0,7.6,24.0,2.41,17.0,0.46,0.405,0.1833333333333333,0.76,0.12,0.241,3.4,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,7,paraphrase_twin,PARA_1,paraphrase,1,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,alternate,S1788,0.5277973258268824,1,96.0,92.0,4.0,9.0,33.0,3.67,22.5,0.48,0.46,0.0666666666666666,0.9,0.165,0.367,4.5,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,8,paraphrase_twin,PARA_2,paraphrase,2,0,1,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,alternate,S0095,0.44903457566232596,1,105.0,87.0,18.0,11.0,29.0,4.63,31.0,0.525,0.435,0.3,1.1,0.145,0.4629999999999999,6.2,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,9,label_mask_twin,LABEL_1,label_mask,3,0,0,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0463,0.7272727272727273,1,61.0,61.0,0.0,3.2,8.0,0.87,5.0,0.305,0.305,0.0,0.32,0.04,0.087,1.0,,,
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,H1272,1539,54260212,0.8611359127752702,0.000367986,2,1,6,2,3,6,semantic_arm,1,naturalistic,1,10,label_mask_twin,LABEL_2,label_mask,4,0,0,PT|CAR|SLOW_MODES,PT,CAR,SLOW_MODES,default,S0854,0.999333777481679,1,126.0,112.0,14.0,0.0,68.0,4.54,51.0,0.63,0.56,0.2333333333333333,0.0,0.34,0.454,10.2,,,
