model_key,respondent_id,block_template_id,run_repeat,indicator_name,indicator_value,is_valid_indicator,duration_sec
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,Envir01,4,1,0.605697416
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,Envir02,4,1,0.68028125
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,Envir05,4,1,0.772649249
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,Envir06,4,1,0.85446075
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,Mobil10,4,1,0.929737542
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,Mobil11,4,1,1.024139832
mlx_qwen35_0p8b,Q80001_R1,Q8T0001,1,Mobil16,4,1,1.103624041
mlx_qwen35_0p8b,Q80001_R2,Q8T0001,2,Envir01,4,1,0.6235335
mlx_qwen35_0p8b,Q80001_R2,Q8T0001,2,Envir02,4,1,0.694075749
mlx_qwen35_0p8b,Q80001_R2,Q8T0001,2,Envir05,4,1,0.771910166
mlx_qwen35_0p8b,Q80001_R2,Q8T0001,2,Envir06,4,1,0.854918875
mlx_qwen35_0p8b,Q80001_R2,Q8T0001,2,Mobil10,4,1,0.942312416
mlx_qwen35_0p8b,Q80001_R2,Q8T0001,2,Mobil11,4,1,1.044630249
mlx_qwen35_0p8b,Q80001_R2,Q8T0001,2,Mobil16,4,1,1.118286332
mlx_qwen35_0p8b,Q80001_R3,Q8T0001,3,Envir01,4,1,0.602058541
mlx_qwen35_0p8b,Q80001_R3,Q8T0001,3,Envir02,4,1,0.68499454
mlx_qwen35_0p8b,Q80001_R3,Q8T0001,3,Envir05,4,1,0.786729333
mlx_qwen35_0p8b,Q80001_R3,Q8T0001,3,Envir06,4,1,0.872070499
mlx_qwen35_0p8b,Q80001_R3,Q8T0001,3,Mobil10,4,1,0.953363708
mlx_qwen35_0p8b,Q80001_R3,Q8T0001,3,Mobil11,4,1,1.016749582
mlx_qwen35_0p8b,Q80001_R3,Q8T0001,3,Mobil16,4,1,1.120393125
mlx_qwen35_0p8b,Q80001_R4,Q8T0001,4,Envir01,4,1,0.62731475
mlx_qwen35_0p8b,Q80001_R4,Q8T0001,4,Envir02,4,1,0.720193249
mlx_qwen35_0p8b,Q80001_R4,Q8T0001,4,Envir05,4,1,0.80403079
mlx_qwen35_0p8b,Q80001_R4,Q8T0001,4,Envir06,4,1,0.878975166
mlx_qwen35_0p8b,Q80001_R4,Q8T0001,4,Mobil10,4,1,1.030811417
mlx_qwen35_0p8b,Q80001_R4,Q8T0001,4,Mobil11,4,1,1.136251249
mlx_qwen35_0p8b,Q80001_R4,Q8T0001,4,Mobil16,4,1,1.210565499
mlx_qwen35_0p8b,Q80002_R1,Q8T0002,1,Envir01,4,1,0.61772225
mlx_qwen35_0p8b,Q80002_R1,Q8T0002,1,Envir02,4,1,0.709653333
mlx_qwen35_0p8b,Q80002_R1,Q8T0002,1,Envir05,4,1,0.7877005
mlx_qwen35_0p8b,Q80002_R1,Q8T0002,1,Envir06,4,1,0.837120583
mlx_qwen35_0p8b,Q80002_R1,Q8T0002,1,Mobil10,4,1,0.945923582
mlx_qwen35_0p8b,Q80002_R1,Q8T0002,1,Mobil11,4,1,0.993860292
mlx_qwen35_0p8b,Q80002_R1,Q8T0002,1,Mobil16,4,1,1.090563209
mlx_qwen35_0p8b,Q80002_R2,Q8T0002,2,Envir01,4,1,0.629954791
mlx_qwen35_0p8b,Q80002_R2,Q8T0002,2,Envir02,4,1,0.690715292
mlx_qwen35_0p8b,Q80002_R2,Q8T0002,2,Envir05,4,1,0.783294667
mlx_qwen35_0p8b,Q80002_R2,Q8T0002,2,Envir06,4,1,0.825197165
mlx_qwen35_0p8b,Q80002_R2,Q8T0002,2,Mobil10,4,1,0.911916999
mlx_qwen35_0p8b,Q80002_R2,Q8T0002,2,Mobil11,4,1,1.002111666
mlx_qwen35_0p8b,Q80002_R2,Q8T0002,2,Mobil16,4,1,1.087524959
mlx_qwen35_0p8b,Q80002_R3,Q8T0002,3,Envir01,4,1,0.622157249
mlx_qwen35_0p8b,Q80002_R3,Q8T0002,3,Envir02,4,1,0.746142042
mlx_qwen35_0p8b,Q80002_R3,Q8T0002,3,Envir05,4,1,0.777364959
mlx_qwen35_0p8b,Q80002_R3,Q8T0002,3,Envir06,4,1,0.862809083
mlx_qwen35_0p8b,Q80002_R3,Q8T0002,3,Mobil10,4,1,0.957372708
mlx_qwen35_0p8b,Q80002_R3,Q8T0002,3,Mobil11,4,1,1.020129834
mlx_qwen35_0p8b,Q80002_R3,Q8T0002,3,Mobil16,4,1,1.152874332
mlx_qwen35_0p8b,Q80002_R4,Q8T0002,4,Envir01,4,1,0.645598375
mlx_qwen35_0p8b,Q80002_R4,Q8T0002,4,Envir02,4,1,0.736844375
mlx_qwen35_0p8b,Q80002_R4,Q8T0002,4,Envir05,4,1,0.769849457
mlx_qwen35_0p8b,Q80002_R4,Q8T0002,4,Envir06,4,1,0.836858041
mlx_qwen35_0p8b,Q80002_R4,Q8T0002,4,Mobil10,4,1,1.2730035
mlx_qwen35_0p8b,Q80002_R4,Q8T0002,4,Mobil11,4,1,1.377047666
mlx_qwen35_0p8b,Q80002_R4,Q8T0002,4,Mobil16,4,1,1.542666041
mlx_qwen35_0p8b,Q80003_R1,Q8T0003,1,Envir01,4,1,0.599749042
mlx_qwen35_0p8b,Q80003_R1,Q8T0003,1,Envir02,4,1,0.685263332
mlx_qwen35_0p8b,Q80003_R1,Q8T0003,1,Envir05,4,1,0.764160167
