respondent_id,source_observation_id,human_id,normalized_weight,Weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Envir02,Envir05,Envir06,Mobil10,Mobil11,Mobil16
H0001,1,10350017,0.8860232194455376,0.000378621,1,1,3,1,7,1,27,male,30 or younger,7000,around CHF 7000 per month,1,0,0,0,0,1,7.0,1,0,0,1,3,2,0,1,0,a work-related trip,university education,1,car is available for this trip,3,5,5,5,6,5,1
H0002,3,10350025,0.8611359127752702,0.000367986,1,1,-1,3,-1,1,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,0,0,0,-1,-1,-1,-1,0,1,a leisure-related trip,education not reported,1,car is available for this trip,-2,-2,-2,-2,-2,-2,-2
H0003,4,10350075,0.8611359127752702,0.000367986,1,1,2,1,3,1,63,female,63 years old,3250,around CHF 3250 per month,0,1,0,0,0,0,3.25,1,0,0,1,0,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,3,2,4,4,2,4,3
H0004,5,10350085,0.9573855529584482,0.000409116,1,1,1,1,3,1,57,male,57 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,3,3,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,3,5,4,4,5,5
H0005,6,10350086,0.8611359127752702,0.000367986,1,1,4,1,3,1,58,female,58 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,0,2,3,3,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,2,4,5,4,3,5,5
H0006,7,10350100,0.4734672611247617,0.000202325,1,1,9,3,4,1,80,male,65 or older,7000,around CHF 7000 per month,0,0,0,0,0,0,7.0,0,0,1,1,0,1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,4,2,2,6,4,4
H0007,11,10350120,0.2298009887184065,9.82e-05,1,1,9,3,4,1,64,female,64 years old,9000,around CHF 9000 per month,0,0,0,0,0,0,9.0,1,0,0,1,2,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,3,4,4,4,3,4,4
H0008,12,10350125,0.6762935451898376,0.000288998,1,1,9,3,3,1,68,female,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,1,1,0,1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,4,4,4,5,6,4,4
H0009,13,10350125,0.6762935451898376,0.000288998,1,1,9,3,3,1,68,female,65 or older,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,1,1,0,1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,4,4,4,5,6,4,4
H0010,14,10350133,0.9573855529584482,0.000409116,1,1,1,1,3,1,59,male,59 years old,3250,around CHF 3250 per month,0,1,0,1,0,0,3.25,1,0,0,1,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,2,4,5,5,3,4,3
