respondent_id,most_likely_state,posterior_c1_s1,posterior_c1_s2,posterior_c2_s1,posterior_c2_s2,posterior_c3_s1,posterior_c3_s2
Q80001_R1,3,2.4207041809153516e-29,0.012041498184053376,9.542704257046256e-26,0.987958501815947,1.214948214272537e-103,4.1829819936572145e-28
Q80001_R2,3,2.4207041809153516e-29,0.012041498184053376,9.542704257046256e-26,0.987958501815947,1.214948214272537e-103,4.1829819936572145e-28
Q80001_R3,3,2.4207041809153516e-29,0.012041498184053376,9.542704257046256e-26,0.987958501815947,1.214948214272537e-103,4.1829819936572145e-28
Q80001_R4,3,2.4207041809153516e-29,0.012041498184053376,9.542704257046256e-26,0.987958501815947,1.214948214272537e-103,4.1829819936572145e-28
Q80002_R1,3,1.9355951501902985e-28,6.1093650375350305e-06,1.0492362146750874e-09,0.9999938895810382,3.3053470531844054e-50,4.688134019337684e-12
Q80002_R2,3,1.9355951501902985e-28,6.1093650375350305e-06,1.0492362146750874e-09,0.9999938895810382,3.3053470531844054e-50,4.688134019337684e-12
Q80002_R3,3,1.9355951501902985e-28,6.1093650375350305e-06,1.0492362146750874e-09,0.9999938895810382,3.3053470531844054e-50,4.688134019337684e-12
Q80002_R4,3,1.9355951501902985e-28,6.1093650375350305e-06,1.0492362146750874e-09,0.9999938895810382,3.3053470531844054e-50,4.688134019337684e-12
Q80003_R1,4,7.091430843576431e-96,3.1882699047302805e-25,8.813619002557659e-21,4.8350407346216115e-17,0.9999405845570617,5.9415442938324005e-05
Q80003_R2,4,7.091430843576431e-96,3.1882699047302805e-25,8.813619002557659e-21,4.8350407346216115e-17,0.9999405845570617,5.9415442938324005e-05
Q80003_R3,4,7.091430843576431e-96,3.1882699047302805e-25,8.813619002557659e-21,4.8350407346216115e-17,0.9999405845570617,5.9415442938324005e-05
Q80003_R4,4,7.091430843576431e-96,3.1882699047302805e-25,8.813619002557659e-21,4.8350407346216115e-17,0.9999405845570617,5.9415442938324005e-05
Q80004_R1,1,1.9714835455300016e-41,0.9999990848382914,1.0708802245996608e-94,9.15161708929385e-07,0.0,7.284832904219419e-112
Q80004_R2,1,1.9714835455300016e-41,0.9999990848382914,1.0708802245996608e-94,9.15161708929385e-07,0.0,7.284832904219419e-112
Q80004_R3,1,1.9714835455300016e-41,0.9999990848382914,1.0708802245996608e-94,9.15161708929385e-07,0.0,7.284832904219419e-112
Q80004_R4,1,1.9714835455300016e-41,0.9999990848382914,1.0708802245996608e-94,9.15161708929385e-07,0.0,7.284832904219419e-112
Q80005_R1,3,2.162669956788396e-50,3.8220801968349105e-07,3.279390415366467e-34,0.9999996177919803,1.5342638527733895e-128,7.23332474065842e-34
