parameter_name,estimate,std_error,z_value
ASCPMM,1.0080336511340107,0.24450028211922234,4.122832261774148
ASCSM,0.2206005047081852,0.29823944810794567,0.7396758078372664
beta_cost,-0.11298417569933865,0.01200855910917626,-9.408637178877068
beta_time_pmm,-0.01594844666330947,0.005305941509181529,-3.0057712916193844
beta_time_pt,-0.020098012423376072,0.0038870816624066054,-5.170463131184336
beta_distance,-0.08769400935765422,0.007289383284824307,-12.030374303437092
beta_ncars,0.24130035575314637,0.11262535367280706,2.1425047547833573
beta_nchildren,0.11982177696348058,0.06112750963395057,1.9601939892694544
beta_language,-0.2225405364380431,0.1212978116300338,-1.8346624184515892
beta_work,0.25153890440371457,0.029521808273089367,8.520443669197768
beta_urban,-0.44756717672299245,0.2807087908888506,-1.594418098933749
beta_student,2.0321962285845023,0.3393529419524682,5.988444410978892
beta_nbikes,0.16483780658141237,0.05913429396382014,2.787516270715337
