parameter_name,estimate,paper_estimate,block,std_error,z_value
ASCPMM,-0.440248135666485,-0.599,utility,1.0,-0.440248135666485
ASCSM,-0.8493028275226936,-0.772,utility,1.0,-0.8493028275226936
beta_cost,-0.12021876616492337,-0.0559,utility,1.0,-0.12021876616492337
beta_time_pmm,-0.016527408103487875,-0.0294,utility,1.000367030081824,-0.01652134427314746
beta_time_pt,-0.021485426122139103,-0.0119,utility,0.8679046429146297,-0.02475551467265568
beta_distance,-0.09509394350282004,-0.224,utility,0.862968931149203,-0.11019393638677678
beta_ncars,0.2807831032446386,0.97,utility,1.0,0.2807831032446386
beta_nchildren,0.017287226937613167,0.215,utility,1.0,0.017287226937613167
beta_language,0.5316704567145643,1.06,utility,1.0,0.5316704567145643
beta_work,-0.03996903174103297,-0.583,utility,1.0,-0.03996903174103297
beta_urban,0.04471298312615804,0.283,utility,1.0,0.04471298312615804
beta_student,3.188875337532992,3.26,utility,1.0,3.188875337532992
beta_nbikes,0.08022207380803585,0.385,utility,1.8743076441758988,0.04280091054278772
beta_Acar,-0.7495460984772128,-0.574,utility,1.0,-0.7495460984772128
beta_Aenv,0.13118534921930636,0.393,utility,1.0,0.13118534921930636
