model,block,parameter_name,human_estimate,ai_estimate,gap_ai_minus_human
hcm,attitude,Acar,3.02,2.8861028797204398,-0.13389712027956024
hcm,attitude,Aenv,3.23,3.02128095094078,-0.20871904905922012
hcm,attitude,theta_age,0.00445,0.008844064561030774,0.004394064561030774
hcm,attitude,theta_basel_zurich,-0.256,-0.14147608108768353,0.11452391891231647
hcm,attitude,theta_bern,-0.361,-0.2232239293901062,0.13777607060989377
hcm,attitude,theta_east,-0.228,-0.00877586012258012,0.2192241398774199
hcm,attitude,theta_educ,0.235,0.24824196700855913,0.013241967008559147
hcm,attitude,theta_graubunden,-0.303,-0.14555631217494766,0.15744368782505233
hcm,attitude,theta_nbikes,0.0845,0.0958863618227398,0.01138636182273979
hcm,attitude,theta_ncars,0.104,0.11453653105485634,0.010536531054856343
hcm,attitude,theta_valais,-0.223,-0.26266755912591566,-0.03966755912591566
hcm,measurement,alpha_Envir01,-0.3991248013532694,-0.528028433366376,-0.12890363201310656
hcm,measurement,alpha_Envir02,-0.3234030493330913,0.3612526736266765,0.6846557229597678
hcm,measurement,alpha_Envir06,0.3716589950450299,-0.27898439415798015,-0.6506433892030101
hcm,measurement,alpha_Mobil11,0.3937170371768891,0.44907657647964666,0.055359539302757554
hcm,measurement,alpha_Mobil16,0.3733648936419174,0.5163932423192523,0.14302834867733494
hcm,measurement,loading_Envir01,0.8381240098044899,0.9341678948553643,0.09604388505087447
hcm,measurement,loading_Envir02,1.0113886363029705,0.849617791423116,-0.1617708448798545
hcm,measurement,loading_Envir06,1.0918488023138213,1.2971990751503124,0.2053502728364911
hcm,measurement,loading_Mobil11,1.1552587961482288,1.1345298752970845,-0.020728920851144306
hcm,measurement,loading_Mobil16,1.0604960635271472,1.0421563304393042,-0.01833973308784298
hcm,measurement,sigma_Envir01,1.3086356484768995,1.267959891987425,-0.04067575648947441
hcm,measurement,sigma_Envir02,1.130446685997802,1.1005957814238094,-0.02985090457399253
hcm,measurement,sigma_Envir05,1.0385452138341096,1.0761843831378117,0.03763916930370215
hcm,measurement,sigma_Envir06,0.783728299511142,0.8639094683203851,0.08018116880924309
hcm,measurement,sigma_Mobil10,1.2062988344888783,1.1042948393796617,-0.10200399510921665
hcm,measurement,sigma_Mobil11,1.097695287855269,1.1060874931752822,0.008392205320013169
hcm,measurement,sigma_Mobil16,1.1172321136563832,1.0644448102641098,-0.052787303392273444
hcm,utility,ASCPMM,-0.599,-0.440248135666485,0.15875186433351496
hcm,utility,ASCSM,-0.772,-0.8493028275226936,-0.07730282752269357
hcm,utility,beta_Acar,-0.574,-0.7495460984772128,-0.1755460984772128
hcm,utility,beta_Aenv,0.393,0.13118534921930636,-0.26181465078069366
hcm,utility,beta_cost,-0.0559,-0.12021876616492337,-0.06431876616492338
hcm,utility,beta_distance,-0.224,-0.09509394350282004,0.12890605649717995
hcm,utility,beta_language,1.06,0.5316704567145643,-0.5283295432854358
hcm,utility,beta_nbikes,0.385,0.08022207380803585,-0.30477792619196414
hcm,utility,beta_ncars,0.97,0.2807831032446386,-0.6892168967553614
hcm,utility,beta_nchildren,0.215,0.017287226937613167,-0.19771277306238683
hcm,utility,beta_student,3.26,3.188875337532992,-0.07112466246700766
hcm,utility,beta_time_pmm,-0.0294,-0.016527408103487875,0.012872591896512124
hcm,utility,beta_time_pt,-0.0119,-0.021485426122139103,-0.009585426122139102
hcm,utility,beta_urban,0.283,0.04471298312615804,-0.23828701687384193
hcm,utility,beta_work,-0.583,-0.03996903174103297,0.543030968258967
